,20th century,21st century,Pre-1900s,Unknown
0,0.1,0.0,0.1,0.8
1,0.0,0.1,0.0,0.9
2,0.1,0.6,0.0,0.3
3,0.1,0.2,0.0,0.7
4,0.0,0.0,0.0,1.0
5,0.8,0.0,0.0,0.2
6,0.9,0.0,0.0,0.1
7,0.9,0.0,0.0,0.1
8,0.0,0.0,0.0,1.0
9,0.5,0.1,0.0,0.4
10,0.1,0.0,0.0,0.9
11,0.9,0.0,0.0,0.1
12,0.8,0.0,0.2,0.0
13,0.0,0.1,0.0,0.9
14,0.0,0.0,0.0,1.0
15,0.2,0.0,0.8,0.0
16,0.0,0.0,1.0,0.0
17,0.0,0.0,0.9,0.1
18,0.1,0.0,0.1,0.8
19,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,1.0
21,0.0,0.0,0.8,0.2
22,0.1,0.0,0.0,0.9
23,0.8,0.0,0.2,0.0
24,0.0,0.8,0.0,0.2
25,0.0,0.0,0.0,1.0
26,0.0,0.7,0.0,0.3
27,0.0,0.7,0.0,0.3
28,0.0,0.7,0.0,0.3
29,0.0,0.0,0.0,1.0
30,0.0,0.7,0.0,0.3
31,0.3,0.0,0.3,0.4
32,0.3,0.0,0.0,0.7
33,0.3,0.0,0.3,0.4
34,0.0,0.0,0.0,1.0
35,0.0,0.0,0.0,1.0
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.2,0.8
38,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,1.0
40,0.0,0.0,0.0,1.0
41,0.4,0.0,0.4,0.2
42,0.1,0.0,0.8,0.1
43,0.4,0.0,0.0,0.6
44,0.4,0.0,0.0,0.6
45,0.1,0.1,0.3,0.5
46,0.6,0.0,0.4,0.0
47,1.0,0.0,0.0,0.0
48,0.4,0.0,0.6,0.0
49,0.0,0.3,0.0,0.7
50,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,1.0
52,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,1.0
54,0.0,0.0,0.0,1.0
55,0.2,0.0,0.6,0.2
56,0.1,0.0,0.1,0.8
57,0.6,0.0,0.0,0.4
58,0.2,0.2,0.0,0.6
59,0.1,0.1,0.0,0.8
60,0.1,0.0,0.0,0.9
61,0.0,0.0,0.0,1.0
62,0.0,0.0,0.0,1.0
63,0.2,0.0,0.8,0.0
64,0.0,0.0,0.0,1.0
65,0.0,0.1,0.1,0.8
66,0.0,0.0,0.0,1.0
67,0.0,0.0,0.0,1.0
68,0.1,0.0,0.7,0.2
69,0.0,0.0,0.0,1.0
70,0.0,0.0,0.0,1.0
71,0.7,0.3,0.0,0.0
72,0.7,0.3,0.0,0.0
73,0.1,0.0,0.0,0.9
74,0.0,0.0,0.0,1.0
75,0.1,0.0,0.2,0.7
76,0.0,0.0,0.0,1.0
77,0.1,0.0,0.1,0.8
78,0.0,0.0,0.0,1.0
79,0.1,0.4,0.0,0.5
80,0.1,0.8,0.0,0.1
81,0.0,0.8,0.0,0.2
82,1.0,0.0,0.0,0.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.1,0.0,0.4,0.5
87,0.0,0.0,0.0,1.0
88,0.1,0.0,0.1,0.8
89,0.0,0.1,0.0,0.9
90,0.0,0.0,0.0,1.0
91,0.0,0.2,0.0,0.8
92,0.5,0.2,0.0,0.3
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
95,1.0,0.0,0.0,0.0
96,0.0,0.1,0.0,0.9
97,0.0,0.0,0.0,1.0
98,0.9,0.0,0.1,0.0
99,0.1,0.1,0.0,0.8
100,0.0,0.0,0.0,1.0
101,0.0,0.0,0.1,0.9
102,1.0,0.0,0.0,0.0
103,0.0,0.0,0.0,1.0
104,0.0,0.1,0.0,0.9
105,0.1,0.0,0.3,0.6
106,0.0,0.0,0.0,1.0
107,0.0,0.0,0.1,0.9
108,0.4,0.0,0.1,0.5
109,0.2,0.0,0.8,0.0
110,0.4,0.1,0.0,0.5
111,0.3,0.0,0.3,0.4
112,0.3,0.0,0.4,0.3
113,0.0,0.0,0.0,1.0
114,0.2,0.2,0.0,0.6
115,0.0,0.0,0.0,1.0
116,0.0,0.1,0.0,0.9
117,0.1,0.0,0.3,0.6
118,0.0,0.1,0.0,0.9
119,0.2,0.0,0.0,0.8
120,0.0,0.0,0.5,0.5
121,0.2,0.0,0.1,0.7
122,0.4,0.0,0.0,0.6
123,0.0,0.0,0.3,0.7
124,0.0,0.0,0.0,1.0
125,0.1,0.0,0.0,0.9
126,0.1,0.0,0.0,0.9
127,0.0,0.0,0.0,1.0
128,0.0,0.0,0.0,1.0
129,0.1,0.0,0.0,0.9
130,0.0,0.0,0.0,1.0
131,0.0,0.0,0.0,1.0
132,0.0,0.0,0.2,0.8
133,0.0,0.0,0.0,1.0
134,0.0,0.0,0.0,1.0
135,0.0,0.0,0.0,1.0
136,1.0,0.0,0.0,0.0
137,0.0,0.0,0.0,1.0
138,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,1.0
140,0.0,0.0,0.0,1.0
141,0.6,0.2,0.0,0.2
142,0.0,0.8,0.1,0.1
143,0.0,0.0,0.0,1.0
