,s-,e-k,a-d,l-r
0,0.1,0.7,0.0,0.2
1,0.3,0.1,0.6,0.0
2,0.1,0.4,0.1,0.4
3,0.0,0.3,0.4,0.3
4,0.4,0.2,0.3,0.1
5,0.3,0.3,0.4,0.0
6,0.5,0.1,0.0,0.4
7,0.6,0.1,0.0,0.3
8,0.2,0.3,0.2,0.3
9,0.4,0.3,0.3,0.0
10,0.2,0.3,0.2,0.3
11,0.5,0.2,0.3,0.0
12,0.3,0.5,0.1,0.1
13,0.6,0.0,0.1,0.3
14,0.4,0.3,0.2,0.1
15,0.2,0.6,0.0,0.2
16,0.1,0.3,0.3,0.3
17,0.2,0.2,0.3,0.3
18,0.1,0.1,0.5,0.3
19,0.2,0.2,0.4,0.2
20,0.0,0.3,0.4,0.3
21,0.3,0.4,0.2,0.1
22,0.2,0.1,0.6,0.1
23,0.1,0.5,0.4,0.0
24,0.1,0.3,0.2,0.4
25,0.4,0.4,0.2,0.0
26,0.2,0.5,0.0,0.3
27,0.1,0.4,0.0,0.5
28,0.1,0.4,0.2,0.3
29,0.0,0.2,0.5,0.3
30,0.1,0.5,0.0,0.4
31,0.5,0.1,0.1,0.3
32,0.1,0.0,0.6,0.3
33,0.1,0.5,0.3,0.1
34,0.0,0.9,0.0,0.1
35,0.5,0.2,0.0,0.3
36,0.5,0.1,0.1,0.3
37,0.2,0.4,0.0,0.4
38,0.4,0.1,0.4,0.1
39,0.4,0.0,0.5,0.1
40,0.4,0.2,0.3,0.1
41,0.5,0.2,0.1,0.2
42,0.2,0.4,0.4,0.0
43,0.3,0.2,0.3,0.2
44,0.2,0.1,0.4,0.3
45,0.3,0.0,0.2,0.5
46,0.1,0.2,0.2,0.5
47,0.3,0.5,0.1,0.1
48,0.3,0.6,0.0,0.1
49,0.3,0.2,0.2,0.3
50,0.1,0.1,0.6,0.2
51,0.3,0.1,0.4,0.2
52,0.1,0.1,0.3,0.5
53,0.7,0.3,0.0,0.0
54,0.2,0.3,0.3,0.2
55,0.0,0.3,0.2,0.5
56,0.3,0.2,0.1,0.4
57,0.1,0.3,0.2,0.4
58,0.0,0.5,0.2,0.3
59,0.1,0.1,0.5,0.3
60,0.2,0.0,0.4,0.4
61,0.4,0.2,0.2,0.2
62,0.0,0.0,1.0,0.0
63,0.1,0.4,0.2,0.3
64,0.3,0.2,0.2,0.3
65,0.5,0.1,0.1,0.3
66,0.0,0.0,1.0,0.0
67,0.1,0.0,0.0,0.9
68,0.1,0.4,0.4,0.1
69,0.1,0.1,0.5,0.3
70,0.0,0.1,0.0,0.9
71,0.0,0.5,0.0,0.5
72,0.2,0.4,0.0,0.4
73,0.2,0.2,0.3,0.3
74,0.4,0.0,0.3,0.3
75,0.1,0.1,0.2,0.6
76,0.3,0.0,0.5,0.2
77,0.3,0.2,0.3,0.2
78,0.2,0.3,0.3,0.2
79,0.2,0.2,0.1,0.5
80,0.2,0.3,0.1,0.4
81,0.2,0.3,0.0,0.5
82,0.4,0.0,0.1,0.5
83,0.3,0.1,0.2,0.4
84,0.0,0.2,0.8,0.0
85,0.1,0.7,0.2,0.0
86,0.2,0.1,0.4,0.3
87,0.3,0.0,0.3,0.4
88,0.3,0.1,0.3,0.3
89,0.4,0.2,0.4,0.0
90,0.1,0.3,0.3,0.3
91,0.1,0.5,0.1,0.3
92,0.0,0.4,0.3,0.3
93,0.8,0.0,0.0,0.2
94,0.0,0.1,0.0,0.9
95,0.0,0.1,0.6,0.3
96,0.1,0.3,0.5,0.1
97,0.0,0.3,0.7,0.0
98,0.1,0.7,0.1,0.1
99,0.1,0.1,0.4,0.4
100,0.2,0.4,0.0,0.4
101,0.3,0.2,0.1,0.4
102,1.0,0.0,0.0,0.0
103,0.0,0.1,0.0,0.9
104,0.0,0.2,0.4,0.4
105,0.5,0.1,0.4,0.0
106,0.1,0.1,0.2,0.6
107,0.3,0.1,0.3,0.3
108,0.2,0.3,0.2,0.3
109,0.2,0.5,0.1,0.2
110,0.3,0.4,0.0,0.3
111,0.1,0.2,0.3,0.4
112,0.0,0.0,0.1,0.9
113,0.1,0.1,0.3,0.5
114,0.2,0.3,0.2,0.3
115,0.4,0.1,0.2,0.3
116,0.3,0.5,0.2,0.0
117,0.2,0.1,0.4,0.3
118,0.2,0.4,0.2,0.2
119,0.3,0.3,0.2,0.2
120,0.2,0.6,0.1,0.1
121,0.3,0.2,0.2,0.3
122,0.4,0.0,0.4,0.2
123,0.2,0.2,0.2,0.4
124,0.3,0.4,0.2,0.1
125,0.1,0.7,0.2,0.0
126,0.1,0.5,0.3,0.1
127,0.4,0.1,0.2,0.3
128,0.2,0.3,0.1,0.4
129,0.3,0.2,0.2,0.3
130,0.4,0.2,0.2,0.2
131,0.2,0.1,0.4,0.3
132,0.3,0.0,0.4,0.3
133,0.0,0.1,0.0,0.9
134,0.4,0.1,0.0,0.5
135,0.4,0.1,0.0,0.5
136,0.2,0.1,0.2,0.5
137,0.5,0.3,0.1,0.1
138,0.3,0.5,0.1,0.1
139,0.2,0.4,0.1,0.3
140,0.3,0.2,0.3,0.2
141,0.4,0.0,0.0,0.6
142,0.2,0.2,0.0,0.6
143,0.3,0.1,0.3,0.3
