,High,Medium-High,Medium-Low,Low
0,0.0,0.1,0.7,0.2
1,0.0,0.3,0.4,0.3
2,0.1,0.4,0.3,0.2
3,0.2,0.2,0.4,0.2
4,0.0,0.0,0.0,1.0
5,0.0,0.1,0.8,0.1
6,0.0,0.2,0.8,0.0
7,0.0,0.2,0.8,0.0
8,0.0,0.0,0.3,0.7
9,0.0,0.0,0.0,1.0
10,0.1,0.0,0.5,0.4
11,0.0,0.3,0.6,0.1
12,0.0,0.4,0.6,0.0
13,0.0,0.0,0.5,0.5
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,1.0
16,0.0,0.0,0.1,0.9
17,0.0,0.0,0.1,0.9
18,0.0,0.2,0.1,0.7
19,0.0,0.0,0.3,0.7
20,0.2,0.1,0.4,0.3
21,0.0,0.0,0.1,0.9
22,0.1,0.2,0.0,0.7
23,0.0,0.0,0.1,0.9
24,0.0,0.1,0.8,0.1
25,0.0,0.0,0.6,0.4
26,0.0,0.0,0.1,0.9
27,0.0,0.0,0.1,0.9
28,0.1,0.0,0.8,0.1
29,0.0,0.1,0.1,0.8
30,0.0,0.0,0.1,0.9
31,0.0,0.1,0.0,0.9
32,0.0,0.0,0.0,1.0
33,0.0,0.1,0.2,0.7
34,0.0,0.0,0.0,1.0
35,0.4,0.5,0.1,0.0
36,0.0,0.0,0.6,0.4
37,0.0,0.1,0.1,0.8
38,0.1,0.0,0.4,0.5
39,0.0,0.0,0.0,1.0
40,0.0,0.0,0.1,0.9
41,0.0,0.0,0.0,1.0
42,0.0,0.0,0.1,0.9
43,0.2,0.4,0.2,0.2
44,0.1,0.3,0.3,0.3
45,0.0,0.2,0.3,0.5
46,0.0,0.1,0.1,0.8
47,0.0,0.0,0.0,1.0
48,0.0,0.0,0.0,1.0
49,0.3,0.3,0.4,0.0
50,0.0,0.0,0.1,0.9
51,0.0,0.1,0.1,0.8
52,0.0,0.0,0.1,0.9
53,0.0,0.0,0.3,0.7
54,0.0,0.0,0.0,1.0
55,0.0,0.0,0.0,1.0
56,0.0,0.1,0.4,0.5
57,0.0,0.0,0.0,1.0
58,0.0,0.1,0.5,0.4
59,0.0,0.0,0.3,0.7
60,0.0,0.0,0.1,0.9
61,0.1,0.1,0.0,0.8
62,0.0,0.0,0.3,0.7
63,0.0,0.0,0.1,0.9
64,0.0,0.0,0.0,1.0
65,0.0,0.3,0.2,0.5
66,0.0,0.0,0.0,1.0
67,0.0,0.5,0.4,0.1
68,0.0,0.1,0.4,0.5
69,0.3,0.4,0.2,0.1
70,0.3,0.2,0.2,0.3
71,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,1.0
73,0.1,0.3,0.3,0.3
74,0.0,0.0,0.0,1.0
75,0.0,0.2,0.1,0.7
76,0.0,0.0,0.4,0.6
77,0.3,0.3,0.2,0.2
78,0.0,0.4,0.2,0.4
79,0.0,0.0,0.7,0.3
80,0.0,0.0,0.9,0.1
81,0.1,0.0,0.5,0.4
82,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.0,0.1,0.4,0.5
87,0.0,0.0,0.0,1.0
88,0.0,0.1,0.4,0.5
89,0.0,0.0,0.0,1.0
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
92,0.0,0.1,0.1,0.8
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,1.0
96,0.0,0.4,0.5,0.1
97,0.0,0.0,0.0,1.0
98,0.0,0.0,0.0,1.0
99,0.0,0.0,0.4,0.6
100,0.0,0.1,0.5,0.4
101,0.0,0.3,0.3,0.4
102,0.0,0.0,0.0,1.0
103,0.3,0.3,0.2,0.2
104,0.0,0.1,0.1,0.8
105,0.0,0.0,0.3,0.7
106,0.0,0.1,0.3,0.6
107,0.2,0.3,0.3,0.2
108,0.0,0.1,0.0,0.9
109,0.0,0.0,0.1,0.9
110,0.2,0.3,0.2,0.3
111,0.0,0.0,0.6,0.4
112,0.7,0.3,0.0,0.0
113,0.1,0.1,0.4,0.4
114,0.0,0.0,0.0,1.0
115,0.1,0.1,0.0,0.8
116,0.0,0.1,0.1,0.8
117,0.2,0.3,0.2,0.3
118,0.1,0.4,0.5,0.0
119,0.0,0.3,0.2,0.5
120,0.0,0.0,0.0,1.0
121,0.0,0.4,0.0,0.6
122,0.0,0.2,0.3,0.5
123,0.0,0.2,0.2,0.6
124,0.0,0.0,0.0,1.0
125,0.0,0.0,0.0,1.0
126,0.0,0.0,0.0,1.0
127,0.0,0.1,0.3,0.6
128,0.0,0.1,0.2,0.7
129,0.0,0.0,0.0,1.0
130,0.0,0.0,0.0,1.0
131,0.0,0.0,0.0,1.0
132,0.0,0.0,0.6,0.4
133,0.1,0.5,0.2,0.2
134,0.0,0.4,0.1,0.5
135,0.0,0.0,0.0,1.0
136,0.0,0.0,0.0,1.0
137,0.0,0.0,0.0,1.0
138,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,1.0
140,0.0,0.0,0.0,1.0
141,0.1,0.0,0.0,0.9
142,0.0,0.1,0.1,0.8
143,0.1,0.4,0.5,0.0
