,Unknown,Pre-1900s,21st century,20th century
0,0.0,0.0,0.0,1.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,1.0,0.0
3,2.0,0.0,0.0,0.0
4,2.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0
8,2.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0
10,3.0,0.0,0.0,0.0
11,0.0,0.0,0.0,2.0
12,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,2.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,7.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,5.0,0.0
25,2.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0
32,3.0,0.0,0.0,3.0
33,1.0,0.0,0.0,1.0
34,4.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,2.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,8.0,0.0,0.0,0.0
40,8.0,0.0,0.0,0.0
41,1.0,4.0,0.0,4.0
42,0.0,5.0,0.0,1.0
43,1.0,0.0,0.0,1.0
44,1.0,0.0,0.0,1.0
45,2.0,0.0,0.0,0.0
46,0.0,1.0,0.0,2.0
47,0.0,0.0,0.0,4.0
48,0.0,2.0,0.0,0.0
49,2.0,0.0,3.0,0.0
50,5.0,0.0,0.0,0.0
51,3.0,0.0,0.0,0.0
52,4.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,6.0,0.0,0.0,0.0
55,0.0,1.0,0.0,0.0
56,2.0,0.0,0.0,0.0
57,1.0,0.0,0.0,2.0
58,0.0,0.0,1.0,2.0
59,4.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,2.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,8.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,0.0,1.0,0.0,0.0
69,3.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,2.0,5.0
72,0.0,0.0,1.0,4.0
73,1.0,0.0,0.0,0.0
74,6.0,0.0,0.0,0.0
75,2.0,0.0,0.0,0.0
76,6.0,0.0,0.0,0.0
77,1.0,1.0,0.0,0.0
78,1.0,0.0,0.0,0.0
79,2.0,0.0,4.0,0.0
80,0.0,0.0,4.0,0.0
81,1.0,0.0,3.0,0.0
82,0.0,0.0,0.0,10.0
83,2.0,0.0,0.0,0.0
84,6.0,0.0,0.0,0.0
85,2.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0
88,3.0,0.0,0.0,0.0
89,8.0,0.0,1.0,0.0
90,8.0,0.0,0.0,0.0
91,8.0,0.0,2.0,0.0
92,1.0,0.0,1.0,0.0
93,0.0,0.0,0.0,0.0
94,5.0,0.0,0.0,0.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,0.0
97,5.0,0.0,0.0,0.0
98,0.0,1.0,0.0,1.0
99,0.0,0.0,1.0,0.0
100,2.0,0.0,0.0,0.0
101,1.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,3.0,0.0,0.0,0.0
104,1.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,4.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,2.0,1.0,0.0,0.0
109,0.0,1.0,0.0,0.0
110,1.0,0.0,0.0,0.0
111,0.0,2.0,0.0,0.0
112,0.0,3.0,0.0,3.0
113,1.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,4.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,1.0,0.0,0.0,0.0
120,2.0,3.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,1.0
123,1.0,0.0,0.0,0.0
124,6.0,0.0,0.0,0.0
125,9.0,0.0,0.0,1.0
126,5.0,0.0,0.0,0.0
127,1.0,0.0,0.0,0.0
128,1.0,0.0,0.0,0.0
129,1.0,0.0,0.0,0.0
130,3.0,0.0,0.0,0.0
131,9.0,0.0,0.0,0.0
132,1.0,0.0,0.0,0.0
133,6.0,0.0,0.0,0.0
134,2.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,1.0
137,0.0,0.0,0.0,0.0
138,5.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,2.0,0.0
143,7.0,0.0,0.0,0.0
