,Unknown,Pre-1900s,21st century,20th century
0,0.8,0.1,0.0,0.1
1,0.9,0.0,0.1,0.0
2,0.3,0.0,0.6,0.1
3,0.7,0.0,0.2,0.1
4,1.0,0.0,0.0,0.0
5,0.2,0.0,0.0,0.8
6,0.1,0.0,0.0,0.9
7,0.1,0.0,0.0,0.9
8,1.0,0.0,0.0,0.0
9,0.4,0.0,0.1,0.5
10,0.9,0.0,0.0,0.1
11,0.1,0.0,0.0,0.9
12,0.0,0.2,0.0,0.8
13,0.9,0.0,0.1,0.0
14,1.0,0.0,0.0,0.0
15,0.0,0.8,0.0,0.2
16,0.0,1.0,0.0,0.0
17,0.1,0.9,0.0,0.0
18,0.8,0.1,0.0,0.1
19,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,0.2,0.8,0.0,0.0
22,0.9,0.0,0.0,0.1
23,0.0,0.2,0.0,0.8
24,0.2,0.0,0.8,0.0
25,1.0,0.0,0.0,0.0
26,0.3,0.0,0.7,0.0
27,0.3,0.0,0.7,0.0
28,0.3,0.0,0.7,0.0
29,1.0,0.0,0.0,0.0
30,0.3,0.0,0.7,0.0
31,0.4,0.3,0.0,0.3
32,0.7,0.0,0.0,0.3
33,0.4,0.3,0.0,0.3
34,1.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0
37,0.8,0.2,0.0,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,0.2,0.4,0.0,0.4
42,0.1,0.8,0.0,0.1
43,0.6,0.0,0.0,0.4
44,0.6,0.0,0.0,0.4
45,0.5,0.3,0.1,0.1
46,0.0,0.4,0.0,0.6
47,0.0,0.0,0.0,1.0
48,0.0,0.6,0.0,0.4
49,0.7,0.0,0.3,0.0
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,0.2,0.6,0.0,0.2
56,0.8,0.1,0.0,0.1
57,0.4,0.0,0.0,0.6
58,0.6,0.0,0.2,0.2
59,0.8,0.0,0.1,0.1
60,0.9,0.0,0.0,0.1
61,1.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0
63,0.0,0.8,0.0,0.2
64,1.0,0.0,0.0,0.0
65,0.8,0.1,0.1,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,0.2,0.7,0.0,0.1
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,0.0,0.0,0.3,0.7
72,0.0,0.0,0.3,0.7
73,0.9,0.0,0.0,0.1
74,1.0,0.0,0.0,0.0
75,0.7,0.2,0.0,0.1
76,1.0,0.0,0.0,0.0
77,0.8,0.1,0.0,0.1
78,1.0,0.0,0.0,0.0
79,0.5,0.0,0.4,0.1
80,0.1,0.0,0.8,0.1
81,0.2,0.0,0.8,0.0
82,0.0,0.0,0.0,1.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.5,0.4,0.0,0.1
87,1.0,0.0,0.0,0.0
88,0.8,0.1,0.0,0.1
89,0.9,0.0,0.1,0.0
90,1.0,0.0,0.0,0.0
91,0.8,0.0,0.2,0.0
92,0.3,0.0,0.2,0.5
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,0.0,0.0,0.0,1.0
96,0.9,0.0,0.1,0.0
97,1.0,0.0,0.0,0.0
98,0.0,0.1,0.0,0.9
99,0.8,0.0,0.1,0.1
100,1.0,0.0,0.0,0.0
101,0.9,0.1,0.0,0.0
102,0.0,0.0,0.0,1.0
103,1.0,0.0,0.0,0.0
104,0.9,0.0,0.1,0.0
105,0.6,0.3,0.0,0.1
106,1.0,0.0,0.0,0.0
107,0.9,0.1,0.0,0.0
108,0.5,0.1,0.0,0.4
109,0.0,0.8,0.0,0.2
110,0.5,0.0,0.1,0.4
111,0.4,0.3,0.0,0.3
112,0.3,0.4,0.0,0.3
113,1.0,0.0,0.0,0.0
114,0.6,0.0,0.2,0.2
115,1.0,0.0,0.0,0.0
116,0.9,0.0,0.1,0.0
117,0.6,0.3,0.0,0.1
118,0.9,0.0,0.1,0.0
119,0.8,0.0,0.0,0.2
120,0.5,0.5,0.0,0.0
121,0.7,0.1,0.0,0.2
122,0.6,0.0,0.0,0.4
123,0.7,0.3,0.0,0.0
124,1.0,0.0,0.0,0.0
125,0.9,0.0,0.0,0.1
126,0.9,0.0,0.0,0.1
127,1.0,0.0,0.0,0.0
128,1.0,0.0,0.0,0.0
129,0.9,0.0,0.0,0.1
130,1.0,0.0,0.0,0.0
131,1.0,0.0,0.0,0.0
132,0.8,0.2,0.0,0.0
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,1.0,0.0,0.0,0.0
136,0.0,0.0,0.0,1.0
137,1.0,0.0,0.0,0.0
138,1.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0
141,0.2,0.0,0.2,0.6
142,0.1,0.1,0.8,0.0
143,1.0,0.0,0.0,0.0
