,20th century,Pre-1900s,Unknown,21st century
0,0.0,0.5,0.5,0.0
1,0.0,0.0,1.0,0.0
2,0.0,0.9,0.1,0.0
3,0.0,1.0,0.0,0.0
4,0.1,0.0,0.9,0.0
5,0.1,0.0,0.8,0.1
6,0.0,0.0,1.0,0.0
7,0.0,1.0,0.0,0.0
8,0.0,0.9,0.1,0.0
9,0.0,0.4,0.6,0.0
10,0.1,0.0,0.9,0.0
11,0.7,0.0,0.3,0.0
12,0.0,0.8,0.2,0.0
13,0.0,0.0,1.0,0.0
14,0.4,0.6,0.0,0.0
15,0.1,0.0,0.8,0.1
16,0.6,0.0,0.3,0.1
17,0.0,0.0,0.0,1.0
18,0.0,0.0,1.0,0.0
19,0.9,0.1,0.0,0.0
20,0.0,0.0,1.0,0.0
21,1.0,0.0,0.0,0.0
22,0.8,0.0,0.2,0.0
23,0.1,0.6,0.3,0.0
24,0.3,0.0,0.7,0.0
25,0.0,0.0,1.0,0.0
26,0.2,0.0,0.8,0.0
27,0.2,0.0,0.5,0.3
28,0.0,0.7,0.3,0.0
29,0.4,0.0,0.5,0.1
30,0.8,0.0,0.2,0.0
31,0.5,0.1,0.3,0.1
32,0.9,0.1,0.0,0.0
33,0.1,0.0,0.9,0.0
34,0.0,0.0,1.0,0.0
35,0.0,0.6,0.4,0.0
36,0.2,0.0,0.4,0.4
37,0.0,0.6,0.4,0.0
38,0.1,0.0,0.9,0.0
39,0.0,1.0,0.0,0.0
40,0.6,0.0,0.0,0.4
41,0.0,0.0,1.0,0.0
42,0.1,0.1,0.8,0.0
43,0.2,0.0,0.7,0.1
44,0.0,0.0,1.0,0.0
45,0.1,0.0,0.9,0.0
46,0.3,0.0,0.7,0.0
47,0.6,0.0,0.0,0.4
48,1.0,0.0,0.0,0.0
49,0.3,0.0,0.7,0.0
50,0.2,0.0,0.8,0.0
51,1.0,0.0,0.0,0.0
52,0.1,0.0,0.4,0.5
53,0.3,0.6,0.1,0.0
54,0.0,0.0,1.0,0.0
55,0.0,0.8,0.2,0.0
56,0.4,0.0,0.6,0.0
57,0.0,1.0,0.0,0.0
58,0.3,0.0,0.7,0.0
59,0.4,0.0,0.6,0.0
60,0.6,0.0,0.2,0.2
61,0.0,0.0,0.5,0.5
62,0.3,0.0,0.0,0.7
63,0.4,0.2,0.3,0.1
64,0.2,0.0,0.8,0.0
65,0.6,0.0,0.0,0.4
66,0.0,1.0,0.0,0.0
67,0.1,0.0,0.9,0.0
68,0.0,0.3,0.7,0.0
69,0.9,0.0,0.1,0.0
70,0.2,0.0,0.7,0.1
71,0.0,1.0,0.0,0.0
72,0.0,0.7,0.3,0.0
73,0.2,0.2,0.6,0.0
74,0.0,0.0,0.2,0.8
75,0.7,0.0,0.0,0.3
76,0.2,0.7,0.1,0.0
77,0.3,0.0,0.7,0.0
78,0.2,0.0,0.8,0.0
79,0.3,0.0,0.1,0.6
80,0.0,0.4,0.6,0.0
81,0.1,0.0,0.9,0.0
82,0.9,0.0,0.1,0.0
83,0.6,0.0,0.3,0.1
84,0.2,0.7,0.1,0.0
85,0.0,0.8,0.2,0.0
86,0.6,0.0,0.0,0.4
87,0.0,0.0,1.0,0.0
88,0.0,1.0,0.0,0.0
89,0.1,0.0,0.2,0.7
90,0.1,0.0,0.8,0.1
91,1.0,0.0,0.0,0.0
92,0.9,0.0,0.1,0.0
93,0.4,0.0,0.2,0.4
94,0.7,0.0,0.3,0.0
95,0.4,0.0,0.4,0.2
96,0.4,0.1,0.5,0.0
97,0.1,0.9,0.0,0.0
98,0.2,0.1,0.4,0.3
99,0.4,0.0,0.6,0.0
100,0.0,0.1,0.9,0.0
101,0.0,0.0,1.0,0.0
102,0.7,0.0,0.3,0.0
103,0.0,0.0,1.0,0.0
104,0.0,0.9,0.1,0.0
105,0.1,0.0,0.9,0.0
106,0.0,0.0,1.0,0.0
107,0.5,0.0,0.4,0.1
108,0.8,0.0,0.1,0.1
109,0.5,0.0,0.5,0.0
110,0.0,0.0,1.0,0.0
111,0.3,0.0,0.7,0.0
112,0.5,0.3,0.2,0.0
113,0.0,0.0,1.0,0.0
114,0.3,0.0,0.2,0.5
115,0.8,0.0,0.2,0.0
116,0.4,0.0,0.4,0.2
117,0.1,0.0,0.9,0.0
118,0.5,0.5,0.0,0.0
119,0.1,0.8,0.1,0.0
120,1.0,0.0,0.0,0.0
121,0.0,0.8,0.2,0.0
122,0.3,0.0,0.7,0.0
123,0.2,0.0,0.6,0.2
124,0.1,0.0,0.9,0.0
125,0.0,0.0,1.0,0.0
126,0.4,0.0,0.6,0.0
127,0.0,0.0,0.9,0.1
128,0.0,0.0,1.0,0.0
129,0.1,0.2,0.7,0.0
130,0.0,0.0,1.0,0.0
131,0.3,0.0,0.7,0.0
132,0.2,0.0,0.8,0.0
133,0.0,0.1,0.9,0.0
134,0.6,0.0,0.4,0.0
135,0.6,0.1,0.3,0.0
136,0.1,0.0,0.2,0.7
137,0.2,0.0,0.8,0.0
138,1.0,0.0,0.0,0.0
139,0.2,0.0,0.7,0.1
140,0.2,0.2,0.1,0.5
141,0.0,0.9,0.1,0.0
142,0.5,0.0,0.5,0.0
143,0.1,0.2,0.7,0.0
144,0.1,0.0,0.9,0.0
145,0.0,0.5,0.5,0.0
146,0.0,0.0,0.5,0.5
147,0.8,0.0,0.2,0.0
148,0.0,1.0,0.0,0.0
149,0.0,0.7,0.3,0.0
150,0.5,0.0,0.5,0.0
151,0.0,0.0,1.0,0.0
152,0.4,0.0,0.3,0.3
153,0.6,0.0,0.4,0.0
154,0.0,1.0,0.0,0.0
155,0.0,0.0,1.0,0.0
156,0.1,0.0,0.9,0.0
157,0.4,0.1,0.5,0.0
158,0.3,0.0,0.0,0.7
159,0.9,0.0,0.1,0.0
160,0.0,0.0,1.0,0.0
161,0.2,0.0,0.3,0.5
162,0.1,0.0,0.9,0.0
163,0.5,0.0,0.4,0.1
164,0.1,0.9,0.0,0.0
165,0.1,0.0,0.9,0.0
166,0.0,0.4,0.6,0.0
167,0.6,0.0,0.3,0.1
168,0.8,0.0,0.0,0.2
169,1.0,0.0,0.0,0.0
170,0.1,0.5,0.4,0.0
171,0.1,0.1,0.7,0.1
172,0.2,0.0,0.6,0.2
173,0.0,0.0,1.0,0.0
174,0.0,0.0,1.0,0.0
175,0.1,0.2,0.2,0.5
176,0.1,0.0,0.8,0.1
177,0.4,0.4,0.2,0.0
178,0.4,0.5,0.1,0.0
179,0.7,0.0,0.3,0.0
180,0.0,0.8,0.2,0.0
181,0.6,0.0,0.1,0.3
182,0.1,0.0,0.9,0.0
183,0.0,0.0,0.8,0.2
184,1.0,0.0,0.0,0.0
185,0.0,0.0,1.0,0.0
186,1.0,0.0,0.0,0.0
187,0.1,0.0,0.5,0.4
188,0.1,0.0,0.8,0.1
189,0.1,0.9,0.0,0.0
190,0.0,0.8,0.2,0.0
191,0.1,0.9,0.0,0.0
192,0.0,0.0,1.0,0.0
193,0.2,0.0,0.5,0.3
194,0.5,0.0,0.2,0.3
195,0.0,0.0,1.0,0.0
196,0.2,0.2,0.6,0.0
197,0.0,1.0,0.0,0.0
198,0.1,0.0,0.7,0.2
199,0.0,0.0,1.0,0.0
200,0.0,0.9,0.1,0.0
201,0.5,0.0,0.5,0.0
202,1.0,0.0,0.0,0.0
203,0.6,0.0,0.1,0.3
204,0.9,0.0,0.1,0.0
205,0.0,0.0,1.0,0.0
206,0.8,0.0,0.2,0.0
207,0.5,0.0,0.1,0.4
208,0.1,0.6,0.3,0.0
209,1.0,0.0,0.0,0.0
210,0.0,0.8,0.2,0.0
211,0.5,0.1,0.0,0.4
212,0.0,0.0,0.8,0.2
213,0.5,0.0,0.5,0.0
214,0.5,0.0,0.5,0.0
215,0.2,0.8,0.0,0.0
216,0.4,0.0,0.0,0.6
217,0.1,0.0,0.0,0.9
218,0.1,0.0,0.9,0.0
219,0.8,0.0,0.1,0.1
220,0.0,0.0,0.4,0.6
221,0.7,0.0,0.0,0.3
222,0.0,0.0,1.0,0.0
223,0.0,0.0,0.9,0.1
224,0.8,0.0,0.1,0.1
225,0.9,0.1,0.0,0.0
226,0.1,0.9,0.0,0.0
227,0.6,0.0,0.4,0.0
228,1.0,0.0,0.0,0.0
229,0.3,0.2,0.5,0.0
230,0.1,0.2,0.7,0.0
231,0.0,0.0,1.0,0.0
232,1.0,0.0,0.0,0.0
233,0.0,0.0,1.0,0.0
234,0.9,0.0,0.1,0.0
235,0.0,0.6,0.4,0.0
236,0.0,0.8,0.2,0.0
237,0.0,0.0,0.9,0.1
238,0.4,0.1,0.3,0.2
239,0.5,0.0,0.5,0.0
240,0.0,1.0,0.0,0.0
241,0.3,0.0,0.7,0.0
242,0.1,0.0,0.0,0.9
243,0.9,0.0,0.1,0.0
244,0.8,0.2,0.0,0.0
