,20th century,21st century,Pre-1900s,Unknown
0,0.0,0.0,0.5,0.5
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.9,0.1
3,0.0,0.0,1.0,0.0
4,0.1,0.0,0.0,0.9
5,0.1,0.1,0.0,0.8
6,0.0,0.0,0.0,1.0
7,0.0,0.0,1.0,0.0
8,0.0,0.0,0.9,0.1
9,0.0,0.0,0.4,0.6
10,0.1,0.0,0.0,0.9
11,0.7,0.0,0.0,0.3
12,0.0,0.0,0.8,0.2
13,0.0,0.0,0.0,1.0
14,0.4,0.0,0.6,0.0
15,0.1,0.1,0.0,0.8
16,0.6,0.1,0.0,0.3
17,0.0,1.0,0.0,0.0
18,0.0,0.0,0.0,1.0
19,0.9,0.0,0.1,0.0
20,0.0,0.0,0.0,1.0
21,1.0,0.0,0.0,0.0
22,0.8,0.0,0.0,0.2
23,0.1,0.0,0.6,0.3
24,0.3,0.0,0.0,0.7
25,0.0,0.0,0.0,1.0
26,0.2,0.0,0.0,0.8
27,0.2,0.3,0.0,0.5
28,0.0,0.0,0.7,0.3
29,0.4,0.1,0.0,0.5
30,0.8,0.0,0.0,0.2
31,0.5,0.1,0.1,0.3
32,0.9,0.0,0.1,0.0
33,0.1,0.0,0.0,0.9
34,0.0,0.0,0.0,1.0
35,0.0,0.0,0.6,0.4
36,0.2,0.4,0.0,0.4
37,0.0,0.0,0.6,0.4
38,0.1,0.0,0.0,0.9
39,0.0,0.0,1.0,0.0
40,0.6,0.4,0.0,0.0
41,0.0,0.0,0.0,1.0
42,0.1,0.0,0.1,0.8
43,0.2,0.1,0.0,0.7
44,0.0,0.0,0.0,1.0
45,0.1,0.0,0.0,0.9
46,0.3,0.0,0.0,0.7
47,0.6,0.4,0.0,0.0
48,1.0,0.0,0.0,0.0
49,0.3,0.0,0.0,0.7
50,0.2,0.0,0.0,0.8
51,1.0,0.0,0.0,0.0
52,0.1,0.5,0.0,0.4
53,0.3,0.0,0.6,0.1
54,0.0,0.0,0.0,1.0
55,0.0,0.0,0.8,0.2
56,0.4,0.0,0.0,0.6
57,0.0,0.0,1.0,0.0
58,0.3,0.0,0.0,0.7
59,0.4,0.0,0.0,0.6
60,0.6,0.2,0.0,0.2
61,0.0,0.5,0.0,0.5
62,0.3,0.7,0.0,0.0
63,0.4,0.1,0.2,0.3
64,0.2,0.0,0.0,0.8
65,0.6,0.4,0.0,0.0
66,0.0,0.0,1.0,0.0
67,0.1,0.0,0.0,0.9
68,0.0,0.0,0.3,0.7
69,0.9,0.0,0.0,0.1
70,0.2,0.1,0.0,0.7
71,0.0,0.0,1.0,0.0
72,0.0,0.0,0.7,0.3
73,0.2,0.0,0.2,0.6
74,0.0,0.8,0.0,0.2
75,0.7,0.3,0.0,0.0
76,0.2,0.0,0.7,0.1
77,0.3,0.0,0.0,0.7
78,0.2,0.0,0.0,0.8
79,0.3,0.6,0.0,0.1
80,0.0,0.0,0.4,0.6
81,0.1,0.0,0.0,0.9
82,0.9,0.0,0.0,0.1
83,0.6,0.1,0.0,0.3
84,0.2,0.0,0.7,0.1
85,0.0,0.0,0.8,0.2
86,0.6,0.4,0.0,0.0
87,0.0,0.0,0.0,1.0
88,0.0,0.0,1.0,0.0
89,0.1,0.7,0.0,0.2
90,0.1,0.1,0.0,0.8
91,1.0,0.0,0.0,0.0
92,0.9,0.0,0.0,0.1
93,0.4,0.4,0.0,0.2
94,0.7,0.0,0.0,0.3
95,0.4,0.2,0.0,0.4
96,0.4,0.0,0.1,0.5
97,0.1,0.0,0.9,0.0
98,0.2,0.3,0.1,0.4
99,0.4,0.0,0.0,0.6
100,0.0,0.0,0.1,0.9
101,0.0,0.0,0.0,1.0
102,0.7,0.0,0.0,0.3
103,0.0,0.0,0.0,1.0
104,0.0,0.0,0.9,0.1
105,0.1,0.0,0.0,0.9
106,0.0,0.0,0.0,1.0
107,0.5,0.1,0.0,0.4
108,0.8,0.1,0.0,0.1
109,0.5,0.0,0.0,0.5
110,0.0,0.0,0.0,1.0
111,0.3,0.0,0.0,0.7
112,0.5,0.0,0.3,0.2
113,0.0,0.0,0.0,1.0
114,0.3,0.5,0.0,0.2
115,0.8,0.0,0.0,0.2
116,0.4,0.2,0.0,0.4
117,0.1,0.0,0.0,0.9
118,0.5,0.0,0.5,0.0
119,0.1,0.0,0.8,0.1
120,1.0,0.0,0.0,0.0
121,0.0,0.0,0.8,0.2
122,0.3,0.0,0.0,0.7
123,0.2,0.2,0.0,0.6
124,0.1,0.0,0.0,0.9
125,0.0,0.0,0.0,1.0
126,0.4,0.0,0.0,0.6
127,0.0,0.1,0.0,0.9
128,0.0,0.0,0.0,1.0
129,0.1,0.0,0.2,0.7
130,0.0,0.0,0.0,1.0
131,0.3,0.0,0.0,0.7
132,0.2,0.0,0.0,0.8
133,0.0,0.0,0.1,0.9
134,0.6,0.0,0.0,0.4
135,0.6,0.0,0.1,0.3
136,0.1,0.7,0.0,0.2
137,0.2,0.0,0.0,0.8
138,1.0,0.0,0.0,0.0
139,0.2,0.1,0.0,0.7
140,0.2,0.5,0.2,0.1
141,0.0,0.0,0.9,0.1
142,0.5,0.0,0.0,0.5
143,0.1,0.0,0.2,0.7
144,0.1,0.0,0.0,0.9
145,0.0,0.0,0.5,0.5
146,0.0,0.5,0.0,0.5
147,0.8,0.0,0.0,0.2
148,0.0,0.0,1.0,0.0
149,0.0,0.0,0.7,0.3
150,0.5,0.0,0.0,0.5
151,0.0,0.0,0.0,1.0
152,0.4,0.3,0.0,0.3
153,0.6,0.0,0.0,0.4
154,0.0,0.0,1.0,0.0
155,0.0,0.0,0.0,1.0
156,0.1,0.0,0.0,0.9
157,0.4,0.0,0.1,0.5
158,0.3,0.7,0.0,0.0
159,0.9,0.0,0.0,0.1
160,0.0,0.0,0.0,1.0
161,0.2,0.5,0.0,0.3
162,0.1,0.0,0.0,0.9
163,0.5,0.1,0.0,0.4
164,0.1,0.0,0.9,0.0
165,0.1,0.0,0.0,0.9
166,0.0,0.0,0.4,0.6
167,0.6,0.1,0.0,0.3
168,0.8,0.2,0.0,0.0
169,1.0,0.0,0.0,0.0
170,0.1,0.0,0.5,0.4
171,0.1,0.1,0.1,0.7
172,0.2,0.2,0.0,0.6
173,0.0,0.0,0.0,1.0
174,0.0,0.0,0.0,1.0
175,0.1,0.5,0.2,0.2
176,0.1,0.1,0.0,0.8
177,0.4,0.0,0.4,0.2
178,0.4,0.0,0.5,0.1
179,0.7,0.0,0.0,0.3
180,0.0,0.0,0.8,0.2
181,0.6,0.3,0.0,0.1
182,0.1,0.0,0.0,0.9
183,0.0,0.2,0.0,0.8
184,1.0,0.0,0.0,0.0
185,0.0,0.0,0.0,1.0
186,1.0,0.0,0.0,0.0
187,0.1,0.4,0.0,0.5
188,0.1,0.1,0.0,0.8
189,0.1,0.0,0.9,0.0
190,0.0,0.0,0.8,0.2
191,0.1,0.0,0.9,0.0
192,0.0,0.0,0.0,1.0
193,0.2,0.3,0.0,0.5
194,0.5,0.3,0.0,0.2
195,0.0,0.0,0.0,1.0
196,0.2,0.0,0.2,0.6
197,0.0,0.0,1.0,0.0
198,0.1,0.2,0.0,0.7
199,0.0,0.0,0.0,1.0
200,0.0,0.0,0.9,0.1
201,0.5,0.0,0.0,0.5
202,1.0,0.0,0.0,0.0
203,0.6,0.3,0.0,0.1
204,0.9,0.0,0.0,0.1
205,0.0,0.0,0.0,1.0
206,0.8,0.0,0.0,0.2
207,0.5,0.4,0.0,0.1
208,0.1,0.0,0.6,0.3
209,1.0,0.0,0.0,0.0
210,0.0,0.0,0.8,0.2
211,0.5,0.4,0.1,0.0
212,0.0,0.2,0.0,0.8
213,0.5,0.0,0.0,0.5
214,0.5,0.0,0.0,0.5
215,0.2,0.0,0.8,0.0
216,0.4,0.6,0.0,0.0
217,0.1,0.9,0.0,0.0
218,0.1,0.0,0.0,0.9
219,0.8,0.1,0.0,0.1
220,0.0,0.6,0.0,0.4
221,0.7,0.3,0.0,0.0
222,0.0,0.0,0.0,1.0
223,0.0,0.1,0.0,0.9
224,0.8,0.1,0.0,0.1
225,0.9,0.0,0.1,0.0
226,0.1,0.0,0.9,0.0
227,0.6,0.0,0.0,0.4
228,1.0,0.0,0.0,0.0
229,0.3,0.0,0.2,0.5
230,0.1,0.0,0.2,0.7
231,0.0,0.0,0.0,1.0
232,1.0,0.0,0.0,0.0
233,0.0,0.0,0.0,1.0
234,0.9,0.0,0.0,0.1
235,0.0,0.0,0.6,0.4
236,0.0,0.0,0.8,0.2
237,0.0,0.1,0.0,0.9
238,0.4,0.2,0.1,0.3
239,0.5,0.0,0.0,0.5
240,0.0,0.0,1.0,0.0
241,0.3,0.0,0.0,0.7
242,0.1,0.9,0.0,0.0
243,0.9,0.0,0.0,0.1
244,0.8,0.0,0.2,0.0
