,2017-2022,2012-2016,2007-2011,2001-2006
0,0.1,0.1,0.7,0.1
1,0.2,0.1,0.4,0.3
2,0.2,0.1,0.1,0.6
3,0.0,0.0,0.2,0.8
4,0.1,0.1,0.5,0.3
5,0.0,0.1,0.4,0.5
6,0.0,0.0,0.1,0.9
7,0.1,0.1,0.4,0.4
8,0.0,0.0,0.0,1.0
9,0.0,0.1,0.6,0.3
10,0.0,0.2,0.5,0.3
11,0.1,0.2,0.4,0.3
12,0.0,0.1,0.4,0.5
13,0.2,0.1,0.2,0.5
14,0.0,0.4,0.6,0.0
15,0.0,0.0,0.1,0.9
16,0.2,0.1,0.0,0.7
17,0.0,0.0,0.6,0.4
18,0.0,0.0,0.9,0.1
19,0.0,0.0,0.0,1.0
20,0.0,0.0,0.2,0.8
21,0.0,0.3,0.1,0.6
22,0.0,0.1,0.2,0.7
23,0.1,0.3,0.2,0.4
24,0.1,0.2,0.5,0.2
25,0.0,0.0,0.0,1.0
26,0.1,0.2,0.1,0.6
27,0.1,0.1,0.3,0.5
28,0.1,0.0,0.2,0.7
29,0.2,0.3,0.2,0.3
30,0.0,0.1,0.4,0.5
31,0.4,0.1,0.2,0.3
32,0.3,0.2,0.4,0.1
33,0.0,0.0,0.2,0.8
34,0.2,0.1,0.1,0.6
35,0.0,0.0,0.3,0.7
36,0.2,0.4,0.2,0.2
37,0.1,0.1,0.5,0.3
38,0.0,0.3,0.4,0.3
39,0.0,0.0,0.0,1.0
40,0.0,0.1,0.4,0.5
41,0.1,0.1,0.2,0.6
42,0.2,0.2,0.4,0.2
43,0.3,0.3,0.2,0.2
44,0.0,0.0,0.2,0.8
45,0.0,0.0,0.3,0.7
46,0.0,0.1,0.0,0.9
47,0.2,0.0,0.3,0.5
48,0.2,0.1,0.1,0.6
49,0.3,0.2,0.4,0.1
50,0.5,0.0,0.2,0.3
51,0.0,0.0,0.5,0.5
52,0.3,0.1,0.3,0.3
53,0.1,0.1,0.1,0.7
54,0.0,0.0,0.0,1.0
55,0.0,0.0,0.4,0.6
56,0.1,0.1,0.7,0.1
57,0.1,0.0,0.3,0.6
58,0.1,0.0,0.5,0.4
59,0.2,0.1,0.6,0.1
60,0.1,0.2,0.4,0.3
61,0.2,0.2,0.4,0.2
62,0.0,0.3,0.7,0.0
63,0.1,0.4,0.2,0.3
64,0.1,0.4,0.2,0.3
65,0.0,0.2,0.7,0.1
66,0.1,0.1,0.5,0.3
67,0.1,0.1,0.2,0.6
68,0.0,0.1,0.6,0.3
69,0.2,0.1,0.4,0.3
70,0.1,0.1,0.3,0.5
71,0.0,0.0,1.0,0.0
72,0.1,0.0,0.4,0.5
73,0.2,0.1,0.1,0.6
74,0.0,0.3,0.3,0.4
75,0.0,0.1,0.5,0.4
76,0.1,0.3,0.2,0.4
77,0.2,0.0,0.2,0.6
78,0.1,0.2,0.6,0.1
79,0.2,0.4,0.2,0.2
80,0.1,0.0,0.3,0.6
81,0.3,0.2,0.3,0.2
82,0.1,0.4,0.5,0.0
83,0.6,0.0,0.2,0.2
84,0.1,0.1,0.2,0.6
85,0.0,0.0,0.7,0.3
86,0.1,0.1,0.5,0.3
87,0.0,0.1,0.4,0.5
88,0.1,0.2,0.6,0.1
89,0.1,0.1,0.4,0.4
90,0.1,0.1,0.3,0.5
91,0.1,0.4,0.5,0.0
92,0.0,0.0,1.0,0.0
93,0.1,0.4,0.3,0.2
94,0.0,0.3,0.3,0.4
95,0.1,0.3,0.2,0.4
96,0.2,0.0,0.4,0.4
97,0.1,0.0,0.5,0.4
98,0.2,0.2,0.4,0.2
99,0.3,0.2,0.4,0.1
100,0.0,0.4,0.4,0.2
101,0.0,0.0,0.7,0.3
102,0.3,0.2,0.5,0.0
103,0.1,0.0,0.3,0.6
104,0.1,0.2,0.2,0.5
105,0.1,0.5,0.3,0.1
106,0.7,0.0,0.3,0.0
107,0.2,0.1,0.2,0.5
108,0.2,0.2,0.4,0.2
109,0.5,0.2,0.1,0.2
110,0.0,0.0,0.8,0.2
111,0.2,0.4,0.4,0.0
112,0.2,0.1,0.3,0.4
113,0.0,0.0,1.0,0.0
114,0.1,0.2,0.2,0.5
115,0.0,0.1,0.6,0.3
116,0.2,0.3,0.3,0.2
117,0.4,0.1,0.1,0.4
118,0.0,0.2,0.7,0.1
119,0.2,0.5,0.1,0.2
120,0.0,0.0,0.9,0.1
121,0.2,0.3,0.3,0.2
122,0.2,0.1,0.5,0.2
123,0.2,0.2,0.5,0.1
124,0.2,0.2,0.3,0.3
125,0.2,0.0,0.3,0.5
126,0.2,0.3,0.4,0.1
127,0.0,0.1,0.4,0.5
128,0.3,0.5,0.0,0.2
129,0.1,0.6,0.2,0.1
130,0.0,0.1,0.9,0.0
131,0.1,0.1,0.3,0.5
132,0.1,0.1,0.4,0.4
133,0.5,0.4,0.1,0.0
134,0.4,0.0,0.4,0.2
135,0.2,0.1,0.6,0.1
136,0.1,0.4,0.4,0.1
137,0.2,0.1,0.1,0.6
138,0.0,0.4,0.0,0.6
