,e-k,a-d,s-,l-r
0,0.0,0.5,0.2,0.3
1,0.1,0.3,0.2,0.4
2,0.3,0.1,0.1,0.5
3,0.2,0.0,0.3,0.5
4,0.1,0.3,0.4,0.2
5,0.0,0.1,0.2,0.7
6,0.0,0.0,1.0,0.0
7,0.1,0.3,0.4,0.2
8,0.0,0.3,0.4,0.3
9,0.2,0.3,0.5,0.0
10,0.4,0.1,0.3,0.2
11,0.4,0.5,0.0,0.1
12,0.3,0.1,0.2,0.4
13,0.3,0.2,0.2,0.3
14,0.5,0.1,0.1,0.3
15,0.0,0.0,1.0,0.0
16,0.2,0.4,0.0,0.4
17,0.0,0.0,0.0,1.0
18,0.0,0.1,0.2,0.7
19,0.5,0.2,0.2,0.1
20,0.6,0.1,0.0,0.3
21,0.2,0.3,0.4,0.1
22,0.1,0.4,0.4,0.1
23,0.3,0.4,0.1,0.2
24,0.4,0.2,0.1,0.3
25,0.0,0.0,1.0,0.0
26,0.0,0.2,0.6,0.2
27,0.3,0.5,0.1,0.1
28,0.3,0.1,0.0,0.6
29,0.1,0.5,0.2,0.2
30,0.3,0.2,0.3,0.2
31,0.3,0.3,0.1,0.3
32,0.3,0.3,0.0,0.4
33,0.1,0.4,0.3,0.2
34,0.0,0.3,0.6,0.1
35,0.0,0.4,0.1,0.5
36,0.4,0.2,0.2,0.2
37,0.1,0.6,0.2,0.1
38,0.1,0.2,0.4,0.3
39,0.0,1.0,0.0,0.0
40,0.2,0.3,0.4,0.1
41,0.2,0.0,0.6,0.2
42,0.6,0.3,0.0,0.1
43,0.6,0.1,0.2,0.1
44,0.1,0.1,0.1,0.7
45,0.2,0.0,0.7,0.1
46,0.0,1.0,0.0,0.0
47,0.4,0.2,0.3,0.1
48,0.4,0.2,0.2,0.2
49,0.3,0.2,0.4,0.1
50,0.4,0.1,0.1,0.4
51,0.4,0.1,0.5,0.0
52,0.3,0.4,0.0,0.3
53,0.6,0.2,0.1,0.1
54,1.0,0.0,0.0,0.0
55,0.3,0.2,0.0,0.5
56,0.2,0.1,0.2,0.5
57,0.2,0.1,0.3,0.4
58,0.2,0.4,0.2,0.2
59,0.0,0.4,0.2,0.4
60,0.2,0.7,0.0,0.1
61,0.2,0.7,0.1,0.0
62,0.0,0.6,0.2,0.2
63,0.3,0.4,0.0,0.3
64,0.1,0.3,0.1,0.5
65,0.2,0.1,0.4,0.3
66,0.3,0.3,0.1,0.3
67,1.0,0.0,0.0,0.0
68,0.7,0.1,0.2,0.0
69,0.3,0.3,0.0,0.4
70,0.3,0.1,0.3,0.3
71,0.1,0.9,0.0,0.0
72,0.1,0.2,0.3,0.4
73,0.2,0.1,0.1,0.6
74,0.2,0.3,0.3,0.2
75,0.0,0.1,0.7,0.2
76,0.0,0.5,0.2,0.3
77,0.4,0.0,0.0,0.6
78,0.0,0.0,0.1,0.9
79,0.1,0.3,0.5,0.1
80,0.3,0.3,0.4,0.0
81,0.3,0.0,0.3,0.4
82,0.0,0.8,0.2,0.0
83,0.0,0.3,0.2,0.5
84,0.5,0.1,0.4,0.0
85,0.2,0.5,0.0,0.3
86,0.1,0.4,0.4,0.1
87,0.3,0.3,0.1,0.3
88,0.0,1.0,0.0,0.0
89,0.1,0.3,0.0,0.6
90,0.4,0.2,0.2,0.2
91,0.1,0.3,0.3,0.3
92,0.3,0.2,0.4,0.1
93,0.1,0.1,0.6,0.2
94,0.3,0.0,0.4,0.3
95,0.1,0.2,0.3,0.4
96,0.3,0.0,0.1,0.6
97,0.3,0.1,0.4,0.2
98,0.2,0.4,0.2,0.2
99,0.2,0.1,0.3,0.4
100,0.0,0.2,0.3,0.5
101,0.2,0.6,0.0,0.2
102,0.3,0.2,0.0,0.5
103,0.1,0.1,0.2,0.6
104,0.0,0.6,0.3,0.1
105,0.4,0.2,0.2,0.2
106,0.5,0.4,0.0,0.1
107,0.2,0.5,0.2,0.1
108,0.4,0.2,0.4,0.0
109,0.0,0.6,0.1,0.3
110,0.0,0.0,1.0,0.0
111,0.3,0.4,0.0,0.3
112,0.2,0.4,0.2,0.2
113,0.0,1.0,0.0,0.0
114,0.2,0.0,0.4,0.4
115,0.1,0.4,0.3,0.2
116,0.3,0.2,0.2,0.3
117,0.2,0.2,0.5,0.1
118,0.7,0.0,0.2,0.1
119,0.1,0.5,0.2,0.2
120,0.0,0.0,0.0,1.0
121,0.6,0.1,0.1,0.2
122,0.1,0.3,0.2,0.4
123,0.2,0.3,0.1,0.4
124,0.1,0.2,0.4,0.3
125,0.2,0.5,0.2,0.1
126,0.2,0.5,0.0,0.3
127,0.4,0.1,0.3,0.2
128,0.0,0.3,0.7,0.0
129,0.0,0.1,0.1,0.8
130,1.0,0.0,0.0,0.0
131,0.3,0.3,0.1,0.3
132,0.3,0.4,0.2,0.1
133,0.0,0.5,0.2,0.3
134,0.4,0.1,0.0,0.5
135,0.1,0.1,0.2,0.6
136,0.1,0.3,0.5,0.1
137,0.0,0.0,0.9,0.1
138,0.5,0.1,0.3,0.1
139,0.8,0.1,0.0,0.1
140,0.0,0.9,0.1,0.0
141,0.2,0.3,0.2,0.3
142,0.1,0.5,0.3,0.1
143,0.0,0.4,0.2,0.4
144,0.2,0.1,0.3,0.4
145,0.1,0.3,0.6,0.0
146,0.0,0.9,0.0,0.1
147,0.1,0.7,0.0,0.2
148,0.4,0.4,0.1,0.1
149,0.0,0.5,0.4,0.1
150,0.4,0.2,0.1,0.3
151,0.0,0.9,0.1,0.0
152,0.2,0.3,0.3,0.2
153,0.1,0.1,0.1,0.7
154,0.5,0.0,0.2,0.3
155,0.0,0.1,0.9,0.0
156,0.2,0.2,0.3,0.3
157,0.0,0.7,0.2,0.1
158,0.1,0.2,0.4,0.3
159,0.4,0.2,0.3,0.1
160,0.3,0.2,0.0,0.5
161,0.3,0.2,0.2,0.3
162,0.2,0.3,0.2,0.3
163,0.0,0.3,0.3,0.4
164,0.6,0.1,0.3,0.0
165,0.0,0.2,0.4,0.4
166,0.0,0.8,0.2,0.0
167,0.2,0.3,0.2,0.3
168,0.1,0.1,0.4,0.4
169,0.4,0.1,0.3,0.2
170,0.2,0.3,0.4,0.1
171,0.2,0.2,0.2,0.4
172,0.0,0.8,0.2,0.0
173,1.0,0.0,0.0,0.0
174,0.0,0.0,1.0,0.0
175,0.3,0.3,0.0,0.4
176,0.1,0.4,0.3,0.2
177,0.0,1.0,0.0,0.0
178,0.4,0.1,0.3,0.2
179,0.4,0.1,0.5,0.0
180,0.5,0.0,0.5,0.0
181,0.0,1.0,0.0,0.0
182,0.1,0.6,0.2,0.1
183,0.2,0.1,0.6,0.1
184,0.5,0.1,0.2,0.2
185,0.2,0.2,0.4,0.2
186,0.6,0.3,0.0,0.1
187,0.3,0.5,0.0,0.2
188,0.2,0.2,0.4,0.2
189,0.3,0.4,0.1,0.2
190,0.2,0.7,0.0,0.1
191,0.3,0.1,0.3,0.3
192,0.0,1.0,0.0,0.0
193,0.2,0.1,0.5,0.2
194,0.3,0.1,0.3,0.3
195,0.3,0.1,0.3,0.3
196,0.2,0.5,0.1,0.2
197,0.1,0.8,0.1,0.0
198,0.2,0.4,0.1,0.3
199,0.1,0.1,0.1,0.7
200,0.5,0.2,0.2,0.1
201,0.1,0.4,0.2,0.3
202,0.5,0.0,0.5,0.0
203,0.2,0.4,0.2,0.2
204,0.3,0.3,0.2,0.2
205,0.0,0.0,0.5,0.5
206,0.5,0.1,0.3,0.1
207,0.2,0.0,0.5,0.3
208,0.2,0.4,0.4,0.0
209,0.4,0.2,0.1,0.3
210,0.1,0.5,0.2,0.2
211,0.4,0.3,0.1,0.2
212,0.2,0.0,0.3,0.5
213,0.1,0.2,0.1,0.6
214,0.4,0.2,0.3,0.1
215,0.3,0.1,0.4,0.2
216,0.3,0.5,0.1,0.1
217,0.1,0.0,0.4,0.5
218,0.2,0.2,0.0,0.6
219,0.1,0.4,0.3,0.2
220,0.3,0.5,0.0,0.2
221,0.2,0.6,0.2,0.0
222,0.0,0.6,0.0,0.4
223,0.2,0.2,0.3,0.3
224,0.4,0.0,0.5,0.1
225,0.2,0.3,0.2,0.3
226,0.3,0.2,0.1,0.4
227,0.1,0.0,0.4,0.5
228,0.2,0.2,0.3,0.3
229,0.0,0.4,0.3,0.3
230,0.4,0.1,0.2,0.3
231,0.4,0.2,0.4,0.0
232,0.3,0.3,0.3,0.1
233,0.0,0.1,0.3,0.6
234,0.5,0.1,0.2,0.2
235,0.4,0.3,0.1,0.2
236,0.4,0.2,0.2,0.2
237,0.4,0.3,0.2,0.1
238,0.2,0.2,0.2,0.4
239,0.7,0.2,0.0,0.1
240,0.1,0.4,0.4,0.1
241,0.2,0.3,0.2,0.3
242,0.1,0.5,0.3,0.1
243,0.3,0.2,0.2,0.3
244,0.4,0.2,0.1,0.3
