,e-k,a-d,s-,l-r
0,0.0,2.3999999927999998,1.1999999963999999,0.5999999981999999
1,0.6666666622222223,1.999999986666667,1.3333333244444445,2.666666648888889
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.4444444409876544,1.643290019427968
6,0.0,0.0,0.952380951360544,0.0
7,0.7333333306444444,2.1999999919333333,2.9333333225777776,1.4666666612888888
8,0.0,0.0,2.147058819325259,0.7647058795501728
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,2.999999985,1.3999999902,0.7999999904,2.999999985
14,1.6944444348418206,0.4166666644097222,0.2499999984375,1.2499999932291668
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.2499999996875
18,0.0,0.7999999952000001,1.7999999902000001,3.9999999760000007
19,1.428571420408164,0.6666666630385489,0.5714285681632656,0.2857142840816328
20,0.3999999995999998,0.0,0.0,0.1999999997999999
21,1.99999999,2.999999985,3.99999998,0.999999995
22,0.0,1.7999999902000001,2.4666666524222225,0.0
23,0.0,0.0,0.0,0.0
24,0.4444444441975304,0.2222222220987652,0.1111111110493826,0.3333333331481478
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.636363634338843,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,2.3999999856,1.5999999904000002,2.3999999856,1.5999999904000002
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,1.6363636342975205,2.454545451446281,0.8181818171487603
35,0.0,1.2166666644888888,0.7333333322444444,1.2166666644888888
36,0.0,0.0,0.0,0.0
37,0.0,2.888888888950617,0.7777777779012346,0.4999999999999999
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.9999999999999998,0.0,2.9999999999999996,0.9999999999999998
42,3.7499999984374996,1.499999999375,0.0,0.7499999996875
43,0.0,0.0,0.0,0.0
44,0.999999995,0.999999995,0.999999995,6.060606027089072
45,0.0,0.0,0.033333333472222,0.0
46,0.0,7.9499999504,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.8666666624962962,0.4666666655777778,0.9333333311555556,0.0
52,0.0727272723834712,0.1454545447669424,0.0,0.10909090857520679
53,1.499999998125,0.499999999375,0.2499999996875,0.2499999996875
54,7.399999950600001,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.999999995,0.999999995,1.99999999,2.999999985
58,0.0,0.0,0.0,0.0545454543123966
59,0.0,3.367521348106509,1.9230769131065089,3.9230769031065087
60,0.0833333332716049,1.9722222218518517,0.0,0.0833333332716049
61,0.0,0.0,0.0,0.0
62,0.0,3.904761880068028,0.3333333283333334,0.6666666566666668
63,1.4999999999999996,1.9999999999999996,0.0,1.4999999999999996
64,0.999999995,1.99999999,0.999999995,3.99999998
65,0.0,0.0,0.0714285720344388,0.3888888886381173
66,2.999999985,2.999999985,0.999999995,2.999999985
67,0.1999999997999999,0.0,0.0,0.0
68,4.666666635555556,0.6666666622222223,1.3333333244444445,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.999999995,8.999999954999998,0.0,0.0
72,0.0,0.0,0.0,0.0
73,1.99999999,0.999999995,0.999999995,5.999999969999999
74,0.1428571424362246,0.2142857136543369,0.2142857136543369,0.1428571424362246
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
