,High,Low,Medium-Low,Medium-High
0,0.0,0.8,0.2,0.0
1,0.0,0.7,0.2,0.1
2,0.0,0.5,0.5,0.0
3,0.0,0.6,0.4,0.0
4,0.3,0.4,0.3,0.0
5,0.7,0.0,0.1,0.2
6,0.0,0.1,0.6,0.3
7,0.0,0.9,0.1,0.0
8,0.0,0.3,0.7,0.0
9,0.1,0.4,0.4,0.1
10,0.1,0.3,0.5,0.1
11,0.0,0.6,0.4,0.0
12,0.0,0.3,0.5,0.2
13,0.1,0.6,0.1,0.2
14,0.0,1.0,0.0,0.0
15,0.0,0.0,0.7,0.3
16,0.2,0.2,0.2,0.4
17,0.0,0.9,0.1,0.0
18,0.0,0.9,0.1,0.0
19,0.0,1.0,0.0,0.0
20,0.0,0.4,0.5,0.1
21,0.0,0.9,0.1,0.0
22,0.0,0.4,0.4,0.2
23,0.1,0.4,0.2,0.3
24,0.0,0.5,0.3,0.2
25,0.0,1.0,0.0,0.0
26,0.0,0.6,0.1,0.3
27,0.0,0.4,0.4,0.2
28,0.0,0.2,0.7,0.1
29,0.1,0.2,0.5,0.2
30,0.0,0.2,0.6,0.2
31,0.1,0.7,0.2,0.0
32,0.0,0.9,0.1,0.0
33,0.1,0.0,0.3,0.6
34,0.5,0.0,0.2,0.3
35,0.0,0.5,0.3,0.2
36,0.1,0.5,0.1,0.3
37,0.0,0.3,0.5,0.2
38,0.0,0.9,0.1,0.0
39,0.0,1.0,0.0,0.0
40,0.0,0.6,0.4,0.0
41,0.1,0.1,0.4,0.4
42,0.0,0.6,0.4,0.0
43,0.0,0.6,0.3,0.1
44,0.1,0.1,0.6,0.2
45,0.0,0.0,0.6,0.4
46,0.0,0.8,0.2,0.0
47,0.0,0.6,0.1,0.3
48,0.0,0.3,0.2,0.5
49,0.0,0.4,0.4,0.2
50,0.1,0.4,0.1,0.4
51,0.0,0.5,0.5,0.0
52,0.0,0.2,0.5,0.3
53,0.0,0.9,0.1,0.0
54,0.0,1.0,0.0,0.0
55,0.0,0.5,0.3,0.2
56,0.0,0.9,0.1,0.0
57,0.0,0.8,0.1,0.1
58,0.3,0.0,0.1,0.6
59,0.0,0.9,0.0,0.1
60,0.0,0.3,0.6,0.1
61,0.0,0.6,0.4,0.0
62,0.0,0.5,0.2,0.3
63,0.0,0.3,0.7,0.0
64,0.6,0.2,0.1,0.1
65,0.0,0.8,0.2,0.0
66,0.0,0.4,0.5,0.1
67,0.0,0.7,0.3,0.0
68,0.0,0.4,0.6,0.0
69,0.0,0.4,0.4,0.2
70,0.3,0.1,0.3,0.3
71,0.0,1.0,0.0,0.0
72,0.0,0.5,0.5,0.0
73,0.4,0.2,0.3,0.1
74,0.1,0.8,0.1,0.0
