,Unknown,21st century,Pre-1900s,20th century
0,0.1,0.0,0.9,0.0
1,0.9,0.0,0.1,0.0
2,0.2,0.0,0.8,0.0
3,0.0,0.0,1.0,0.0
4,0.6,0.0,0.0,0.4
5,0.8,0.0,0.0,0.2
6,1.0,0.0,0.0,0.0
7,0.2,0.0,0.8,0.0
8,0.1,0.0,0.9,0.0
9,0.2,0.0,0.8,0.0
10,1.0,0.0,0.0,0.0
11,0.3,0.0,0.0,0.7
12,0.2,0.0,0.8,0.0
13,0.5,0.0,0.0,0.5
14,0.0,0.0,0.3,0.7
15,0.9,0.1,0.0,0.0
16,0.3,0.2,0.0,0.5
17,0.0,1.0,0.0,0.0
18,1.0,0.0,0.0,0.0
19,0.0,0.0,0.2,0.8
20,1.0,0.0,0.0,0.0
21,0.0,0.0,0.0,1.0
22,0.4,0.0,0.0,0.6
23,0.2,0.0,0.7,0.1
24,0.5,0.1,0.2,0.2
25,1.0,0.0,0.0,0.0
26,0.7,0.0,0.0,0.3
27,0.2,0.4,0.0,0.4
28,0.1,0.0,0.9,0.0
29,0.4,0.0,0.0,0.6
30,0.1,0.0,0.4,0.5
31,0.1,0.0,0.4,0.5
32,0.0,0.0,0.1,0.9
33,0.8,0.0,0.0,0.2
34,1.0,0.0,0.0,0.0
35,0.3,0.0,0.7,0.0
36,0.4,0.4,0.0,0.2
37,0.1,0.0,0.9,0.0
38,0.6,0.3,0.0,0.1
39,0.0,0.0,1.0,0.0
40,0.0,0.4,0.0,0.6
41,0.9,0.1,0.0,0.0
42,0.2,0.1,0.2,0.5
43,0.9,0.0,0.1,0.0
44,1.0,0.0,0.0,0.0
45,0.9,0.0,0.0,0.1
46,0.7,0.0,0.0,0.3
47,0.3,0.2,0.0,0.5
48,0.0,0.0,0.0,1.0
49,0.8,0.0,0.0,0.2
50,0.5,0.0,0.0,0.5
51,0.0,0.0,0.0,1.0
52,0.1,0.4,0.0,0.5
53,0.0,0.0,0.7,0.3
54,1.0,0.0,0.0,0.0
55,0.0,0.0,1.0,0.0
56,0.5,0.1,0.1,0.3
57,0.1,0.0,0.9,0.0
58,0.6,0.0,0.0,0.4
59,0.8,0.0,0.0,0.2
60,0.4,0.1,0.2,0.3
61,0.2,0.4,0.0,0.4
62,0.0,0.7,0.0,0.3
63,0.7,0.0,0.0,0.3
64,0.7,0.0,0.0,0.3
65,0.3,0.6,0.0,0.1
66,0.0,0.0,1.0,0.0
67,0.9,0.0,0.0,0.1
68,0.3,0.0,0.7,0.0
69,0.1,0.0,0.0,0.9
70,0.6,0.0,0.0,0.4
71,0.0,0.0,1.0,0.0
72,0.1,0.0,0.9,0.0
73,0.6,0.0,0.3,0.1
74,0.1,0.6,0.1,0.2
75,0.0,0.1,0.0,0.9
76,0.4,0.0,0.5,0.1
77,0.9,0.0,0.0,0.1
78,1.0,0.0,0.0,0.0
79,0.1,0.5,0.0,0.4
80,0.2,0.0,0.7,0.1
81,1.0,0.0,0.0,0.0
82,0.2,0.0,0.0,0.8
83,0.5,0.2,0.0,0.3
84,0.0,0.0,1.0,0.0
85,0.1,0.0,0.9,0.0
86,0.1,0.1,0.0,0.8
87,0.8,0.0,0.1,0.1
