,s-,l-r,e-k,a-d
0,0.2,0.3,0.0,0.5
1,0.2,0.4,0.1,0.3
2,0.1,0.5,0.3,0.1
3,0.3,0.5,0.2,0.0
4,0.4,0.2,0.1,0.3
5,0.2,0.7,0.0,0.1
6,1.0,0.0,0.0,0.0
7,0.4,0.2,0.1,0.3
8,0.4,0.3,0.0,0.3
9,0.5,0.0,0.2,0.3
10,0.3,0.2,0.4,0.1
11,0.0,0.1,0.4,0.5
12,0.2,0.4,0.3,0.1
13,0.2,0.3,0.3,0.2
14,0.1,0.3,0.5,0.1
15,1.0,0.0,0.0,0.0
16,0.0,0.4,0.2,0.4
17,0.0,1.0,0.0,0.0
18,0.2,0.7,0.0,0.1
19,0.2,0.1,0.5,0.2
20,0.0,0.3,0.6,0.1
21,0.4,0.1,0.2,0.3
22,0.4,0.1,0.1,0.4
23,0.1,0.2,0.3,0.4
24,0.1,0.3,0.4,0.2
25,1.0,0.0,0.0,0.0
26,0.6,0.2,0.0,0.2
27,0.1,0.1,0.3,0.5
28,0.0,0.6,0.3,0.1
29,0.2,0.2,0.1,0.5
30,0.3,0.2,0.3,0.2
31,0.1,0.3,0.3,0.3
32,0.0,0.4,0.3,0.3
33,0.3,0.2,0.1,0.4
34,0.6,0.1,0.0,0.3
35,0.1,0.5,0.0,0.4
36,0.2,0.2,0.4,0.2
37,0.2,0.1,0.1,0.6
38,0.4,0.3,0.1,0.2
39,0.0,0.0,0.0,1.0
40,0.4,0.1,0.2,0.3
41,0.6,0.2,0.2,0.0
42,0.0,0.1,0.6,0.3
43,0.2,0.1,0.6,0.1
44,0.1,0.7,0.1,0.1
45,0.7,0.1,0.2,0.0
46,0.0,0.0,0.0,1.0
47,0.3,0.1,0.4,0.2
48,0.2,0.2,0.4,0.2
49,0.4,0.1,0.3,0.2
50,0.1,0.4,0.4,0.1
51,0.5,0.0,0.4,0.1
52,0.0,0.3,0.3,0.4
53,0.1,0.1,0.6,0.2
54,0.0,0.0,1.0,0.0
55,0.0,0.5,0.3,0.2
56,0.2,0.5,0.2,0.1
57,0.3,0.4,0.2,0.1
58,0.2,0.2,0.2,0.4
59,0.2,0.4,0.0,0.4
60,0.0,0.1,0.2,0.7
61,0.1,0.0,0.2,0.7
62,0.2,0.2,0.0,0.6
63,0.0,0.3,0.3,0.4
64,0.1,0.5,0.1,0.3
65,0.4,0.3,0.2,0.1
66,0.1,0.3,0.3,0.3
67,0.0,0.0,1.0,0.0
68,0.2,0.0,0.7,0.1
69,0.0,0.4,0.3,0.3
70,0.3,0.3,0.3,0.1
71,0.0,0.0,0.1,0.9
72,0.3,0.4,0.1,0.2
73,0.1,0.6,0.2,0.1
74,0.3,0.2,0.2,0.3
75,0.7,0.2,0.0,0.1
76,0.2,0.3,0.0,0.5
77,0.0,0.6,0.4,0.0
78,0.1,0.9,0.0,0.0
79,0.5,0.1,0.1,0.3
80,0.4,0.0,0.3,0.3
81,0.3,0.4,0.3,0.0
82,0.2,0.0,0.0,0.8
83,0.2,0.5,0.0,0.3
84,0.4,0.0,0.5,0.1
85,0.0,0.3,0.2,0.5
86,0.4,0.1,0.1,0.4
87,0.1,0.3,0.3,0.3
88,0.0,0.0,0.0,1.0
89,0.0,0.6,0.1,0.3
90,0.2,0.2,0.4,0.2
91,0.3,0.3,0.1,0.3
92,0.4,0.1,0.3,0.2
93,0.6,0.2,0.1,0.1
94,0.4,0.3,0.3,0.0
95,0.3,0.4,0.1,0.2
96,0.1,0.6,0.3,0.0
97,0.4,0.2,0.3,0.1
98,0.2,0.2,0.2,0.4
99,0.3,0.4,0.2,0.1
100,0.3,0.5,0.0,0.2
101,0.0,0.2,0.2,0.6
102,0.0,0.5,0.3,0.2
103,0.2,0.6,0.1,0.1
104,0.3,0.1,0.0,0.6
105,0.2,0.2,0.4,0.2
106,0.0,0.1,0.5,0.4
107,0.2,0.1,0.2,0.5
108,0.4,0.0,0.4,0.2
109,0.1,0.3,0.0,0.6
110,1.0,0.0,0.0,0.0
111,0.0,0.3,0.3,0.4
112,0.2,0.2,0.2,0.4
113,0.0,0.0,0.0,1.0
114,0.4,0.4,0.2,0.0
115,0.3,0.2,0.1,0.4
116,0.2,0.3,0.3,0.2
117,0.5,0.1,0.2,0.2
118,0.2,0.1,0.7,0.0
119,0.2,0.2,0.1,0.5
120,0.0,1.0,0.0,0.0
121,0.1,0.2,0.6,0.1
122,0.2,0.4,0.1,0.3
123,0.1,0.4,0.2,0.3
124,0.4,0.3,0.1,0.2
125,0.2,0.1,0.2,0.5
126,0.0,0.3,0.2,0.5
127,0.3,0.2,0.4,0.1
128,0.7,0.0,0.0,0.3
129,0.1,0.8,0.0,0.1
130,0.0,0.0,1.0,0.0
131,0.1,0.3,0.3,0.3
132,0.2,0.1,0.3,0.4
133,0.2,0.3,0.0,0.5
134,0.0,0.5,0.4,0.1
135,0.2,0.6,0.1,0.1
136,0.5,0.1,0.1,0.3
137,0.9,0.1,0.0,0.0
138,0.3,0.1,0.5,0.1
139,0.0,0.1,0.8,0.1
140,0.1,0.0,0.0,0.9
141,0.2,0.3,0.2,0.3
142,0.3,0.1,0.1,0.5
143,0.2,0.4,0.0,0.4
144,0.3,0.4,0.2,0.1
145,0.6,0.0,0.1,0.3
146,0.0,0.1,0.0,0.9
147,0.0,0.2,0.1,0.7
148,0.1,0.1,0.4,0.4
149,0.4,0.1,0.0,0.5
150,0.1,0.3,0.4,0.2
151,0.1,0.0,0.0,0.9
152,0.3,0.2,0.2,0.3
153,0.1,0.7,0.1,0.1
154,0.2,0.3,0.5,0.0
155,0.9,0.0,0.0,0.1
156,0.3,0.3,0.2,0.2
157,0.2,0.1,0.0,0.7
158,0.4,0.3,0.1,0.2
159,0.3,0.1,0.4,0.2
160,0.0,0.5,0.3,0.2
161,0.2,0.3,0.3,0.2
162,0.2,0.3,0.2,0.3
163,0.3,0.4,0.0,0.3
164,0.3,0.0,0.6,0.1
165,0.4,0.4,0.0,0.2
166,0.2,0.0,0.0,0.8
167,0.2,0.3,0.2,0.3
168,0.4,0.4,0.1,0.1
169,0.3,0.2,0.4,0.1
170,0.4,0.1,0.2,0.3
171,0.2,0.4,0.2,0.2
172,0.2,0.0,0.0,0.8
173,0.0,0.0,1.0,0.0
174,1.0,0.0,0.0,0.0
175,0.0,0.4,0.3,0.3
176,0.3,0.2,0.1,0.4
177,0.0,0.0,0.0,1.0
178,0.3,0.2,0.4,0.1
179,0.5,0.0,0.4,0.1
180,0.5,0.0,0.5,0.0
181,0.0,0.0,0.0,1.0
182,0.2,0.1,0.1,0.6
183,0.6,0.1,0.2,0.1
184,0.2,0.2,0.5,0.1
185,0.4,0.2,0.2,0.2
186,0.0,0.1,0.6,0.3
187,0.0,0.2,0.3,0.5
188,0.4,0.2,0.2,0.2
189,0.1,0.2,0.3,0.4
190,0.0,0.1,0.2,0.7
191,0.3,0.3,0.3,0.1
192,0.0,0.0,0.0,1.0
193,0.5,0.2,0.2,0.1
194,0.3,0.3,0.3,0.1
195,0.3,0.3,0.3,0.1
196,0.1,0.2,0.2,0.5
197,0.1,0.0,0.1,0.8
198,0.1,0.3,0.2,0.4
199,0.1,0.7,0.1,0.1
200,0.2,0.1,0.5,0.2
201,0.2,0.3,0.1,0.4
202,0.5,0.0,0.5,0.0
203,0.2,0.2,0.2,0.4
204,0.2,0.2,0.3,0.3
205,0.5,0.5,0.0,0.0
206,0.3,0.1,0.5,0.1
207,0.5,0.3,0.2,0.0
208,0.4,0.0,0.2,0.4
209,0.1,0.3,0.4,0.2
210,0.2,0.2,0.1,0.5
211,0.1,0.2,0.4,0.3
212,0.3,0.5,0.2,0.0
213,0.1,0.6,0.1,0.2
214,0.3,0.1,0.4,0.2
215,0.4,0.2,0.3,0.1
216,0.1,0.1,0.3,0.5
217,0.4,0.5,0.1,0.0
218,0.0,0.6,0.2,0.2
219,0.3,0.2,0.1,0.4
220,0.0,0.2,0.3,0.5
221,0.2,0.0,0.2,0.6
222,0.0,0.4,0.0,0.6
223,0.3,0.3,0.2,0.2
224,0.5,0.1,0.4,0.0
225,0.2,0.3,0.2,0.3
226,0.1,0.4,0.3,0.2
227,0.4,0.5,0.1,0.0
228,0.3,0.3,0.2,0.2
229,0.3,0.3,0.0,0.4
230,0.2,0.3,0.4,0.1
231,0.4,0.0,0.4,0.2
232,0.3,0.1,0.3,0.3
233,0.3,0.6,0.0,0.1
234,0.2,0.2,0.5,0.1
235,0.1,0.2,0.4,0.3
236,0.2,0.2,0.4,0.2
237,0.2,0.1,0.4,0.3
238,0.2,0.4,0.2,0.2
239,0.0,0.1,0.7,0.2
240,0.4,0.1,0.1,0.4
241,0.2,0.3,0.2,0.3
242,0.3,0.1,0.1,0.5
243,0.2,0.3,0.3,0.2
244,0.1,0.3,0.4,0.2
