,Unknown,Pre-1900s,20th century,21st century
0,0.1,0.9,0.0,0.0
1,0.9,0.1,0.0,0.0
2,0.2,0.8,0.0,0.0
3,0.0,1.0,0.0,0.0
4,0.6,0.0,0.4,0.0
5,0.8,0.0,0.2,0.0
6,1.0,0.0,0.0,0.0
7,0.2,0.8,0.0,0.0
8,0.1,0.9,0.0,0.0
9,0.2,0.8,0.0,0.0
10,1.0,0.0,0.0,0.0
11,0.3,0.0,0.7,0.0
12,0.2,0.8,0.0,0.0
13,0.5,0.0,0.5,0.0
14,0.0,0.3,0.7,0.0
15,0.9,0.0,0.0,0.1
16,0.3,0.0,0.5,0.2
17,0.0,0.0,0.0,1.0
18,1.0,0.0,0.0,0.0
19,0.0,0.2,0.8,0.0
20,1.0,0.0,0.0,0.0
21,0.0,0.0,1.0,0.0
22,0.4,0.0,0.6,0.0
23,0.2,0.7,0.1,0.0
24,0.5,0.2,0.2,0.1
25,1.0,0.0,0.0,0.0
26,0.7,0.0,0.3,0.0
27,0.2,0.0,0.4,0.4
28,0.1,0.9,0.0,0.0
29,0.4,0.0,0.6,0.0
30,0.1,0.4,0.5,0.0
31,0.1,0.4,0.5,0.0
32,0.0,0.1,0.9,0.0
33,0.8,0.0,0.2,0.0
34,1.0,0.0,0.0,0.0
35,0.3,0.7,0.0,0.0
36,0.4,0.0,0.2,0.4
37,0.1,0.9,0.0,0.0
38,0.6,0.0,0.1,0.3
39,0.0,1.0,0.0,0.0
40,0.0,0.0,0.6,0.4
41,0.9,0.0,0.0,0.1
42,0.2,0.2,0.5,0.1
43,0.9,0.1,0.0,0.0
44,1.0,0.0,0.0,0.0
45,0.9,0.0,0.1,0.0
46,0.7,0.0,0.3,0.0
47,0.3,0.0,0.5,0.2
48,0.0,0.0,1.0,0.0
49,0.8,0.0,0.2,0.0
50,0.5,0.0,0.5,0.0
51,0.0,0.0,1.0,0.0
52,0.1,0.0,0.5,0.4
53,0.0,0.7,0.3,0.0
54,1.0,0.0,0.0,0.0
55,0.0,1.0,0.0,0.0
56,0.5,0.1,0.3,0.1
57,0.1,0.9,0.0,0.0
58,0.6,0.0,0.4,0.0
59,0.8,0.0,0.2,0.0
60,0.4,0.2,0.3,0.1
61,0.2,0.0,0.4,0.4
62,0.0,0.0,0.3,0.7
63,0.7,0.0,0.3,0.0
64,0.7,0.0,0.3,0.0
65,0.3,0.0,0.1,0.6
66,0.0,1.0,0.0,0.0
67,0.9,0.0,0.1,0.0
68,0.3,0.7,0.0,0.0
69,0.1,0.0,0.9,0.0
70,0.6,0.0,0.4,0.0
71,0.0,1.0,0.0,0.0
72,0.1,0.9,0.0,0.0
73,0.6,0.3,0.1,0.0
74,0.1,0.1,0.2,0.6
75,0.0,0.0,0.9,0.1
76,0.4,0.5,0.1,0.0
77,0.9,0.0,0.1,0.0
78,1.0,0.0,0.0,0.0
79,0.1,0.0,0.4,0.5
80,0.2,0.7,0.1,0.0
81,1.0,0.0,0.0,0.0
82,0.2,0.0,0.8,0.0
83,0.5,0.0,0.3,0.2
84,0.0,1.0,0.0,0.0
85,0.1,0.9,0.0,0.0
86,0.1,0.0,0.8,0.1
87,0.8,0.1,0.1,0.0
88,0.1,0.9,0.0,0.0
89,0.5,0.0,0.1,0.4
90,1.0,0.0,0.0,0.0
91,0.0,0.0,1.0,0.0
92,0.1,0.0,0.9,0.0
93,0.0,0.0,0.7,0.3
94,0.0,0.2,0.8,0.0
95,0.5,0.0,0.5,0.0
96,0.1,0.6,0.2,0.1
97,0.0,1.0,0.0,0.0
98,0.4,0.0,0.5,0.1
99,0.5,0.0,0.5,0.0
100,0.6,0.4,0.0,0.0
101,0.8,0.2,0.0,0.0
102,0.2,0.0,0.8,0.0
103,1.0,0.0,0.0,0.0
104,0.4,0.6,0.0,0.0
105,0.6,0.0,0.3,0.1
106,1.0,0.0,0.0,0.0
107,0.7,0.0,0.3,0.0
108,0.3,0.1,0.4,0.2
109,0.6,0.0,0.3,0.1
110,1.0,0.0,0.0,0.0
111,0.7,0.0,0.2,0.1
112,0.1,0.0,0.7,0.2
113,1.0,0.0,0.0,0.0
114,0.1,0.0,0.5,0.4
115,0.1,0.0,0.9,0.0
116,0.6,0.0,0.4,0.0
117,0.6,0.0,0.3,0.1
118,0.0,0.1,0.9,0.0
119,0.3,0.5,0.2,0.0
120,0.0,0.0,1.0,0.0
121,0.1,0.7,0.2,0.0
122,0.6,0.0,0.2,0.2
123,0.4,0.0,0.4,0.2
124,0.6,0.0,0.2,0.2
125,0.9,0.0,0.1,0.0
126,0.6,0.1,0.3,0.0
127,0.8,0.0,0.1,0.1
128,1.0,0.0,0.0,0.0
129,0.6,0.1,0.3,0.0
130,1.0,0.0,0.0,0.0
131,0.5,0.0,0.5,0.0
132,0.7,0.0,0.3,0.0
133,0.9,0.1,0.0,0.0
134,0.0,0.0,1.0,0.0
135,0.3,0.2,0.5,0.0
136,0.0,0.0,0.3,0.7
137,1.0,0.0,0.0,0.0
138,0.0,0.0,1.0,0.0
139,0.3,0.0,0.2,0.5
140,0.1,0.8,0.1,0.0
141,0.4,0.6,0.0,0.0
142,0.6,0.0,0.2,0.2
143,0.6,0.2,0.0,0.2
144,0.3,0.0,0.7,0.0
145,0.3,0.7,0.0,0.0
146,0.3,0.0,0.0,0.7
147,0.6,0.0,0.4,0.0
