,Medium-Low,Low,Medium-High,High
0,0.2,0.7,0.1,0.0
1,0.1,0.7,0.2,0.0
2,0.3,0.5,0.2,0.0
3,0.2,0.5,0.3,0.0
4,0.4,0.3,0.1,0.2
5,0.1,0.1,0.1,0.7
6,0.3,0.1,0.6,0.0
7,0.3,0.6,0.1,0.0
8,0.3,0.6,0.1,0.0
9,0.2,0.7,0.0,0.1
10,0.3,0.1,0.4,0.2
11,0.4,0.5,0.1,0.0
12,0.3,0.5,0.2,0.0
13,0.1,0.4,0.4,0.1
14,0.0,1.0,0.0,0.0
15,0.3,0.0,0.7,0.0
16,0.6,0.3,0.1,0.0
17,0.1,0.9,0.0,0.0
18,0.0,1.0,0.0,0.0
19,0.1,0.9,0.0,0.0
20,0.5,0.3,0.2,0.0
21,0.3,0.6,0.1,0.0
22,0.2,0.4,0.4,0.0
23,0.5,0.3,0.2,0.0
24,0.2,0.4,0.3,0.1
25,0.3,0.7,0.0,0.0
26,0.6,0.3,0.1,0.0
27,0.5,0.5,0.0,0.0
28,0.7,0.3,0.0,0.0
29,0.3,0.5,0.2,0.0
30,0.5,0.4,0.1,0.0
31,0.2,0.6,0.2,0.0
32,0.3,0.5,0.2,0.0
33,0.4,0.4,0.2,0.0
34,0.1,0.0,0.4,0.5
35,0.4,0.6,0.0,0.0
36,0.0,0.4,0.5,0.1
37,0.4,0.5,0.1,0.0
38,0.4,0.5,0.1,0.0
39,0.0,1.0,0.0,0.0
40,0.6,0.4,0.0,0.0
41,0.4,0.3,0.2,0.1
42,0.3,0.6,0.1,0.0
43,0.0,0.8,0.2,0.0
44,0.6,0.0,0.4,0.0
45,0.3,0.1,0.6,0.0
46,0.3,0.7,0.0,0.0
47,0.2,0.7,0.1,0.0
48,0.2,0.6,0.1,0.1
49,0.4,0.2,0.3,0.1
50,0.4,0.4,0.1,0.1
51,0.4,0.6,0.0,0.0
52,0.5,0.2,0.2,0.1
53,0.3,0.7,0.0,0.0
54,0.0,1.0,0.0,0.0
55,0.5,0.3,0.1,0.1
56,0.2,0.8,0.0,0.0
57,0.3,0.7,0.0,0.0
58,0.5,0.0,0.5,0.0
59,0.1,0.9,0.0,0.0
60,0.2,0.6,0.2,0.0
61,0.2,0.8,0.0,0.0
62,0.4,0.4,0.2,0.0
63,0.4,0.4,0.1,0.1
64,0.2,0.3,0.4,0.1
