,2007-2011,2012-2016,2001-2006,2017-2022
0,0.2,0.2,0.2,0.4
1,0.4,0.1,0.3,0.2
2,0.3,0.1,0.6,0.0
3,0.4,0.0,0.6,0.0
4,0.3,0.2,0.5,0.0
5,0.2,0.1,0.7,0.0
6,0.2,0.0,0.8,0.0
7,0.1,0.1,0.8,0.0
8,0.0,0.0,1.0,0.0
9,0.5,0.1,0.2,0.2
10,0.5,0.3,0.1,0.1
11,0.4,0.0,0.6,0.0
12,0.3,0.2,0.4,0.1
13,0.2,0.0,0.5,0.3
14,0.8,0.2,0.0,0.0
15,0.1,0.1,0.8,0.0
16,0.1,0.0,0.9,0.0
17,0.6,0.0,0.4,0.0
18,0.9,0.0,0.1,0.0
19,0.0,0.0,1.0,0.0
20,0.4,0.1,0.5,0.0
21,0.1,0.3,0.6,0.0
22,0.3,0.0,0.6,0.1
23,0.0,0.3,0.6,0.1
24,0.6,0.0,0.2,0.2
25,0.2,0.0,0.8,0.0
26,0.2,0.1,0.6,0.1
27,0.4,0.2,0.3,0.1
28,0.2,0.1,0.7,0.0
29,0.5,0.2,0.1,0.2
30,0.7,0.2,0.1,0.0
31,0.2,0.1,0.4,0.3
32,0.3,0.4,0.1,0.2
33,0.2,0.4,0.3,0.1
34,0.0,0.0,0.6,0.4
35,0.4,0.2,0.4,0.0
36,0.3,0.4,0.2,0.1
37,0.0,0.6,0.3,0.1
38,0.3,0.0,0.2,0.5
39,0.0,0.0,1.0,0.0
40,0.6,0.0,0.4,0.0
41,0.4,0.2,0.3,0.1
42,0.5,0.2,0.2,0.1
43,0.3,0.1,0.3,0.3
44,0.1,0.0,0.9,0.0
45,0.3,0.2,0.4,0.1
46,0.0,0.1,0.9,0.0
47,0.4,0.1,0.4,0.1
48,0.3,0.0,0.6,0.1
49,0.6,0.2,0.2,0.0
50,0.2,0.2,0.3,0.3
51,0.5,0.0,0.5,0.0
52,0.3,0.1,0.3,0.3
53,0.3,0.0,0.7,0.0
54,0.0,0.0,1.0,0.0
55,0.2,0.0,0.8,0.0
56,0.3,0.2,0.2,0.3
57,0.5,0.0,0.5,0.0
58,0.8,0.1,0.1,0.0
59,0.6,0.2,0.2,0.0
60,0.0,0.1,0.5,0.4
61,0.8,0.0,0.0,0.2
62,0.7,0.0,0.2,0.1
63,0.5,0.0,0.4,0.1
64,0.5,0.2,0.2,0.1
65,0.5,0.3,0.0,0.2
66,0.3,0.1,0.5,0.1
67,0.2,0.0,0.6,0.2
68,0.5,0.1,0.4,0.0
69,0.6,0.0,0.1,0.3
70,0.6,0.0,0.4,0.0
71,0.9,0.1,0.0,0.0
72,0.5,0.1,0.1,0.3
73,0.2,0.2,0.4,0.2
74,0.6,0.1,0.3,0.0
75,0.6,0.0,0.0,0.4
76,0.2,0.2,0.5,0.1
77,0.3,0.0,0.7,0.0
78,0.4,0.4,0.1,0.1
79,0.3,0.3,0.3,0.1
80,0.4,0.2,0.3,0.1
81,0.2,0.1,0.0,0.7
82,0.4,0.5,0.1,0.0
83,0.5,0.1,0.1,0.3
84,0.4,0.3,0.3,0.0
85,0.7,0.1,0.1,0.1
86,0.3,0.3,0.3,0.1
87,0.7,0.0,0.3,0.0
88,0.1,0.7,0.1,0.1
89,0.7,0.0,0.2,0.1
90,0.7,0.0,0.3,0.0
91,0.6,0.4,0.0,0.0
92,0.7,0.0,0.0,0.3
93,0.3,0.2,0.3,0.2
94,0.2,0.4,0.3,0.1
95,0.5,0.2,0.2,0.1
96,0.1,0.1,0.6,0.2
97,0.8,0.1,0.1,0.0
98,0.5,0.2,0.3,0.0
99,0.2,0.3,0.5,0.0
100,0.5,0.3,0.1,0.1
101,0.6,0.0,0.3,0.1
102,0.2,0.3,0.4,0.1
103,0.1,0.1,0.8,0.0
104,0.2,0.4,0.4,0.0
105,0.5,0.4,0.1,0.0
106,0.0,0.0,0.0,1.0
107,0.4,0.3,0.3,0.0
108,0.8,0.2,0.0,0.0
109,0.5,0.2,0.2,0.1
110,0.9,0.0,0.1,0.0
111,0.7,0.2,0.1,0.0
112,0.4,0.3,0.0,0.3
113,1.0,0.0,0.0,0.0
114,0.4,0.3,0.2,0.1
115,0.5,0.2,0.1,0.2
116,0.5,0.2,0.2,0.1
117,0.2,0.4,0.3,0.1
118,0.9,0.0,0.1,0.0
119,0.1,0.6,0.0,0.3
120,0.8,0.0,0.2,0.0
121,0.6,0.1,0.1,0.2
122,0.4,0.0,0.4,0.2
123,0.7,0.1,0.1,0.1
124,0.3,0.3,0.1,0.3
125,0.3,0.0,0.7,0.0
126,0.4,0.1,0.4,0.1
127,0.1,0.3,0.3,0.3
128,0.0,0.2,0.4,0.4
129,0.5,0.1,0.1,0.3
130,0.6,0.0,0.2,0.2
131,0.3,0.0,0.5,0.2
132,0.4,0.1,0.2,0.3
133,0.2,0.4,0.1,0.3
134,0.4,0.2,0.2,0.2
135,0.7,0.0,0.0,0.3
136,0.4,0.3,0.1,0.2
137,0.4,0.2,0.2,0.2
138,0.0,0.5,0.5,0.0
139,0.4,0.3,0.1,0.2
140,0.5,0.1,0.4,0.0
141,0.3,0.2,0.4,0.1
142,0.3,0.1,0.4,0.2
143,0.2,0.1,0.2,0.5
144,0.6,0.2,0.2,0.0
145,0.4,0.0,0.2,0.4
146,0.3,0.3,0.0,0.4
147,0.2,0.4,0.4,0.0
148,0.0,1.0,0.0,0.0
149,0.2,0.2,0.4,0.2
150,0.0,0.5,0.1,0.4
151,0.2,0.5,0.1,0.2
152,0.2,0.5,0.2,0.1
153,0.2,0.0,0.7,0.1
154,0.4,0.1,0.3,0.2
155,0.0,1.0,0.0,0.0
156,0.2,0.4,0.4,0.0
157,0.3,0.2,0.4,0.1
158,0.5,0.3,0.2,0.0
159,0.2,0.7,0.0,0.1
160,0.4,0.2,0.1,0.3
161,0.7,0.1,0.1,0.1
162,0.3,0.4,0.2,0.1
163,0.5,0.2,0.2,0.1
164,0.6,0.1,0.3,0.0
165,0.2,0.3,0.2,0.3
166,0.2,0.6,0.2,0.0
167,0.4,0.4,0.0,0.2
168,0.6,0.4,0.0,0.0
169,0.0,1.0,0.0,0.0
170,0.2,0.2,0.4,0.2
171,0.1,0.2,0.2,0.5
172,0.0,0.6,0.0,0.4
173,0.0,0.8,0.2,0.0
174,0.1,0.4,0.3,0.2
175,0.5,0.4,0.0,0.1
176,0.1,0.0,0.9,0.0
177,0.1,0.7,0.1,0.1
178,0.1,0.8,0.1,0.0
179,0.0,1.0,0.0,0.0
180,0.2,0.1,0.3,0.4
181,0.4,0.3,0.0,0.3
182,0.0,0.2,0.1,0.7
183,0.0,0.1,0.0,0.9
184,0.5,0.0,0.4,0.1
185,0.0,0.0,0.4,0.6
186,0.4,0.4,0.0,0.2
187,0.0,0.6,0.0,0.4
188,0.1,0.6,0.0,0.3
189,0.0,0.1,0.0,0.9
190,0.3,0.1,0.4,0.2
191,0.4,0.0,0.1,0.5
192,0.0,0.3,0.0,0.7
193,0.3,0.1,0.2,0.4
194,0.5,0.2,0.1,0.2
195,0.2,0.1,0.6,0.1
196,0.5,0.3,0.1,0.1
197,0.0,0.9,0.0,0.1
198,0.3,0.1,0.1,0.5
199,0.4,0.2,0.1,0.3
200,0.4,0.1,0.4,0.1
201,0.0,0.2,0.1,0.7
202,0.2,0.1,0.0,0.7
203,0.4,0.2,0.0,0.4
204,0.3,0.2,0.0,0.5
205,0.3,0.4,0.1,0.2
206,0.4,0.3,0.3,0.0
207,0.2,0.2,0.2,0.4
208,0.6,0.2,0.2,0.0
209,0.0,0.2,0.0,0.8
210,0.2,0.4,0.1,0.3
211,0.5,0.1,0.2,0.2
212,0.0,0.4,0.0,0.6
213,0.3,0.1,0.0,0.6
214,0.2,0.1,0.2,0.5
215,0.5,0.2,0.0,0.3
216,0.3,0.4,0.3,0.0
217,0.0,0.6,0.0,0.4
218,0.4,0.1,0.3,0.2
219,0.1,0.3,0.1,0.5
220,0.0,0.1,0.0,0.9
221,0.1,0.2,0.4,0.3
