,l-r,a-d,s-,e-k
0,0.2,0.5,0.1,0.2
1,0.2,0.0,0.3,0.5
2,0.5,0.1,0.1,0.3
3,0.5,0.1,0.2,0.2
4,0.0,0.3,0.3,0.4
5,0.8,0.0,0.2,0.0
6,0.0,0.0,1.0,0.0
7,0.1,0.6,0.2,0.1
8,0.1,0.4,0.4,0.1
9,0.0,0.4,0.3,0.3
10,0.4,0.0,0.4,0.2
11,0.2,0.3,0.1,0.4
12,0.5,0.2,0.1,0.2
13,0.3,0.3,0.3,0.1
14,0.3,0.2,0.2,0.3
15,0.0,0.0,1.0,0.0
16,0.4,0.5,0.1,0.0
17,1.0,0.0,0.0,0.0
18,0.9,0.1,0.0,0.0
19,0.0,0.2,0.4,0.4
20,0.4,0.1,0.1,0.4
21,0.3,0.2,0.2,0.3
22,0.1,0.3,0.4,0.2
23,0.2,0.4,0.1,0.3
24,0.0,0.5,0.3,0.2
25,0.0,0.0,1.0,0.0
26,0.1,0.2,0.6,0.1
27,0.2,0.4,0.3,0.1
28,0.4,0.0,0.2,0.4
29,0.2,0.4,0.3,0.1
30,0.2,0.1,0.1,0.6
31,0.1,0.5,0.0,0.4
32,0.1,0.2,0.1,0.6
33,0.2,0.5,0.1,0.2
34,0.4,0.1,0.4,0.1
35,0.2,0.7,0.1,0.0
36,0.1,0.2,0.3,0.4
37,0.1,0.6,0.2,0.1
38,0.2,0.5,0.2,0.1
39,0.0,1.0,0.0,0.0
40,0.1,0.1,0.3,0.5
41,0.3,0.3,0.3,0.1
42,0.3,0.3,0.1,0.3
43,0.5,0.5,0.0,0.0
44,0.6,0.0,0.4,0.0
45,0.0,0.2,0.7,0.1
46,0.0,1.0,0.0,0.0
47,0.3,0.5,0.0,0.2
48,0.6,0.1,0.2,0.1
49,0.3,0.0,0.6,0.1
50,0.2,0.2,0.1,0.5
51,0.0,0.3,0.4,0.3
52,0.3,0.3,0.0,0.4
53,0.1,0.2,0.1,0.6
54,0.0,0.0,0.0,1.0
55,0.6,0.1,0.0,0.3
56,0.3,0.3,0.1,0.3
57,0.6,0.0,0.2,0.2
58,0.2,0.3,0.3,0.2
59,0.5,0.2,0.1,0.2
60,0.3,0.3,0.4,0.0
61,0.1,0.8,0.0,0.1
62,0.0,0.8,0.1,0.1
63,0.3,0.1,0.1,0.5
64,0.7,0.0,0.0,0.3
65,0.1,0.3,0.5,0.1
66,0.4,0.2,0.2,0.2
67,0.1,0.0,0.0,0.9
68,0.0,0.2,0.2,0.6
69,0.1,0.7,0.1,0.1
70,0.3,0.2,0.2,0.3
71,0.0,1.0,0.0,0.0
72,0.5,0.2,0.2,0.1
73,0.4,0.3,0.1,0.2
74,0.2,0.5,0.1,0.2
75,0.1,0.4,0.4,0.1
76,0.3,0.6,0.1,0.0
77,0.9,0.0,0.1,0.0
78,1.0,0.0,0.0,0.0
79,0.1,0.1,0.4,0.4
80,0.1,0.3,0.2,0.4
81,0.6,0.2,0.0,0.2
82,0.2,0.5,0.2,0.1
83,0.0,0.9,0.1,0.0
84,0.2,0.1,0.3,0.4
85,0.3,0.3,0.0,0.4
86,0.2,0.3,0.3,0.2
87,0.3,0.5,0.0,0.2
88,0.0,0.8,0.2,0.0
89,0.9,0.1,0.0,0.0
90,0.3,0.1,0.1,0.5
91,0.3,0.2,0.4,0.1
92,0.1,0.2,0.7,0.0
93,0.3,0.1,0.4,0.2
94,0.1,0.5,0.2,0.2
95,0.6,0.2,0.1,0.1
96,0.3,0.3,0.3,0.1
97,0.0,0.1,0.4,0.5
98,0.4,0.1,0.3,0.2
99,0.5,0.1,0.0,0.4
100,0.5,0.3,0.1,0.1
101,0.2,0.5,0.2,0.1
102,0.6,0.0,0.1,0.3
103,0.3,0.2,0.2,0.3
104,0.0,1.0,0.0,0.0
105,0.5,0.2,0.1,0.2
106,0.0,0.2,0.0,0.8
107,0.2,0.5,0.2,0.1
108,0.0,0.8,0.0,0.2
109,0.4,0.3,0.1,0.2
110,0.0,0.0,1.0,0.0
111,0.1,0.8,0.1,0.0
112,0.2,0.3,0.0,0.5
113,0.0,1.0,0.0,0.0
114,0.2,0.1,0.4,0.3
115,0.5,0.2,0.1,0.2
116,0.4,0.2,0.3,0.1
117,0.2,0.5,0.3,0.0
118,0.3,0.1,0.0,0.6
119,0.1,0.7,0.1,0.1
120,1.0,0.0,0.0,0.0
121,0.4,0.2,0.0,0.4
122,0.5,0.3,0.2,0.0
123,0.5,0.2,0.2,0.1
124,0.5,0.1,0.4,0.0
125,0.2,0.1,0.4,0.3
126,0.3,0.3,0.3,0.1
127,0.3,0.1,0.5,0.1
128,0.3,0.3,0.3,0.1
129,0.3,0.5,0.2,0.0
130,0.3,0.1,0.0,0.6
131,0.1,0.5,0.2,0.2
132,0.3,0.5,0.1,0.1
133,0.1,0.4,0.4,0.1
134,0.1,0.2,0.3,0.4
135,0.4,0.1,0.3,0.2
136,0.1,0.1,0.7,0.1
137,0.0,0.0,1.0,0.0
138,0.1,0.2,0.2,0.5
139,0.4,0.1,0.0,0.5
140,0.0,0.8,0.0,0.2
141,0.4,0.3,0.1,0.2
142,0.0,0.4,0.5,0.1
143,0.2,0.4,0.2,0.2
144,0.4,0.1,0.5,0.0
145,0.0,0.4,0.5,0.1
146,0.2,0.8,0.0,0.0
147,0.2,0.6,0.1,0.1
148,0.2,0.4,0.1,0.3
149,0.3,0.3,0.3,0.1
150,0.2,0.1,0.3,0.4
151,0.2,0.8,0.0,0.0
152,0.1,0.4,0.2,0.3
153,0.5,0.2,0.2,0.1
154,0.1,0.0,0.1,0.8
155,0.0,0.0,1.0,0.0
156,0.3,0.3,0.3,0.1
157,0.0,0.0,0.3,0.7
158,0.4,0.4,0.1,0.1
159,0.1,0.5,0.3,0.1
160,0.2,0.8,0.0,0.0
161,0.2,0.1,0.3,0.4
162,0.2,0.4,0.2,0.2
163,0.8,0.1,0.1,0.0
164,0.3,0.1,0.1,0.5
165,0.4,0.4,0.1,0.1
166,0.0,0.5,0.4,0.1
167,0.3,0.2,0.4,0.1
168,0.4,0.1,0.3,0.2
169,0.1,0.1,0.6,0.2
170,0.0,0.4,0.5,0.1
171,0.7,0.0,0.2,0.1
172,0.0,0.1,0.7,0.2
173,0.0,0.0,0.0,1.0
174,0.1,0.0,0.9,0.0
175,0.8,0.2,0.0,0.0
176,0.3,0.2,0.4,0.1
177,0.0,1.0,0.0,0.0
178,0.5,0.1,0.4,0.0
179,0.2,0.1,0.3,0.4
180,0.3,0.1,0.4,0.2
181,0.0,1.0,0.0,0.0
182,0.3,0.4,0.1,0.2
183,0.0,0.0,0.7,0.3
184,0.0,0.1,0.1,0.8
185,0.2,0.3,0.3,0.2
186,0.4,0.1,0.1,0.4
187,0.1,0.6,0.0,0.3
188,0.0,0.1,0.8,0.1
189,0.1,0.6,0.1,0.2
190,0.5,0.4,0.0,0.1
191,0.1,0.4,0.4,0.1
192,0.0,1.0,0.0,0.0
193,0.2,0.0,0.4,0.4
194,0.2,0.3,0.4,0.1
195,0.4,0.1,0.4,0.1
196,0.1,0.0,0.5,0.4
197,0.0,0.9,0.1,0.0
198,0.1,0.2,0.2,0.5
199,0.9,0.0,0.1,0.0
200,0.1,0.3,0.0,0.6
201,0.2,0.4,0.2,0.2
202,0.1,0.1,0.4,0.4
203,0.1,0.1,0.7,0.1
204,0.1,0.3,0.1,0.5
205,0.4,0.0,0.6,0.0
206,0.1,0.0,0.6,0.3
207,0.3,0.3,0.4,0.0
208,0.0,0.9,0.0,0.1
209,0.4,0.4,0.1,0.1
210,0.2,0.5,0.1,0.2
211,0.2,0.5,0.0,0.3
212,0.3,0.1,0.3,0.3
213,0.2,0.3,0.3,0.2
214,0.3,0.4,0.2,0.1
215,0.2,0.4,0.2,0.2
216,0.2,0.5,0.1,0.2
217,0.3,0.2,0.4,0.1
218,0.4,0.3,0.2,0.1
219,0.3,0.3,0.2,0.2
220,0.0,0.7,0.0,0.3
221,0.2,0.3,0.2,0.3
222,0.2,0.6,0.1,0.1
223,0.5,0.1,0.2,0.2
224,0.2,0.0,0.2,0.6
225,0.3,0.4,0.1,0.2
226,0.2,0.4,0.2,0.2
227,0.2,0.1,0.5,0.2
228,0.5,0.1,0.2,0.2
229,0.1,0.7,0.2,0.0
230,0.2,0.1,0.4,0.3
231,0.0,0.2,0.5,0.3
232,0.1,0.2,0.2,0.5
233,0.7,0.2,0.0,0.1
234,0.2,0.2,0.2,0.4
235,0.1,0.1,0.5,0.3
236,0.4,0.3,0.0,0.3
237,0.4,0.2,0.1,0.3
238,0.3,0.2,0.3,0.2
239,0.3,0.4,0.1,0.2
240,0.1,0.3,0.3,0.3
241,0.3,0.5,0.0,0.2
242,0.0,0.9,0.0,0.1
