,Low,High,Medium-High,Medium-Low
0,0.7,0.0,0.1,0.2
1,0.7,0.0,0.2,0.1
2,0.5,0.0,0.2,0.3
3,0.5,0.0,0.3,0.2
4,0.3,0.2,0.1,0.4
5,0.1,0.7,0.1,0.1
6,0.1,0.0,0.6,0.3
7,0.6,0.0,0.1,0.3
8,0.6,0.0,0.1,0.3
9,0.7,0.1,0.0,0.2
10,0.1,0.2,0.4,0.3
11,0.5,0.0,0.1,0.4
12,0.5,0.0,0.2,0.3
13,0.4,0.1,0.4,0.1
14,1.0,0.0,0.0,0.0
15,0.0,0.0,0.7,0.3
16,0.3,0.0,0.1,0.6
17,0.9,0.0,0.0,0.1
18,1.0,0.0,0.0,0.0
19,0.9,0.0,0.0,0.1
20,0.3,0.0,0.2,0.5
21,0.6,0.0,0.1,0.3
22,0.4,0.0,0.4,0.2
23,0.3,0.0,0.2,0.5
24,0.4,0.1,0.3,0.2
25,0.7,0.0,0.0,0.3
26,0.3,0.0,0.1,0.6
27,0.5,0.0,0.0,0.5
28,0.3,0.0,0.0,0.7
29,0.5,0.0,0.2,0.3
30,0.4,0.0,0.1,0.5
31,0.6,0.0,0.2,0.2
32,0.5,0.0,0.2,0.3
33,0.4,0.0,0.2,0.4
34,0.0,0.5,0.4,0.1
35,0.6,0.0,0.0,0.4
36,0.4,0.1,0.5,0.0
37,0.5,0.0,0.1,0.4
38,0.5,0.0,0.1,0.4
39,1.0,0.0,0.0,0.0
40,0.4,0.0,0.0,0.6
41,0.3,0.1,0.2,0.4
42,0.6,0.0,0.1,0.3
43,0.8,0.0,0.2,0.0
44,0.0,0.0,0.4,0.6
45,0.1,0.0,0.6,0.3
46,0.7,0.0,0.0,0.3
47,0.7,0.0,0.1,0.2
48,0.6,0.1,0.1,0.2
49,0.2,0.1,0.3,0.4
50,0.4,0.1,0.1,0.4
51,0.6,0.0,0.0,0.4
52,0.2,0.1,0.2,0.5
53,0.7,0.0,0.0,0.3
54,1.0,0.0,0.0,0.0
55,0.3,0.1,0.1,0.5
56,0.8,0.0,0.0,0.2
57,0.7,0.0,0.0,0.3
58,0.0,0.0,0.5,0.5
59,0.9,0.0,0.0,0.1
60,0.6,0.0,0.2,0.2
61,0.8,0.0,0.0,0.2
62,0.4,0.0,0.2,0.4
63,0.4,0.1,0.1,0.4
64,0.3,0.1,0.4,0.2
65,0.5,0.0,0.1,0.4
66,0.7,0.0,0.0,0.3
67,0.8,0.0,0.0,0.2
68,0.6,0.0,0.0,0.4
69,1.0,0.0,0.0,0.0
70,0.1,0.2,0.3,0.4
71,1.0,0.0,0.0,0.0
72,0.7,0.0,0.1,0.2
73,0.5,0.1,0.2,0.2
74,0.6,0.0,0.1,0.3
75,0.8,0.0,0.1,0.1
76,0.8,0.0,0.0,0.2
77,0.1,0.2,0.4,0.3
78,0.0,0.8,0.2,0.0
79,0.7,0.0,0.2,0.1
80,0.6,0.0,0.3,0.1
81,0.6,0.0,0.1,0.3
82,0.8,0.0,0.0,0.2
83,0.3,0.1,0.3,0.3
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.4,0.0,0.0,0.6
87,0.5,0.0,0.1,0.4
88,0.8,0.0,0.0,0.2
89,0.7,0.0,0.0,0.3
90,0.5,0.0,0.1,0.4
91,1.0,0.0,0.0,0.0
92,0.2,0.1,0.5,0.2
93,0.3,0.0,0.2,0.5
94,0.5,0.1,0.2,0.2
95,0.4,0.0,0.0,0.6
96,0.4,0.0,0.3,0.3
97,1.0,0.0,0.0,0.0
98,0.6,0.0,0.1,0.3
99,0.3,0.3,0.3,0.1
100,0.7,0.0,0.0,0.3
101,0.9,0.0,0.0,0.1
102,0.2,0.1,0.3,0.4
103,0.3,0.0,0.6,0.1
104,0.6,0.0,0.2,0.2
105,0.4,0.0,0.0,0.6
106,0.7,0.0,0.1,0.2
107,0.4,0.2,0.3,0.1
108,0.3,0.0,0.0,0.7
109,0.4,0.0,0.1,0.5
110,0.7,0.0,0.0,0.3
111,0.7,0.0,0.1,0.2
112,0.6,0.1,0.1,0.2
113,1.0,0.0,0.0,0.0
114,0.6,0.0,0.2,0.2
115,0.4,0.0,0.0,0.6
116,0.4,0.1,0.0,0.5
117,0.5,0.1,0.1,0.3
118,1.0,0.0,0.0,0.0
119,0.7,0.0,0.0,0.3
120,1.0,0.0,0.0,0.0
121,0.7,0.0,0.1,0.2
122,0.2,0.0,0.3,0.5
123,0.6,0.0,0.1,0.3
124,0.7,0.0,0.2,0.1
125,0.0,0.2,0.4,0.4
126,0.3,0.0,0.1,0.6
127,0.3,0.1,0.3,0.3
128,0.4,0.2,0.2,0.2
129,0.4,0.0,0.3,0.3
130,0.7,0.0,0.1,0.2
131,0.3,0.1,0.2,0.4
132,0.1,0.1,0.5,0.3
133,0.8,0.0,0.1,0.1
134,0.7,0.0,0.0,0.3
135,0.6,0.0,0.0,0.4
136,0.6,0.0,0.1,0.3
137,0.8,0.0,0.0,0.2
138,0.2,0.2,0.2,0.4
139,0.2,0.2,0.1,0.5
140,0.5,0.0,0.2,0.3
141,0.3,0.0,0.2,0.5
142,0.9,0.1,0.0,0.0
143,0.5,0.1,0.2,0.2
144,0.1,0.0,0.5,0.4
145,0.5,0.0,0.2,0.3
146,0.9,0.0,0.0,0.1
147,0.5,0.0,0.0,0.5
148,1.0,0.0,0.0,0.0
149,0.3,0.1,0.2,0.4
150,0.5,0.0,0.0,0.5
151,0.6,0.0,0.3,0.1
152,0.4,0.0,0.1,0.5
153,0.0,0.2,0.6,0.2
154,0.9,0.0,0.0,0.1
155,1.0,0.0,0.0,0.0
156,0.3,0.0,0.1,0.6
157,0.6,0.1,0.0,0.3
158,0.5,0.0,0.1,0.4
159,1.0,0.0,0.0,0.0
160,0.3,0.0,0.1,0.6
161,0.3,0.0,0.2,0.5
162,0.0,0.0,0.6,0.4
163,0.9,0.0,0.0,0.1
164,1.0,0.0,0.0,0.0
165,0.0,0.3,0.4,0.3
166,0.9,0.0,0.0,0.1
167,1.0,0.0,0.0,0.0
168,0.6,0.0,0.1,0.3
169,1.0,0.0,0.0,0.0
170,0.4,0.0,0.2,0.4
171,0.6,0.0,0.3,0.1
172,0.7,0.0,0.0,0.3
173,1.0,0.0,0.0,0.0
174,0.1,0.1,0.6,0.2
175,0.5,0.1,0.0,0.4
176,0.3,0.0,0.4,0.3
177,0.8,0.0,0.0,0.2
178,0.5,0.0,0.0,0.5
179,1.0,0.0,0.0,0.0
180,0.9,0.0,0.0,0.1
181,0.2,0.1,0.4,0.3
182,0.2,0.0,0.1,0.7
183,1.0,0.0,0.0,0.0
184,0.4,0.0,0.2,0.4
185,0.3,0.2,0.1,0.4
186,0.9,0.0,0.0,0.1
187,1.0,0.0,0.0,0.0
188,0.0,0.2,0.3,0.5
189,1.0,0.0,0.0,0.0
190,0.9,0.0,0.1,0.0
191,0.8,0.0,0.0,0.2
192,0.7,0.0,0.0,0.3
193,0.4,0.0,0.4,0.2
