,Unknown,21st century,Pre-1900s,20th century
0,0.4,0.0,0.6,0.0
1,1.0,0.0,0.0,0.0
2,0.0,0.0,1.0,0.0
3,0.0,0.0,1.0,0.0
4,0.5,0.0,0.1,0.4
5,0.8,0.1,0.0,0.1
6,1.0,0.0,0.0,0.0
7,0.3,0.0,0.7,0.0
8,0.1,0.0,0.9,0.0
9,0.6,0.0,0.4,0.0
10,0.9,0.0,0.0,0.1
11,0.3,0.0,0.0,0.7
12,0.2,0.0,0.8,0.0
13,0.9,0.1,0.0,0.0
14,0.0,0.0,0.7,0.3
15,0.9,0.1,0.0,0.0
16,0.0,0.1,0.0,0.9
17,0.0,0.9,0.0,0.1
18,1.0,0.0,0.0,0.0
19,0.0,0.0,0.3,0.7
20,0.9,0.0,0.0,0.1
21,0.0,0.0,0.0,1.0
22,0.2,0.0,0.0,0.8
23,0.3,0.0,0.7,0.0
24,0.7,0.2,0.0,0.1
25,1.0,0.0,0.0,0.0
26,0.6,0.0,0.0,0.4
27,0.4,0.3,0.0,0.3
28,0.1,0.0,0.9,0.0
29,0.1,0.1,0.0,0.8
30,0.0,0.0,0.1,0.9
31,0.1,0.0,0.2,0.7
32,0.0,0.0,0.0,1.0
33,0.7,0.0,0.0,0.3
34,1.0,0.0,0.0,0.0
35,0.2,0.0,0.8,0.0
36,0.3,0.7,0.0,0.0
37,0.1,0.0,0.9,0.0
38,0.6,0.4,0.0,0.0
39,0.3,0.0,0.7,0.0
40,0.0,0.7,0.0,0.3
41,0.7,0.2,0.0,0.1
42,0.2,0.0,0.1,0.7
43,0.7,0.1,0.0,0.2
44,1.0,0.0,0.0,0.0
45,0.8,0.0,0.0,0.2
46,0.6,0.0,0.0,0.4
47,0.1,0.2,0.0,0.7
48,0.2,0.0,0.2,0.6
49,0.6,0.0,0.0,0.4
50,0.4,0.3,0.0,0.3
51,0.0,0.0,0.0,1.0
52,0.3,0.4,0.0,0.3
53,0.0,0.0,0.4,0.6
54,1.0,0.0,0.0,0.0
55,0.0,0.0,1.0,0.0
56,0.2,0.3,0.0,0.5
57,0.0,0.0,1.0,0.0
58,0.6,0.1,0.0,0.3
59,0.4,0.0,0.0,0.6
60,0.3,0.0,0.0,0.7
61,0.5,0.5,0.0,0.0
62,0.1,0.6,0.0,0.3
63,0.6,0.0,0.1,0.3
64,0.7,0.0,0.0,0.3
65,0.0,0.5,0.0,0.5
66,0.0,0.0,1.0,0.0
67,0.9,0.0,0.0,0.1
68,0.5,0.0,0.5,0.0
69,0.1,0.1,0.0,0.8
70,0.4,0.1,0.0,0.5
71,0.0,0.0,1.0,0.0
72,0.4,0.0,0.6,0.0
73,0.3,0.0,0.4,0.3
74,0.1,0.9,0.0,0.0
75,0.0,0.1,0.0,0.9
76,0.2,0.0,0.6,0.2
77,0.5,0.0,0.0,0.5
78,1.0,0.0,0.0,0.0
79,0.3,0.5,0.0,0.2
80,0.2,0.0,0.5,0.3
81,1.0,0.0,0.0,0.0
82,0.3,0.0,0.0,0.7
83,0.4,0.2,0.0,0.4
84,0.1,0.0,0.7,0.2
85,0.1,0.0,0.9,0.0
86,0.0,0.0,0.0,1.0
87,1.0,0.0,0.0,0.0
88,0.1,0.0,0.9,0.0
89,0.1,0.9,0.0,0.0
90,0.7,0.1,0.0,0.2
91,0.0,0.0,0.0,1.0
92,0.4,0.0,0.0,0.6
93,0.1,0.0,0.0,0.9
94,0.2,0.0,0.0,0.8
95,0.1,0.2,0.1,0.6
96,0.4,0.0,0.1,0.5
97,0.1,0.0,0.7,0.2
98,0.3,0.4,0.0,0.3
99,0.5,0.2,0.0,0.3
100,1.0,0.0,0.0,0.0
101,0.7,0.0,0.3,0.0
102,0.3,0.0,0.0,0.7
103,1.0,0.0,0.0,0.0
104,0.1,0.0,0.9,0.0
105,0.5,0.2,0.0,0.3
106,1.0,0.0,0.0,0.0
107,0.2,0.0,0.0,0.8
108,0.1,0.1,0.0,0.8
109,0.5,0.0,0.1,0.4
110,1.0,0.0,0.0,0.0
111,0.8,0.0,0.0,0.2
112,0.1,0.3,0.0,0.6
113,1.0,0.0,0.0,0.0
114,0.0,0.9,0.0,0.1
115,0.1,0.0,0.0,0.9
116,0.7,0.0,0.0,0.3
117,0.3,0.4,0.1,0.2
118,0.0,0.0,0.2,0.8
119,0.1,0.0,0.9,0.0
120,0.1,0.0,0.0,0.9
121,0.2,0.0,0.8,0.0
122,0.5,0.0,0.0,0.5
123,0.6,0.3,0.0,0.1
124,0.5,0.0,0.0,0.5
125,1.0,0.0,0.0,0.0
126,0.8,0.0,0.0,0.2
127,1.0,0.0,0.0,0.0
128,1.0,0.0,0.0,0.0
129,0.3,0.0,0.1,0.6
130,0.8,0.2,0.0,0.0
131,0.7,0.0,0.0,0.3
132,0.7,0.0,0.0,0.3
133,0.9,0.0,0.1,0.0
134,0.1,0.0,0.0,0.9
135,0.2,0.0,0.0,0.8
136,0.2,0.6,0.0,0.2
137,1.0,0.0,0.0,0.0
138,0.0,0.0,0.0,1.0
139,0.6,0.3,0.0,0.1
140,0.0,0.0,1.0,0.0
141,0.3,0.0,0.7,0.0
142,0.5,0.0,0.1,0.4
143,0.8,0.1,0.0,0.1
144,0.9,0.0,0.0,0.1
145,0.5,0.0,0.5,0.0
146,0.4,0.6,0.0,0.0
147,0.5,0.0,0.0,0.5
148,0.1,0.0,0.9,0.0
149,0.3,0.0,0.7,0.0
150,0.6,0.3,0.0,0.1
151,1.0,0.0,0.0,0.0
152,0.2,0.4,0.0,0.4
153,0.7,0.0,0.0,0.3
154,0.0,0.0,0.6,0.4
155,1.0,0.0,0.0,0.0
156,1.0,0.0,0.0,0.0
157,0.6,0.0,0.2,0.2
158,0.0,0.3,0.0,0.7
