,2001-2006,2017-2022,2012-2016,2007-2011
0,0.0,0.0,0.0,0.0
1,7.0,0.0,0.0,0.0
2,2.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,1.0
11,1.0,0.0,2.0,2.0
12,3.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,1.0,0.0,0.0,1.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,1.0,0.0,1.0,0.0
19,1.0,1.0,0.0,0.0
20,1.0,1.0,0.0,0.0
21,1.0,1.0,1.0,1.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,5.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1.0
27,1.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,1.0
30,1.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,0.0,1.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,3.0
38,1.0,0.0,0.0,1.0
39,1.0,1.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,1.0,0.0,0.0,2.0
45,1.0,0.0,0.0,0.0
46,0.0,2.0,0.0,0.0
47,2.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,1.0
55,0.0,0.0,0.0,2.0
56,1.0,0.0,0.0,2.0
57,0.0,1.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,1.0,1.0,0.0,1.0
60,0.0,0.0,0.0,1.0
61,0.0,1.0,0.0,1.0
62,4.0,0.0,0.0,2.0
63,0.0,0.0,0.0,5.0
64,1.0,0.0,0.0,0.0
65,1.0,1.0,0.0,0.0
66,4.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,0.0,0.0,1.0,9.0
69,0.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,1.0
74,1.0,1.0,0.0,3.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,2.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,1.0,1.0,2.0
81,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,6.0,0.0,2.0
86,0.0,0.0,0.0,10.0
87,0.0,0.0,0.0,1.0
88,0.0,0.0,1.0,1.0
89,0.0,0.0,0.0,0.0
90,1.0,0.0,0.0,1.0
91,1.0,1.0,0.0,3.0
92,0.0,0.0,0.0,3.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,6.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,2.0
98,1.0,0.0,1.0,3.0
99,0.0,0.0,0.0,0.0
100,2.0,0.0,3.0,2.0
101,0.0,0.0,0.0,0.0
102,1.0,1.0,0.0,4.0
103,0.0,0.0,2.0,0.0
104,0.0,0.0,0.0,0.0
105,2.0,0.0,0.0,2.0
106,0.0,0.0,0.0,0.0
107,0.0,1.0,0.0,0.0
108,1.0,0.0,5.0,0.0
109,0.0,0.0,10.0,0.0
110,0.0,0.0,7.0,0.0
111,1.0,0.0,0.0,1.0
112,0.0,0.0,3.0,0.0
113,0.0,0.0,7.0,0.0
114,1.0,0.0,6.0,0.0
115,1.0,3.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,1.0,0.0,2.0,2.0
118,0.0,0.0,2.0,0.0
119,0.0,0.0,1.0,0.0
120,0.0,4.0,0.0,0.0
121,0.0,0.0,1.0,1.0
122,1.0,0.0,2.0,0.0
123,0.0,0.0,0.0,1.0
124,0.0,1.0,0.0,1.0
125,0.0,1.0,0.0,0.0
126,1.0,0.0,1.0,1.0
127,0.0,0.0,0.0,1.0
128,0.0,4.0,1.0,0.0
129,0.0,0.0,6.0,2.0
130,0.0,1.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,1.0
133,0.0,6.0,1.0,0.0
134,2.0,1.0,0.0,2.0
135,1.0,1.0,2.0,0.0
136,2.0,2.0,0.0,0.0
137,0.0,1.0,0.0,2.0
138,0.0,0.0,1.0,1.0
139,0.0,0.0,1.0,0.0
140,0.0,3.0,0.0,1.0
141,0.0,3.0,0.0,3.0
142,0.0,1.0,0.0,0.0
143,0.0,2.0,0.0,0.0
144,0.0,1.0,1.0,1.0
145,0.0,0.0,0.0,0.0
146,0.0,10.0,0.0,0.0
147,0.0,5.0,0.0,0.0
148,0.0,5.0,0.0,1.0
149,0.0,2.0,0.0,0.0
150,0.0,1.0,0.0,0.0
151,1.0,0.0,0.0,2.0
152,0.0,2.0,0.0,0.0
153,0.0,0.0,0.0,0.0
154,1.0,0.0,0.0,0.0
155,0.0,1.0,0.0,0.0
156,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,1.0
158,0.0,2.0,0.0,0.0
