,s-,e-k,a-d,l-r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,2.999999985,3.99999998,0.999999995,1.99999999
5,0.0,0.0,0.0,0.0
6,0.6666666666666666,1.3333333333333333,2.6666666666666665,2.0
7,1.99999999,1.99999999,1.99999999,3.99999998
8,0.0,0.0,0.0,0.0
9,0.7142857133673469,2.142857140102041,0.7142857133673469,3.5714285668367345
10,0.0,0.0,0.0,0.0
11,0.7692307677514794,2.3076923032544383,0.3846153838757397,0.3846153838757397
12,3.99999998,0.999999995,0.999999995,1.99999999
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,4.999999975,0.0,2.999999985,0.999999995
16,1.99999999,1.99999999,0.999999995,2.999999985
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.8888888819753088,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,1.99999999,4.999999975,0.0,0.999999995
23,1.99999999,2.999999985,0.0,4.999999975
24,0.0,1.5555555495061728,1.5555555495061728,0.7777777747530864
25,1.99999999,2.999999985,2.999999985,1.99999999
26,1.99999999,2.4615384479881657,0.999999995,2.4615384479881657
27,0.0,0.0,0.0,0.0
28,2.999999985,1.7999999902000001,0.999999995,2.999999985
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,1.8999999940499999,0.5999999981999999,1.7999999945999998,0.5999999981999999
32,2.999999985,0.0,0.999999995,1.99999999
33,2.999999985,0.999999995,0.0,0.999999995
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.4999999987499999,0.0,0.4999999987499999,3.6666666572222213
40,0.0,0.0,0.0,0.0
41,1.9999999949999996,0.4999999987499999,0.4999999987499999,1.4999999962499997
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,1.99999999,3.333333313888889,0.0,3.2857142666326533
45,1.99999999,0.999999995,1.99999999,1.6666666572222222
46,0.0,0.0,0.999999995,5.999999969999999
47,0.0,0.0,0.0,0.0
48,2.999999985,2.999999985,0.999999995,0.999999995
49,2.999999985,1.99999999,0.999999995,1.99999999
50,0.0,0.0,0.0,0.0
51,0.0,0.3333333283333334,0.7999999952000001,2.3999999856
52,2.999999985,1.99999999,0.0,2.999999985
53,0.0,0.0,0.0,0.0
54,0.9999999925000002,0.4999999962500001,1.9999999850000003,0.9999999925000002
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,1.4999999999999996,1.4999999999999996,0.4999999999999999,1.4999999999999996
