,Unknown,20th century,21st century,Pre-1900s
0,0.8,0.0,0.0,0.2
1,0.7,0.2,0.0,0.1
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.9,0.0,0.1,0.0
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,0.9,0.0,0.0,0.1
9,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,0.9,0.0,0.0,0.1
12,1.0,0.0,0.0,0.0
13,0.8,0.2,0.0,0.0
14,0.9,0.1,0.0,0.0
15,0.1,0.6,0.3,0.0
16,0.0,0.8,0.1,0.1
17,0.0,0.9,0.1,0.0
18,0.2,0.6,0.2,0.0
19,0.4,0.6,0.0,0.0
20,0.8,0.0,0.1,0.1
21,0.9,0.0,0.0,0.1
22,0.0,0.5,0.4,0.1
23,0.0,0.7,0.1,0.2
24,0.8,0.0,0.0,0.2
25,0.4,0.4,0.0,0.2
26,0.8,0.1,0.1,0.0
27,0.0,0.3,0.0,0.7
28,0.0,0.7,0.3,0.0
29,0.0,0.4,0.0,0.6
30,0.9,0.1,0.0,0.0
31,1.0,0.0,0.0,0.0
32,0.6,0.3,0.0,0.1
33,0.8,0.2,0.0,0.0
34,0.9,0.1,0.0,0.0
35,0.8,0.2,0.0,0.0
36,0.9,0.1,0.0,0.0
37,1.0,0.0,0.0,0.0
38,0.0,0.4,0.0,0.6
39,1.0,0.0,0.0,0.0
40,0.8,0.1,0.1,0.0
41,0.9,0.1,0.0,0.0
42,0.6,0.1,0.3,0.0
43,0.1,0.4,0.0,0.5
44,0.3,0.3,0.0,0.4
45,0.0,0.6,0.0,0.4
46,0.8,0.1,0.0,0.1
47,0.0,0.1,0.0,0.9
48,0.0,0.4,0.5,0.1
49,0.2,0.0,0.0,0.8
50,0.2,0.4,0.0,0.4
51,0.0,0.6,0.0,0.4
52,1.0,0.0,0.0,0.0
53,0.6,0.2,0.0,0.2
54,0.7,0.3,0.0,0.0
55,0.2,0.2,0.0,0.6
56,0.1,0.8,0.0,0.1
57,0.9,0.1,0.0,0.0
58,1.0,0.0,0.0,0.0
59,0.7,0.2,0.0,0.1
60,0.1,0.5,0.1,0.3
61,0.8,0.2,0.0,0.0
62,0.1,0.3,0.0,0.6
63,0.9,0.0,0.0,0.1
64,0.3,0.1,0.0,0.6
65,0.9,0.1,0.0,0.0
66,0.0,0.5,0.4,0.1
67,1.0,0.0,0.0,0.0
68,0.9,0.0,0.1,0.0
69,0.3,0.4,0.0,0.3
70,0.7,0.3,0.0,0.0
71,0.0,0.7,0.1,0.2
72,0.0,0.2,0.2,0.6
73,1.0,0.0,0.0,0.0
74,0.5,0.1,0.0,0.4
