,2001-2006,2017-2022,2012-2016,2007-2011
0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.8,0.0,0.0,0.2
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,0.9,0.0,0.0,0.1
11,0.4,0.0,0.3,0.3
12,1.0,0.0,0.0,0.0
13,0.4,0.1,0.3,0.2
14,0.6,0.1,0.2,0.1
15,0.9,0.0,0.0,0.1
16,0.9,0.0,0.0,0.1
17,1.0,0.0,0.0,0.0
18,0.7,0.1,0.1,0.1
19,0.3,0.1,0.6,0.0
20,0.4,0.1,0.0,0.5
21,0.5,0.1,0.1,0.3
22,1.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0
25,0.9,0.0,0.1,0.0
26,0.3,0.0,0.0,0.7
27,0.9,0.0,0.0,0.1
28,1.0,0.0,0.0,0.0
29,0.9,0.0,0.0,0.1
30,0.9,0.0,0.1,0.0
31,0.3,0.1,0.0,0.6
32,1.0,0.0,0.0,0.0
33,0.9,0.1,0.0,0.0
34,0.4,0.1,0.1,0.4
35,0.4,0.3,0.1,0.2
36,0.8,0.1,0.1,0.0
37,0.3,0.0,0.0,0.7
38,0.9,0.0,0.0,0.1
39,0.6,0.2,0.0,0.2
40,1.0,0.0,0.0,0.0
41,0.8,0.0,0.0,0.2
42,0.7,0.2,0.0,0.1
43,0.7,0.0,0.2,0.1
44,0.2,0.0,0.0,0.8
45,0.9,0.0,0.1,0.0
46,0.4,0.4,0.2,0.0
47,0.8,0.0,0.0,0.2
48,1.0,0.0,0.0,0.0
49,0.7,0.0,0.0,0.3
50,0.7,0.0,0.2,0.1
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,0.1,0.1,0.1,0.7
54,0.4,0.1,0.2,0.3
55,0.4,0.0,0.0,0.6
56,0.4,0.0,0.0,0.6
57,0.7,0.1,0.1,0.1
58,0.0,0.0,0.0,1.0
59,0.3,0.3,0.1,0.3
60,0.8,0.1,0.0,0.1
61,0.3,0.2,0.3,0.2
62,0.6,0.0,0.0,0.4
63,0.0,0.0,0.0,1.0
64,0.4,0.1,0.1,0.4
65,0.8,0.2,0.0,0.0
66,0.9,0.0,0.0,0.1
67,0.6,0.0,0.0,0.4
68,0.0,0.0,0.1,0.9
69,0.4,0.2,0.1,0.3
70,0.8,0.0,0.1,0.1
71,1.0,0.0,0.0,0.0
72,0.9,0.0,0.0,0.1
73,0.0,0.0,0.0,1.0
74,0.2,0.1,0.0,0.7
75,0.3,0.1,0.4,0.2
76,0.3,0.0,0.0,0.7
77,0.6,0.0,0.0,0.4
78,0.3,0.0,0.0,0.7
79,0.0,0.0,0.0,1.0
80,0.3,0.1,0.2,0.4
81,0.2,0.0,0.0,0.8
82,0.0,0.0,0.0,1.0
83,0.1,0.0,0.1,0.8
84,0.7,0.0,0.1,0.2
85,0.1,0.7,0.0,0.2
86,0.0,0.0,0.0,1.0
87,0.5,0.0,0.2,0.3
88,0.3,0.1,0.1,0.5
89,0.0,0.0,0.2,0.8
90,0.4,0.0,0.0,0.6
91,0.4,0.1,0.2,0.3
92,0.0,0.0,0.0,1.0
93,0.8,0.0,0.0,0.2
94,0.0,0.0,0.0,1.0
95,0.5,0.0,0.1,0.4
96,0.4,0.0,0.0,0.6
97,0.4,0.1,0.0,0.5
98,0.3,0.0,0.1,0.6
99,0.0,0.0,1.0,0.0
100,0.2,0.0,0.3,0.5
101,0.1,0.2,0.2,0.5
102,0.2,0.2,0.0,0.6
103,0.1,0.2,0.6,0.1
104,0.7,0.1,0.0,0.2
105,0.5,0.0,0.1,0.4
106,0.9,0.1,0.0,0.0
107,0.2,0.3,0.1,0.4
108,0.2,0.0,0.7,0.1
109,0.0,0.0,1.0,0.0
110,0.0,0.0,1.0,0.0
111,0.2,0.0,0.2,0.6
112,0.0,0.0,0.9,0.1
113,0.0,0.0,1.0,0.0
114,0.2,0.0,0.7,0.1
115,0.1,0.7,0.1,0.1
116,0.0,0.7,0.2,0.1
117,0.2,0.0,0.4,0.4
118,0.0,0.0,1.0,0.0
119,0.2,0.3,0.4,0.1
120,0.0,0.8,0.1,0.1
121,0.3,0.3,0.3,0.1
122,0.3,0.0,0.3,0.4
123,0.4,0.0,0.5,0.1
124,0.2,0.1,0.6,0.1
125,0.2,0.5,0.0,0.3
126,0.3,0.0,0.5,0.2
127,0.1,0.1,0.2,0.6
128,0.3,0.4,0.3,0.0
129,0.0,0.0,0.6,0.4
130,0.2,0.3,0.5,0.0
131,1.0,0.0,0.0,0.0
132,0.1,0.0,0.2,0.7
133,0.0,0.9,0.1,0.0
134,0.3,0.2,0.2,0.3
135,0.4,0.1,0.4,0.1
136,0.5,0.4,0.0,0.1
137,0.1,0.2,0.1,0.6
138,0.1,0.1,0.3,0.5
139,0.2,0.1,0.3,0.4
140,0.3,0.3,0.1,0.3
141,0.3,0.3,0.0,0.4
142,0.0,0.9,0.0,0.1
143,0.0,1.0,0.0,0.0
144,0.0,0.2,0.6,0.2
145,0.3,0.0,0.3,0.4
146,0.0,1.0,0.0,0.0
147,0.0,1.0,0.0,0.0
148,0.0,0.8,0.1,0.1
149,0.0,1.0,0.0,0.0
150,0.0,1.0,0.0,0.0
151,0.4,0.3,0.0,0.3
152,0.0,1.0,0.0,0.0
153,0.5,0.2,0.1,0.2
154,0.2,0.0,0.4,0.4
155,0.0,1.0,0.0,0.0
156,0.8,0.0,0.0,0.2
157,0.1,0.0,0.2,0.7
158,0.1,0.6,0.2,0.1
