,Low,Medium-High,High,Medium-Low
0,1.0,0.0,0.0,1.0
1,1.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,2.0,0.0,0.0,0.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,2.0,0.0,0.0,1.0
11,3.0,0.0,0.0,0.0
12,3.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,0.0,1.0,0.0,1.0
15,2.0,0.0,0.0,0.0
16,4.0,0.0,0.0,2.0
17,2.0,0.0,0.0,1.0
18,2.0,0.0,1.0,4.0
19,1.0,1.0,0.0,0.0
20,1.0,0.0,0.0,1.0
21,2.0,0.0,0.0,0.0
22,3.0,0.0,0.0,0.0
23,2.0,0.0,0.0,0.0
24,2.0,0.0,0.0,0.0
25,2.0,0.0,0.0,1.0
26,1.0,0.0,0.0,1.0
27,5.0,1.0,0.0,2.0
28,3.0,0.0,0.0,0.0
29,4.0,0.0,0.0,0.0
30,0.0,0.0,1.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,1.0
34,0.0,1.0,0.0,0.0
35,2.0,0.0,0.0,0.0
36,0.0,2.0,0.0,0.0
37,2.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,1.0,0.0
40,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,0.0
42,2.0,0.0,0.0,0.0
43,2.0,0.0,0.0,1.0
44,3.0,0.0,0.0,1.0
45,4.0,0.0,0.0,0.0
46,3.0,0.0,0.0,0.0
47,4.0,0.0,0.0,0.0
48,7.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,3.0,0.0,0.0,6.0
51,8.0,0.0,0.0,0.0
52,2.0,0.0,0.0,0.0
53,1.0,2.0,0.0,2.0
54,0.0,1.0,0.0,0.0
55,1.0,0.0,0.0,1.0
56,6.0,0.0,0.0,3.0
57,2.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,2.0,0.0,0.0,0.0
61,1.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,2.0
65,1.0,1.0,0.0,0.0
66,6.0,0.0,0.0,1.0
67,6.0,0.0,0.0,0.0
68,10.0,0.0,0.0,0.0
69,3.0,0.0,0.0,2.0
70,2.0,0.0,0.0,0.0
71,8.0,0.0,0.0,1.0
72,2.0,0.0,0.0,1.0
73,10.0,0.0,0.0,0.0
74,1.0,0.0,0.0,1.0
75,0.0,0.0,0.0,0.0
76,4.0,0.0,0.0,1.0
77,7.0,0.0,0.0,3.0
78,2.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,3.0,1.0,0.0
81,5.0,0.0,0.0,0.0
82,7.0,0.0,0.0,0.0
83,2.0,0.0,0.0,0.0
84,0.0,0.0,0.0,1.0
85,2.0,0.0,0.0,0.0
86,10.0,0.0,0.0,0.0
87,0.0,1.0,0.0,2.0
88,6.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,1.0,0.0,0.0,1.0
91,9.0,0.0,0.0,0.0
92,3.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,7.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,5.0,0.0,0.0,1.0
97,8.0,0.0,0.0,1.0
98,0.0,2.0,5.0,0.0
99,10.0,0.0,0.0,0.0
100,7.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,6.0,0.0,0.0,0.0
103,3.0,0.0,0.0,0.0
104,1.0,0.0,0.0,0.0
105,2.0,0.0,0.0,0.0
106,2.0,1.0,0.0,0.0
107,2.0,0.0,0.0,0.0
108,6.0,0.0,0.0,0.0
109,1.0,0.0,0.0,0.0
110,9.0,0.0,0.0,0.0
111,1.0,0.0,1.0,0.0
112,3.0,0.0,0.0,0.0
113,7.0,0.0,0.0,0.0
114,4.0,1.0,0.0,0.0
115,0.0,2.0,0.0,1.0
116,2.0,0.0,0.0,0.0
117,3.0,0.0,0.0,0.0
118,2.0,0.0,0.0,0.0
119,1.0,0.0,0.0,0.0
120,8.0,0.0,0.0,0.0
121,2.0,0.0,0.0,0.0
122,4.0,0.0,0.0,0.0
123,0.0,0.0,0.0,2.0
