,Low,Medium-High,High,Medium-Low
0,0.7,0.0,0.0,0.3
1,0.9,0.0,0.0,0.1
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.8,0.0,0.0,0.2
5,0.9,0.0,0.0,0.1
6,0.8,0.0,0.0,0.2
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,0.9,0.0,0.0,0.1
10,0.8,0.0,0.0,0.2
11,1.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0
13,0.6,0.0,0.1,0.3
14,0.0,0.5,0.2,0.3
15,0.9,0.0,0.0,0.1
16,0.4,0.0,0.1,0.5
17,0.6,0.0,0.0,0.4
18,0.4,0.0,0.1,0.5
19,0.8,0.2,0.0,0.0
20,0.8,0.0,0.0,0.2
21,0.5,0.1,0.0,0.4
22,0.9,0.0,0.0,0.1
23,1.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0
25,0.4,0.0,0.1,0.5
26,0.8,0.1,0.0,0.1
27,0.5,0.1,0.0,0.4
28,1.0,0.0,0.0,0.0
29,0.9,0.0,0.0,0.1
30,0.0,0.2,0.4,0.4
31,0.7,0.1,0.0,0.2
32,0.0,0.5,0.1,0.4
33,0.0,0.6,0.1,0.3
34,0.4,0.4,0.0,0.2
35,0.4,0.0,0.0,0.6
36,0.4,0.3,0.0,0.3
37,0.7,0.1,0.0,0.2
38,0.5,0.2,0.0,0.3
39,0.2,0.1,0.5,0.2
40,0.2,0.0,0.0,0.8
41,0.0,0.6,0.1,0.3
42,0.6,0.3,0.0,0.1
43,0.4,0.0,0.1,0.5
44,0.8,0.0,0.0,0.2
45,1.0,0.0,0.0,0.0
46,0.5,0.1,0.0,0.4
47,1.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,0.9,0.0,0.0,0.1
50,0.3,0.1,0.0,0.6
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,0.4,0.2,0.0,0.4
54,0.6,0.2,0.0,0.2
55,0.5,0.2,0.0,0.3
56,0.7,0.0,0.0,0.3
57,0.8,0.0,0.0,0.2
58,1.0,0.0,0.0,0.0
59,0.7,0.1,0.0,0.2
60,0.4,0.1,0.1,0.4
61,0.9,0.0,0.0,0.1
62,0.9,0.0,0.0,0.1
63,1.0,0.0,0.0,0.0
64,0.7,0.0,0.0,0.3
65,0.6,0.1,0.0,0.3
66,0.7,0.1,0.0,0.2
67,0.9,0.0,0.0,0.1
68,1.0,0.0,0.0,0.0
69,0.6,0.0,0.1,0.3
70,0.8,0.2,0.0,0.0
71,0.9,0.0,0.0,0.1
72,0.9,0.0,0.0,0.1
73,1.0,0.0,0.0,0.0
74,0.5,0.0,0.0,0.5
75,0.5,0.0,0.2,0.3
76,0.6,0.1,0.0,0.3
77,0.7,0.0,0.0,0.3
78,0.8,0.0,0.0,0.2
79,1.0,0.0,0.0,0.0
80,0.0,0.5,0.4,0.1
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,0.8,0.1,0.0,0.1
84,0.2,0.2,0.0,0.6
85,0.9,0.0,0.0,0.1
86,1.0,0.0,0.0,0.0
87,0.1,0.3,0.4,0.2
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,0.9,0.0,0.0,0.1
91,1.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,0.4,0.2,0.0,0.4
96,0.9,0.0,0.0,0.1
97,0.9,0.0,0.0,0.1
98,0.0,0.3,0.7,0.0
99,1.0,0.0,0.0,0.0
100,1.0,0.0,0.0,0.0
101,1.0,0.0,0.0,0.0
102,0.9,0.0,0.0,0.1
103,0.9,0.0,0.0,0.1
104,1.0,0.0,0.0,0.0
105,0.9,0.0,0.0,0.1
106,0.4,0.3,0.0,0.3
107,0.6,0.1,0.0,0.3
108,1.0,0.0,0.0,0.0
109,1.0,0.0,0.0,0.0
110,1.0,0.0,0.0,0.0
111,0.2,0.2,0.2,0.4
112,0.9,0.0,0.0,0.1
113,1.0,0.0,0.0,0.0
114,0.7,0.1,0.0,0.2
115,0.2,0.5,0.0,0.3
116,0.7,0.0,0.0,0.3
117,0.6,0.0,0.0,0.4
118,1.0,0.0,0.0,0.0
119,0.3,0.2,0.0,0.5
120,1.0,0.0,0.0,0.0
121,0.6,0.3,0.0,0.1
122,0.7,0.0,0.0,0.3
123,0.1,0.1,0.1,0.7
124,0.3,0.0,0.1,0.6
125,0.4,0.3,0.0,0.3
126,0.3,0.0,0.0,0.7
127,0.9,0.0,0.0,0.1
128,0.8,0.0,0.0,0.2
129,0.2,0.1,0.0,0.7
130,1.0,0.0,0.0,0.0
131,1.0,0.0,0.0,0.0
132,0.3,0.5,0.0,0.2
133,1.0,0.0,0.0,0.0
134,0.5,0.1,0.3,0.1
135,0.0,0.2,0.6,0.2
136,0.9,0.0,0.0,0.1
137,0.8,0.0,0.0,0.2
138,0.8,0.0,0.0,0.2
139,0.5,0.1,0.0,0.4
140,0.4,0.1,0.1,0.4
141,0.7,0.1,0.0,0.2
142,1.0,0.0,0.0,0.0
143,1.0,0.0,0.0,0.0
144,0.8,0.2,0.0,0.0
145,0.9,0.0,0.0,0.1
146,1.0,0.0,0.0,0.0
147,0.9,0.0,0.0,0.1
148,1.0,0.0,0.0,0.0
149,1.0,0.0,0.0,0.0
150,1.0,0.0,0.0,0.0
151,0.3,0.3,0.0,0.4
152,1.0,0.0,0.0,0.0
153,0.4,0.0,0.2,0.4
154,0.7,0.2,0.0,0.1
155,1.0,0.0,0.0,0.0
156,1.0,0.0,0.0,0.0
157,0.6,0.1,0.0,0.3
158,0.7,0.1,0.0,0.2
