,Unknown,Pre-1900s,21st century,20th century
0,0.8,0.2,0.0,0.0
1,0.7,0.1,0.0,0.2
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.9,0.0,0.1,0.0
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,0.9,0.1,0.0,0.0
9,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,0.9,0.1,0.0,0.0
12,1.0,0.0,0.0,0.0
13,0.8,0.0,0.0,0.2
14,0.9,0.0,0.0,0.1
15,0.1,0.0,0.3,0.6
16,0.0,0.1,0.1,0.8
17,0.0,0.0,0.1,0.9
18,0.2,0.0,0.2,0.6
19,0.4,0.0,0.0,0.6
20,0.8,0.1,0.1,0.0
21,0.9,0.1,0.0,0.0
22,0.0,0.1,0.4,0.5
23,0.0,0.2,0.1,0.7
24,0.8,0.2,0.0,0.0
25,0.4,0.2,0.0,0.4
26,0.8,0.0,0.1,0.1
27,0.0,0.7,0.0,0.3
28,0.0,0.0,0.3,0.7
29,0.0,0.6,0.0,0.4
30,0.9,0.0,0.0,0.1
31,1.0,0.0,0.0,0.0
32,0.6,0.1,0.0,0.3
33,0.8,0.0,0.0,0.2
34,0.9,0.0,0.0,0.1
35,0.8,0.0,0.0,0.2
36,0.9,0.0,0.0,0.1
37,1.0,0.0,0.0,0.0
38,0.0,0.6,0.0,0.4
39,1.0,0.0,0.0,0.0
40,0.8,0.0,0.1,0.1
41,0.9,0.0,0.0,0.1
42,0.6,0.0,0.3,0.1
43,0.1,0.5,0.0,0.4
44,0.3,0.4,0.0,0.3
45,0.0,0.4,0.0,0.6
46,0.8,0.1,0.0,0.1
47,0.0,0.9,0.0,0.1
48,0.0,0.1,0.5,0.4
49,0.2,0.8,0.0,0.0
50,0.2,0.4,0.0,0.4
51,0.0,0.4,0.0,0.6
52,1.0,0.0,0.0,0.0
53,0.6,0.2,0.0,0.2
54,0.7,0.0,0.0,0.3
55,0.2,0.6,0.0,0.2
56,0.1,0.1,0.0,0.8
57,0.9,0.0,0.0,0.1
58,1.0,0.0,0.0,0.0
59,0.7,0.1,0.0,0.2
60,0.1,0.3,0.1,0.5
61,0.8,0.0,0.0,0.2
62,0.1,0.6,0.0,0.3
63,0.9,0.1,0.0,0.0
64,0.3,0.6,0.0,0.1
65,0.9,0.0,0.0,0.1
66,0.0,0.1,0.4,0.5
67,1.0,0.0,0.0,0.0
68,0.9,0.0,0.1,0.0
69,0.3,0.3,0.0,0.4
70,0.7,0.0,0.0,0.3
71,0.0,0.2,0.1,0.7
72,0.0,0.6,0.2,0.2
73,1.0,0.0,0.0,0.0
74,0.5,0.4,0.0,0.1
75,0.5,0.1,0.0,0.4
76,0.4,0.3,0.0,0.3
77,0.0,0.6,0.0,0.4
78,0.7,0.3,0.0,0.0
79,1.0,0.0,0.0,0.0
80,0.9,0.0,0.0,0.1
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
