,l-r,e-k,s-,a-d
0,0.2,0.3,0.1,0.4
1,0.1,0.1,0.6,0.2
2,0.1,0.2,0.4,0.3
3,0.3,0.2,0.2,0.3
4,0.2,0.3,0.4,0.1
5,0.3,0.1,0.3,0.3
6,0.3,0.5,0.1,0.1
7,0.3,0.2,0.4,0.1
8,0.5,0.1,0.3,0.1
9,0.4,0.2,0.1,0.3
10,0.2,0.1,0.1,0.6
11,0.5,0.1,0.3,0.1
12,0.4,0.1,0.3,0.2
13,0.4,0.1,0.4,0.1
14,0.7,0.0,0.1,0.2
15,0.2,0.1,0.5,0.2
16,0.4,0.2,0.2,0.2
17,0.3,0.3,0.4,0.0
18,0.5,0.1,0.2,0.2
19,0.3,0.2,0.2,0.3
20,0.4,0.1,0.5,0.0
21,0.4,0.4,0.2,0.0
22,0.3,0.4,0.2,0.1
23,0.2,0.5,0.3,0.0
24,0.3,0.1,0.3,0.3
25,0.1,0.1,0.5,0.3
26,0.4,0.4,0.0,0.2
27,0.2,0.1,0.6,0.1
28,0.3,0.6,0.1,0.0
29,0.1,0.0,0.7,0.2
30,0.6,0.0,0.1,0.3
31,0.5,0.1,0.2,0.2
32,0.1,0.2,0.5,0.2
33,0.1,0.2,0.6,0.1
34,0.3,0.1,0.2,0.4
35,0.3,0.1,0.5,0.1
36,0.4,0.0,0.1,0.5
37,0.2,0.3,0.2,0.3
38,0.1,0.0,0.6,0.3
39,0.5,0.1,0.1,0.3
40,0.4,0.1,0.2,0.3
41,0.2,0.1,0.4,0.3
42,0.5,0.1,0.3,0.1
43,0.5,0.1,0.3,0.1
44,0.2,0.3,0.1,0.4
45,0.3,0.3,0.3,0.1
46,0.5,0.0,0.4,0.1
47,0.4,0.1,0.3,0.2
48,0.2,0.5,0.2,0.1
49,0.5,0.1,0.2,0.2
50,0.5,0.0,0.2,0.3
51,0.6,0.3,0.0,0.1
52,0.3,0.1,0.4,0.2
53,0.4,0.1,0.2,0.3
54,0.5,0.2,0.0,0.3
55,0.6,0.1,0.1,0.2
56,0.5,0.0,0.5,0.0
57,0.1,0.2,0.5,0.2
58,0.3,0.2,0.2,0.3
59,0.3,0.3,0.0,0.4
60,0.2,0.5,0.1,0.2
61,0.6,0.1,0.2,0.1
62,0.4,0.1,0.3,0.2
63,0.3,0.2,0.3,0.2
64,0.4,0.0,0.3,0.3
65,0.3,0.1,0.0,0.6
66,0.7,0.1,0.2,0.0
67,0.2,0.0,0.3,0.5
68,0.1,0.8,0.0,0.1
69,0.4,0.0,0.5,0.1
70,0.4,0.4,0.2,0.0
71,0.2,0.2,0.5,0.1
72,0.2,0.2,0.4,0.2
73,0.2,0.2,0.4,0.2
74,0.5,0.1,0.2,0.2
75,0.4,0.3,0.1,0.2
76,0.3,0.2,0.3,0.2
77,0.4,0.1,0.4,0.1
78,0.2,0.1,0.4,0.3
79,0.3,0.2,0.2,0.3
80,1.0,0.0,0.0,0.0
81,0.3,0.1,0.3,0.3
82,0.1,0.3,0.5,0.1
83,0.3,0.3,0.0,0.4
84,0.7,0.1,0.1,0.1
85,0.6,0.0,0.0,0.4
86,0.4,0.1,0.2,0.3
87,0.6,0.0,0.1,0.3
88,0.2,0.1,0.4,0.3
89,1.0,0.0,0.0,0.0
90,0.2,0.4,0.2,0.2
91,0.4,0.2,0.2,0.2
92,0.1,0.6,0.2,0.1
93,0.1,0.2,0.4,0.3
94,0.2,0.6,0.1,0.1
95,0.4,0.0,0.5,0.1
96,0.0,0.2,0.4,0.4
97,0.4,0.2,0.3,0.1
98,1.0,0.0,0.0,0.0
99,0.1,0.2,0.7,0.0
100,0.4,0.1,0.0,0.5
101,0.3,0.3,0.1,0.3
102,1.0,0.0,0.0,0.0
103,0.2,0.1,0.0,0.7
104,0.5,0.0,0.3,0.2
105,0.5,0.2,0.3,0.0
106,0.3,0.4,0.3,0.0
107,0.4,0.2,0.3,0.1
108,0.2,0.1,0.6,0.1
109,0.0,0.2,0.4,0.4
110,0.2,0.4,0.1,0.3
111,0.2,0.4,0.2,0.2
112,0.3,0.2,0.3,0.2
113,0.2,0.1,0.5,0.2
114,0.2,0.3,0.3,0.2
115,0.4,0.1,0.3,0.2
116,0.2,0.3,0.3,0.2
117,0.4,0.1,0.3,0.2
118,0.8,0.0,0.1,0.1
119,0.5,0.2,0.3,0.0
120,0.2,0.2,0.5,0.1
121,0.3,0.4,0.3,0.0
122,0.2,0.1,0.1,0.6
123,0.3,0.3,0.3,0.1
124,0.2,0.3,0.1,0.4
125,0.2,0.5,0.0,0.3
126,0.2,0.0,0.5,0.3
127,0.1,0.4,0.2,0.3
128,0.1,0.1,0.2,0.6
129,0.7,0.0,0.2,0.1
130,0.1,0.1,0.4,0.4
131,0.2,0.4,0.4,0.0
132,0.2,0.3,0.3,0.2
133,0.3,0.0,0.1,0.6
134,0.4,0.5,0.1,0.0
135,1.0,0.0,0.0,0.0
136,0.7,0.0,0.1,0.2
137,0.3,0.2,0.2,0.3
138,0.0,0.1,0.6,0.3
139,0.2,0.2,0.1,0.5
140,0.3,0.1,0.0,0.6
141,0.5,0.1,0.4,0.0
142,0.3,0.2,0.3,0.2
143,0.2,0.2,0.5,0.1
144,0.4,0.2,0.2,0.2
145,0.2,0.0,0.6,0.2
146,0.0,0.4,0.4,0.2
147,0.5,0.2,0.3,0.0
