,l-r,e-k,s-,a-d
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,1.99999999,2.999999985,3.99999998,0.999999995
5,0.0,0.0,0.0,0.0
6,2.0,3.333333333333333,0.6666666666666666,0.6666666666666666
7,2.999999985,1.99999999,3.99999998,0.999999995
8,0.0,0.0,0.0,0.0
9,2.8571428534693877,1.4285714267346938,0.7142857133673469,2.142857140102041
10,0.0,0.0,0.0,0.0
11,0.7692307677514794,0.3846153838757397,1.153846151627219,0.3846153838757397
12,2.999999985,0.999999995,2.999999985,1.99999999
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,1.99999999,0.999999995,3.99999998,1.99999999
16,3.99999998,0.999999995,1.99999999,1.99999999
17,0.0,0.0,0.0,0.0
18,1.5999999904000002,0.0,0.0,0.0
19,0.3999999952,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,1.99999999,2.999999985,1.99999999,0.999999995
23,1.99999999,3.99999998,2.7999999852000004,0.0
24,1.055555550756173,0.0,0.0,0.0
25,0.999999995,0.999999995,4.999999975,2.999999985
26,2.4999999853125,2.999999985,0.0,1.99999999
27,0.0,0.0,0.0,0.0
28,0.999999995,3.7999999802000004,0.999999995,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,2.3999999927999998,0.5999999981999999,1.1999999963999999,1.1999999963999999
32,0.0,0.999999995,2.999999985,1.99999999
33,0.0,0.999999995,0.999999995,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,2.4999999937499995,0.4999999987499999,0.1666666659722221,1.4999999962499997
40,0.0,0.0,0.0,0.4999999999999999
41,0.9999999974999998,0.4999999987499999,1.9999999949999996,1.4999999962499997
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,1.99999999,2.999999985,0.999999995,2.6666666477777783
45,0.999999995,1.99999999,1.99999999,0.999999995
46,3.6666666472222222,0.0,3.6666666472222222,0.999999995
47,0.0,0.0,0.0,0.0
48,1.99999999,4.999999975,1.99999999,0.999999995
49,3.99999998,0.999999995,0.999999995,1.99999999
50,0.0,0.0,0.0,0.0
51,2.3999999856,1.9333333187333335,0.0,0.0
52,1.99999999,0.999999995,3.99999998,1.99999999
53,0.0,0.0,0.0,0.0
54,2.4999999812500002,0.4999999962500001,0.0,1.4999999887500002
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.4999999999999999,0.9999999999999998,1.9999999999999996,0.4999999999999999
58,0.5999999993999997,0.3999999995999998,0.3999999995999998,0.5999999993999997
