,2001-2006,2017-2022,2012-2016,2007-2011
0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.8,0.1,0.0,0.1
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,0.8,0.0,0.1,0.1
11,0.7,0.0,0.2,0.1
12,1.0,0.0,0.0,0.0
13,0.7,0.0,0.2,0.1
14,1.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,0.7,0.1,0.1,0.1
19,0.8,0.0,0.1,0.1
20,0.5,0.0,0.1,0.4
21,0.9,0.0,0.0,0.1
22,1.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0
24,0.7,0.0,0.1,0.2
25,0.9,0.0,0.0,0.1
26,0.5,0.1,0.0,0.4
27,1.0,0.0,0.0,0.0
28,0.9,0.0,0.0,0.1
29,0.9,0.0,0.0,0.1
30,0.9,0.0,0.0,0.1
31,0.9,0.0,0.0,0.1
32,0.9,0.1,0.0,0.0
33,0.8,0.1,0.1,0.0
34,0.1,0.0,0.5,0.4
35,1.0,0.0,0.0,0.0
36,0.0,1.0,0.0,0.0
37,0.7,0.0,0.1,0.2
38,1.0,0.0,0.0,0.0
39,0.8,0.1,0.1,0.0
40,0.9,0.0,0.0,0.1
41,0.7,0.0,0.0,0.3
42,1.0,0.0,0.0,0.0
43,0.9,0.0,0.0,0.1
44,0.8,0.0,0.0,0.2
45,1.0,0.0,0.0,0.0
46,0.7,0.1,0.0,0.2
47,0.8,0.1,0.0,0.1
48,1.0,0.0,0.0,0.0
49,0.5,0.1,0.0,0.4
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,0.1,0.1,0.2,0.6
54,0.8,0.1,0.0,0.1
55,0.7,0.0,0.0,0.3
56,1.0,0.0,0.0,0.0
57,0.6,0.0,0.1,0.3
58,0.0,0.0,0.0,1.0
59,0.7,0.0,0.2,0.1
60,0.8,0.0,0.0,0.2
61,0.5,0.1,0.1,0.3
62,0.9,0.1,0.0,0.0
63,0.0,0.0,0.0,1.0
64,0.3,0.0,0.3,0.4
65,0.6,0.0,0.0,0.4
66,0.9,0.0,0.0,0.1
67,0.8,0.0,0.1,0.1
68,0.1,0.0,0.1,0.8
69,0.6,0.1,0.1,0.2
70,0.7,0.1,0.0,0.2
71,0.9,0.0,0.0,0.1
72,0.9,0.0,0.0,0.1
73,0.5,0.0,0.0,0.5
74,0.4,0.0,0.1,0.5
75,0.7,0.0,0.3,0.0
76,0.5,0.0,0.0,0.5
77,1.0,0.0,0.0,0.0
78,0.5,0.0,0.0,0.5
79,0.0,0.0,0.0,1.0
80,0.1,0.1,0.0,0.8
81,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
83,0.4,0.1,0.0,0.5
84,0.8,0.0,0.0,0.2
85,0.2,0.2,0.3,0.3
86,0.0,0.0,0.0,1.0
87,0.7,0.0,0.2,0.1
88,0.4,0.1,0.0,0.5
89,0.5,0.0,0.0,0.5
90,0.6,0.1,0.1,0.2
91,0.5,0.1,0.2,0.2
92,0.3,0.1,0.0,0.6
93,0.9,0.0,0.0,0.1
94,0.1,0.0,0.0,0.9
95,0.6,0.1,0.0,0.3
96,0.5,0.0,0.0,0.5
97,1.0,0.0,0.0,0.0
98,0.2,0.0,0.2,0.6
99,0.0,0.0,1.0,0.0
100,0.1,0.0,0.3,0.6
101,0.5,0.0,0.2,0.3
102,0.2,0.2,0.1,0.5
103,0.1,0.2,0.7,0.0
104,0.8,0.1,0.0,0.1
105,0.0,0.8,0.1,0.1
106,0.6,0.0,0.2,0.2
107,0.8,0.1,0.1,0.0
108,0.2,0.0,0.6,0.2
109,0.0,0.0,1.0,0.0
110,0.0,0.0,1.0,0.0
111,0.2,0.0,0.3,0.5
112,0.0,0.0,0.8,0.2
113,0.0,0.1,0.9,0.0
114,0.2,0.2,0.5,0.1
115,0.3,0.4,0.1,0.2
116,0.3,0.4,0.1,0.2
117,0.5,0.1,0.1,0.3
118,0.0,0.0,1.0,0.0
119,0.3,0.6,0.0,0.1
120,0.4,0.0,0.0,0.6
121,0.6,0.2,0.0,0.2
122,0.5,0.0,0.2,0.3
123,0.5,0.0,0.4,0.1
124,0.3,0.0,0.4,0.3
125,0.2,0.3,0.2,0.3
126,0.2,0.0,0.5,0.3
127,0.0,0.2,0.4,0.4
128,0.4,0.2,0.2,0.2
129,0.2,0.1,0.6,0.1
130,0.5,0.1,0.4,0.0
131,1.0,0.0,0.0,0.0
132,0.6,0.0,0.2,0.2
133,0.2,0.8,0.0,0.0
134,0.4,0.3,0.0,0.3
135,0.3,0.1,0.4,0.2
136,0.4,0.2,0.3,0.1
137,0.0,0.2,0.0,0.8
138,0.2,0.1,0.3,0.4
139,0.4,0.1,0.2,0.3
140,0.5,0.1,0.2,0.2
141,0.3,0.1,0.1,0.5
142,0.0,0.8,0.0,0.2
143,0.0,1.0,0.0,0.0
144,0.7,0.0,0.0,0.3
145,0.9,0.0,0.0,0.1
146,0.0,0.7,0.0,0.3
147,0.0,1.0,0.0,0.0
148,0.0,1.0,0.0,0.0
149,0.0,1.0,0.0,0.0
150,0.0,0.9,0.0,0.1
151,0.6,0.3,0.0,0.1
152,0.0,0.8,0.0,0.2
153,0.7,0.0,0.1,0.2
154,0.2,0.3,0.4,0.1
155,0.0,1.0,0.0,0.0
156,0.9,0.0,0.0,0.1
157,0.6,0.0,0.1,0.3
158,0.8,0.0,0.1,0.1
