,Medium-High,Low,High,Medium-Low
0,0.0,0.9,0.0,0.1
1,0.0,0.8,0.0,0.2
2,0.0,1.0,0.0,0.0
3,0.0,1.0,0.0,0.0
4,0.1,0.7,0.0,0.2
5,0.0,0.8,0.0,0.2
6,0.0,0.6,0.0,0.4
7,0.0,1.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.0,0.9,0.0,0.1
10,0.0,0.9,0.0,0.1
11,0.1,0.6,0.1,0.2
12,0.0,0.9,0.0,0.1
13,0.1,0.3,0.0,0.6
14,0.1,0.0,0.4,0.5
15,0.0,0.9,0.0,0.1
16,0.2,0.4,0.0,0.4
17,0.0,0.9,0.0,0.1
18,0.0,0.3,0.0,0.7
19,0.2,0.2,0.0,0.6
20,0.0,0.8,0.0,0.2
21,0.5,0.2,0.1,0.2
22,0.0,0.8,0.0,0.2
23,0.0,1.0,0.0,0.0
24,0.3,0.5,0.0,0.2
25,0.0,0.5,0.0,0.5
26,0.1,0.5,0.0,0.4
27,0.4,0.2,0.0,0.4
28,0.0,0.9,0.0,0.1
29,0.3,0.2,0.0,0.5
30,0.1,0.0,0.5,0.4
31,0.2,0.1,0.0,0.7
32,0.5,0.1,0.0,0.4
33,0.5,0.2,0.0,0.3
34,0.0,0.8,0.0,0.2
35,0.5,0.2,0.0,0.3
36,0.0,1.0,0.0,0.0
37,0.1,0.4,0.1,0.4
38,0.3,0.0,0.0,0.7
39,0.1,0.1,0.5,0.3
40,0.4,0.1,0.0,0.5
41,0.7,0.0,0.1,0.2
42,0.4,0.0,0.2,0.4
43,0.1,0.3,0.0,0.6
44,0.1,0.4,0.0,0.5
45,0.0,1.0,0.0,0.0
46,0.4,0.2,0.0,0.4
47,0.1,0.3,0.0,0.6
48,0.0,0.7,0.0,0.3
49,0.0,0.7,0.0,0.3
50,0.2,0.0,0.1,0.7
51,0.0,1.0,0.0,0.0
52,0.0,0.8,0.1,0.1
53,0.2,0.5,0.0,0.3
54,0.2,0.3,0.0,0.5
55,0.2,0.5,0.0,0.3
56,0.2,0.3,0.0,0.5
57,0.0,0.4,0.0,0.6
58,0.0,1.0,0.0,0.0
59,0.1,0.5,0.1,0.3
60,0.2,0.2,0.0,0.6
61,0.2,0.6,0.0,0.2
62,0.3,0.2,0.1,0.4
63,0.0,1.0,0.0,0.0
64,0.0,0.9,0.0,0.1
65,0.1,0.5,0.0,0.4
66,0.0,0.7,0.0,0.3
67,0.1,0.4,0.0,0.5
68,0.0,1.0,0.0,0.0
69,0.0,0.4,0.1,0.5
70,0.4,0.2,0.1,0.3
71,0.0,0.9,0.0,0.1
72,0.0,0.9,0.0,0.1
73,0.0,0.6,0.0,0.4
74,0.3,0.2,0.0,0.5
75,0.2,0.1,0.5,0.2
76,0.0,0.7,0.0,0.3
77,0.0,0.4,0.0,0.6
78,0.1,0.7,0.0,0.2
79,0.0,1.0,0.0,0.0
80,0.5,0.0,0.4,0.1
81,0.0,1.0,0.0,0.0
82,0.0,1.0,0.0,0.0
83,0.0,0.4,0.0,0.6
84,0.1,0.4,0.0,0.5
85,0.2,0.5,0.0,0.3
86,0.0,1.0,0.0,0.0
87,0.1,0.0,0.5,0.4
88,0.0,0.8,0.0,0.2
89,0.5,0.1,0.2,0.2
90,0.1,0.5,0.0,0.4
91,0.0,0.9,0.0,0.1
92,0.1,0.7,0.0,0.2
93,0.1,0.3,0.0,0.6
94,0.0,1.0,0.0,0.0
95,0.1,0.6,0.0,0.3
96,0.0,1.0,0.0,0.0
97,0.4,0.2,0.0,0.4
98,0.2,0.0,0.8,0.0
99,0.0,1.0,0.0,0.0
100,0.0,1.0,0.0,0.0
101,0.0,0.8,0.0,0.2
102,0.4,0.0,0.6,0.0
103,0.0,1.0,0.0,0.0
104,0.0,0.7,0.0,0.3
105,0.0,1.0,0.0,0.0
106,0.2,0.3,0.0,0.5
107,0.2,0.2,0.1,0.5
108,0.0,1.0,0.0,0.0
109,0.0,1.0,0.0,0.0
110,0.0,1.0,0.0,0.0
111,0.1,0.3,0.1,0.5
112,0.0,0.9,0.0,0.1
113,0.0,1.0,0.0,0.0
114,0.0,1.0,0.0,0.0
115,0.1,0.6,0.0,0.3
116,0.1,0.5,0.0,0.4
117,0.0,0.8,0.0,0.2
118,0.0,1.0,0.0,0.0
119,0.2,0.6,0.0,0.2
120,0.0,0.6,0.0,0.4
121,0.6,0.0,0.0,0.4
122,0.0,0.5,0.0,0.5
123,0.2,0.2,0.1,0.5
124,0.0,0.2,0.1,0.7
125,0.1,0.5,0.0,0.4
126,0.0,0.4,0.0,0.6
127,0.0,1.0,0.0,0.0
128,0.0,0.9,0.0,0.1
129,0.3,0.0,0.1,0.6
130,0.1,0.6,0.0,0.3
131,0.0,1.0,0.0,0.0
132,0.2,0.4,0.0,0.4
133,0.0,0.8,0.0,0.2
134,0.0,0.7,0.2,0.1
135,0.2,0.0,0.6,0.2
136,0.0,0.7,0.0,0.3
137,0.0,1.0,0.0,0.0
138,0.0,0.9,0.0,0.1
139,0.0,0.6,0.0,0.4
140,0.3,0.2,0.0,0.5
141,0.1,0.6,0.0,0.3
142,0.0,1.0,0.0,0.0
143,0.0,1.0,0.0,0.0
144,0.0,0.7,0.0,0.3
145,0.1,0.4,0.1,0.4
146,0.0,1.0,0.0,0.0
147,0.0,1.0,0.0,0.0
148,0.0,1.0,0.0,0.0
149,0.0,1.0,0.0,0.0
150,0.0,1.0,0.0,0.0
151,0.5,0.0,0.0,0.5
152,0.0,0.9,0.0,0.1
153,0.7,0.1,0.0,0.2
154,0.2,0.5,0.0,0.3
155,0.0,1.0,0.0,0.0
156,0.0,0.8,0.0,0.2
157,0.1,0.5,0.1,0.3
158,0.4,0.0,0.0,0.6
