,Unknown,Pre-1900s,21st century,20th century
0,0.8,0.1,0.0,0.1
1,0.9,0.0,0.0,0.1
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.7,0.0,0.2,0.1
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,0.9,0.0,0.1,0.0
11,0.7,0.2,0.0,0.1
12,1.0,0.0,0.0,0.0
13,0.7,0.1,0.0,0.2
14,0.9,0.0,0.1,0.0
15,0.0,0.0,0.5,0.5
16,0.2,0.3,0.2,0.3
17,0.0,0.2,0.2,0.6
18,0.4,0.2,0.1,0.3
19,0.9,0.0,0.1,0.0
20,0.8,0.1,0.0,0.1
21,0.6,0.4,0.0,0.0
22,0.0,0.1,0.3,0.6
23,0.0,0.1,0.1,0.8
24,0.4,0.5,0.0,0.1
25,0.3,0.6,0.0,0.1
26,0.6,0.0,0.0,0.4
27,0.0,0.7,0.0,0.3
28,0.0,0.0,0.3,0.7
29,0.0,0.3,0.0,0.7
30,0.9,0.0,0.0,0.1
31,0.9,0.1,0.0,0.0
32,0.6,0.2,0.0,0.2
33,0.6,0.0,0.0,0.4
34,1.0,0.0,0.0,0.0
35,0.7,0.2,0.0,0.1
36,1.0,0.0,0.0,0.0
37,0.6,0.2,0.0,0.2
38,0.1,0.6,0.0,0.3
39,0.9,0.0,0.1,0.0
40,0.8,0.1,0.1,0.0
41,1.0,0.0,0.0,0.0
42,0.7,0.0,0.1,0.2
43,0.1,0.6,0.0,0.3
44,0.1,0.5,0.0,0.4
45,0.0,0.2,0.0,0.8
46,0.6,0.1,0.1,0.2
47,0.2,0.5,0.0,0.3
48,0.0,0.1,0.2,0.7
49,0.4,0.5,0.0,0.1
50,0.0,0.5,0.0,0.5
51,0.0,0.4,0.0,0.6
52,0.8,0.1,0.0,0.1
53,0.8,0.0,0.0,0.2
54,0.3,0.2,0.0,0.5
55,0.3,0.6,0.0,0.1
56,0.0,0.5,0.0,0.5
57,0.8,0.1,0.0,0.1
58,0.9,0.1,0.0,0.0
59,0.7,0.2,0.0,0.1
60,0.4,0.2,0.0,0.4
61,0.8,0.0,0.0,0.2
62,0.0,0.7,0.1,0.2
63,0.8,0.2,0.0,0.0
64,0.9,0.0,0.0,0.1
65,0.9,0.1,0.0,0.0
66,0.2,0.1,0.0,0.7
67,0.9,0.1,0.0,0.0
68,0.9,0.0,0.1,0.0
69,0.3,0.3,0.0,0.4
70,0.2,0.2,0.0,0.6
71,0.0,0.2,0.2,0.6
72,0.0,0.4,0.3,0.3
73,0.8,0.2,0.0,0.0
74,0.9,0.1,0.0,0.0
75,0.7,0.0,0.1,0.2
76,0.2,0.2,0.0,0.6
77,0.2,0.7,0.0,0.1
78,0.8,0.1,0.0,0.1
79,1.0,0.0,0.0,0.0
80,1.0,0.0,0.0,0.0
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,0.8,0.1,0.1,0.0
84,0.7,0.3,0.0,0.0
85,0.9,0.0,0.1,0.0
86,1.0,0.0,0.0,0.0
87,0.9,0.0,0.1,0.0
88,0.9,0.1,0.0,0.0
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,0.8,0.0,0.1,0.1
92,0.4,0.5,0.0,0.1
93,0.9,0.0,0.0,0.1
94,1.0,0.0,0.0,0.0
95,0.9,0.1,0.0,0.0
96,1.0,0.0,0.0,0.0
97,0.0,1.0,0.0,0.0
98,1.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0
