,a-d,l-r,s-,e-k
0,0.1,0.3,0.3,0.3
1,0.4,0.2,0.2,0.2
2,0.0,0.3,0.6,0.1
3,0.0,0.3,0.6,0.1
4,0.0,0.6,0.1,0.3
5,0.1,0.4,0.3,0.2
6,0.3,0.5,0.2,0.0
7,0.3,0.2,0.3,0.2
8,0.1,0.7,0.2,0.0
9,0.3,0.4,0.1,0.2
10,0.5,0.0,0.2,0.3
11,0.2,0.4,0.1,0.3
12,0.1,0.3,0.4,0.2
13,0.0,0.1,0.4,0.5
14,0.1,0.5,0.2,0.2
15,0.3,0.2,0.2,0.3
16,0.1,0.4,0.3,0.2
17,0.1,0.1,0.3,0.5
18,0.2,0.1,0.1,0.6
19,0.4,0.2,0.2,0.2
20,0.0,0.2,0.3,0.5
21,0.1,0.2,0.6,0.1
22,0.1,0.3,0.4,0.2
23,0.1,0.2,0.4,0.3
24,0.2,0.6,0.1,0.1
25,0.1,0.3,0.4,0.2
26,0.1,0.6,0.0,0.3
27,0.0,0.4,0.4,0.2
28,0.0,0.3,0.2,0.5
29,0.0,0.5,0.5,0.0
30,0.2,0.3,0.4,0.1
31,0.4,0.2,0.3,0.1
32,0.1,0.2,0.6,0.1
33,0.1,0.3,0.5,0.1
34,0.2,0.5,0.1,0.2
35,0.4,0.2,0.1,0.3
36,0.3,0.3,0.1,0.3
37,0.2,0.7,0.1,0.0
38,0.1,0.5,0.3,0.1
39,0.6,0.3,0.1,0.0
40,0.3,0.4,0.1,0.2
41,0.0,0.4,0.4,0.2
42,0.2,0.3,0.3,0.2
43,0.1,0.5,0.3,0.1
44,0.2,0.2,0.2,0.4
45,0.2,0.4,0.2,0.2
46,0.1,0.6,0.2,0.1
47,0.0,0.7,0.3,0.0
48,0.1,0.2,0.4,0.3
49,0.2,0.4,0.2,0.2
50,0.2,0.6,0.2,0.0
51,0.1,0.6,0.2,0.1
52,0.1,0.4,0.3,0.2
53,0.2,0.4,0.4,0.0
54,0.1,0.4,0.4,0.1
55,0.2,0.4,0.2,0.2
56,0.0,0.4,0.4,0.2
57,0.1,0.4,0.2,0.3
58,0.2,0.5,0.0,0.3
59,0.5,0.2,0.2,0.1
60,0.0,0.3,0.4,0.3
61,0.2,0.4,0.1,0.3
62,0.1,0.4,0.5,0.0
63,0.1,0.5,0.2,0.2
64,0.4,0.2,0.2,0.2
65,0.3,0.4,0.1,0.2
66,0.1,0.3,0.3,0.3
67,0.2,0.3,0.4,0.1
68,0.2,0.2,0.2,0.4
69,0.2,0.1,0.4,0.3
70,0.1,0.2,0.4,0.3
71,0.1,0.1,0.5,0.3
72,0.3,0.3,0.2,0.2
73,0.4,0.2,0.4,0.0
74,0.3,0.6,0.0,0.1
75,0.3,0.2,0.1,0.4
76,0.3,0.3,0.2,0.2
77,0.2,0.4,0.3,0.1
78,0.3,0.1,0.6,0.0
79,0.1,0.4,0.2,0.3
80,0.1,0.6,0.0,0.3
81,0.4,0.2,0.4,0.0
82,0.3,0.5,0.1,0.1
83,0.1,0.3,0.6,0.0
84,0.2,0.4,0.2,0.2
85,0.3,0.2,0.3,0.2
86,0.4,0.4,0.0,0.2
87,0.0,0.8,0.1,0.1
88,0.7,0.1,0.1,0.1
89,0.1,0.2,0.3,0.4
90,0.0,0.5,0.2,0.3
91,0.1,0.5,0.3,0.1
92,0.2,0.2,0.3,0.3
93,0.2,0.3,0.2,0.3
94,0.0,0.4,0.1,0.5
95,0.4,0.1,0.5,0.0
96,0.2,0.1,0.7,0.0
97,0.1,0.4,0.1,0.4
98,0.1,0.7,0.1,0.1
99,1.0,0.0,0.0,0.0
100,0.7,0.1,0.1,0.1
101,0.3,0.2,0.1,0.4
