,a-d,l-r,s-,e-k
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,5.999999969999999,0.999999995,2.999999985
5,0.0,0.0,0.0,0.0
6,2.0,3.333333333333333,1.3333333333333333,0.0
7,2.999999985,1.99999999,2.999999985,1.99999999
8,0.0,0.0,0.0,0.0
9,2.142857140102041,2.8571428534693877,0.7142857133673469,1.4285714267346938
10,0.0,0.0,0.0,0.0
11,0.3846153838757397,1.5384615355029587,0.3846153838757397,1.153846151627219
12,0.999999995,1.99999999,3.99999998,1.99999999
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,2.999999985,1.99999999,1.99999999,2.999999985
16,0.999999995,3.99999998,1.99999999,0.999999995
17,0.0,0.0,0.0,0.0
18,0.2857142816326531,0.0,0.0,0.0
19,0.0,0.3999999952,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.999999995,1.99999999,3.99999998,1.99999999
23,0.999999995,1.99999999,3.99999998,1.99999999
24,0.0,3.1111110990123456,0.0,0.7777777747530864
25,0.999999995,2.999999985,3.99999998,1.99999999
26,0.999999995,2.846153826952663,0.0,1.99999999
27,0.0,0.0,0.0,0.0
28,0.0,1.99999999,1.99999999,2.7999999852000004
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,2.3999999927999998,0.5999999981999999,1.1999999963999999,0.5999999981999999
32,0.0,1.99999999,2.999999985,0.999999995
33,0.0,0.0,0.0,0.999999995
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,2.9999999924999994,1.4999999962499997,0.4999999987499999,0.0
40,0.0,0.4999999999999999,0.0,0.0
41,0.0,1.4999999962499997,1.9999999949999996,0.9999999974999998
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,1.333333323888889,1.333333323888889,1.99999999,3.333333313888889
45,0.999999995,0.999999995,0.999999995,0.0
46,0.999999995,4.666666642222222,1.6666666572222222,0.999999995
47,0.0,0.0,0.0,0.0
48,0.999999995,0.999999995,3.99999998,2.999999985
49,1.99999999,1.99999999,1.99999999,1.99999999
50,0.0,0.0,0.0,0.0
51,0.0,1.5999999904000002,1.1333333235333334,0.3333333283333334
52,0.0,3.99999998,2.999999985,1.99999999
53,0.0,0.0,0.0,0.0
54,0.4999999962500001,1.9999999850000003,1.4999999887500002,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.4999999999999999,1.9999999999999996,0.9999999999999998,1.4999999999999996
58,0.3999999995999998,0.9999999989999996,0.0,0.5999999993999997
