,Medium-High,Low,High,Medium-Low
0,0.0,0.7,0.0,0.3
1,0.0,0.8,0.0,0.2
2,0.0,1.0,0.0,0.0
3,0.0,1.0,0.0,0.0
4,0.0,0.9,0.0,0.1
5,0.0,0.7,0.0,0.3
6,0.1,0.9,0.0,0.0
7,0.0,1.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.0,0.9,0.0,0.1
10,0.0,0.9,0.0,0.1
11,0.0,0.8,0.0,0.2
12,0.0,0.7,0.0,0.3
13,0.1,0.6,0.0,0.3
14,0.5,0.1,0.0,0.4
15,0.0,1.0,0.0,0.0
16,0.0,0.3,0.1,0.6
17,0.0,0.8,0.0,0.2
18,0.3,0.3,0.0,0.4
19,0.2,0.4,0.0,0.4
20,0.1,0.5,0.0,0.4
21,0.3,0.4,0.2,0.1
22,0.0,0.8,0.0,0.2
23,0.0,1.0,0.0,0.0
24,0.0,0.8,0.0,0.2
25,0.0,0.6,0.0,0.4
26,0.0,0.6,0.0,0.4
27,0.1,0.5,0.0,0.4
28,0.0,0.9,0.0,0.1
29,0.0,0.6,0.0,0.4
30,0.2,0.3,0.2,0.3
31,0.3,0.5,0.0,0.2
32,0.3,0.3,0.0,0.4
33,0.1,0.6,0.0,0.3
34,0.4,0.5,0.0,0.1
35,0.1,0.3,0.2,0.4
36,0.0,0.9,0.0,0.1
37,0.1,0.7,0.0,0.2
38,0.1,0.8,0.0,0.1
39,0.1,0.2,0.3,0.4
40,0.2,0.4,0.0,0.4
41,0.5,0.1,0.1,0.3
42,0.3,0.4,0.0,0.3
43,0.0,0.4,0.1,0.5
44,0.2,0.5,0.0,0.3
45,0.0,1.0,0.0,0.0
46,0.1,0.4,0.1,0.4
47,0.1,0.6,0.0,0.3
48,0.0,0.9,0.0,0.1
49,0.0,0.6,0.0,0.4
50,0.1,0.3,0.0,0.6
51,0.0,0.9,0.0,0.1
52,0.0,0.9,0.1,0.0
53,0.2,0.3,0.0,0.5
54,0.4,0.6,0.0,0.0
55,0.3,0.3,0.0,0.4
56,0.0,0.4,0.0,0.6
57,0.0,0.8,0.0,0.2
58,0.0,1.0,0.0,0.0
59,0.0,1.0,0.0,0.0
60,0.1,0.4,0.0,0.5
61,0.1,0.7,0.0,0.2
62,0.0,0.9,0.0,0.1
63,0.0,1.0,0.0,0.0
64,0.0,0.8,0.0,0.2
65,0.0,0.7,0.0,0.3
66,0.0,0.8,0.0,0.2
67,0.0,0.9,0.0,0.1
68,0.0,1.0,0.0,0.0
69,0.1,0.4,0.2,0.3
70,0.1,0.4,0.1,0.4
71,0.0,0.9,0.0,0.1
