,a-d,e-k,s-,l-r
0,0.1,0.3,0.3,0.3
1,0.4,0.2,0.2,0.2
2,0.0,0.1,0.6,0.3
3,0.0,0.1,0.6,0.3
4,0.0,0.3,0.1,0.6
5,0.1,0.2,0.3,0.4
6,0.3,0.0,0.2,0.5
7,0.3,0.2,0.3,0.2
8,0.1,0.0,0.2,0.7
9,0.3,0.2,0.1,0.4
10,0.5,0.3,0.2,0.0
11,0.2,0.3,0.1,0.4
12,0.1,0.2,0.4,0.3
13,0.0,0.5,0.4,0.1
14,0.1,0.2,0.2,0.5
15,0.3,0.3,0.2,0.2
16,0.1,0.2,0.3,0.4
17,0.1,0.5,0.3,0.1
18,0.2,0.6,0.1,0.1
19,0.4,0.2,0.2,0.2
20,0.0,0.5,0.3,0.2
21,0.1,0.1,0.6,0.2
22,0.1,0.2,0.4,0.3
23,0.1,0.3,0.4,0.2
24,0.2,0.1,0.1,0.6
25,0.1,0.2,0.4,0.3
26,0.1,0.3,0.0,0.6
27,0.0,0.2,0.4,0.4
28,0.0,0.5,0.2,0.3
29,0.0,0.0,0.5,0.5
30,0.2,0.1,0.4,0.3
31,0.4,0.1,0.3,0.2
32,0.1,0.1,0.6,0.2
33,0.1,0.1,0.5,0.3
34,0.2,0.2,0.1,0.5
35,0.4,0.3,0.1,0.2
36,0.3,0.3,0.1,0.3
37,0.2,0.0,0.1,0.7
38,0.1,0.1,0.3,0.5
39,0.6,0.0,0.1,0.3
40,0.3,0.2,0.1,0.4
41,0.0,0.2,0.4,0.4
42,0.2,0.2,0.3,0.3
43,0.1,0.1,0.3,0.5
44,0.2,0.4,0.2,0.2
45,0.2,0.2,0.2,0.4
46,0.1,0.1,0.2,0.6
47,0.0,0.0,0.3,0.7
48,0.1,0.3,0.4,0.2
49,0.2,0.2,0.2,0.4
50,0.2,0.0,0.2,0.6
51,0.1,0.1,0.2,0.6
52,0.1,0.2,0.3,0.4
53,0.2,0.0,0.4,0.4
54,0.1,0.1,0.4,0.4
55,0.2,0.2,0.2,0.4
56,0.0,0.2,0.4,0.4
57,0.1,0.3,0.2,0.4
58,0.2,0.3,0.0,0.5
59,0.5,0.1,0.2,0.2
60,0.0,0.3,0.4,0.3
61,0.2,0.3,0.1,0.4
62,0.1,0.0,0.5,0.4
63,0.1,0.2,0.2,0.5
64,0.4,0.2,0.2,0.2
65,0.3,0.2,0.1,0.4
66,0.1,0.3,0.3,0.3
67,0.2,0.1,0.4,0.3
68,0.2,0.4,0.2,0.2
69,0.2,0.3,0.4,0.1
70,0.1,0.3,0.4,0.2
71,0.1,0.3,0.5,0.1
72,0.3,0.2,0.2,0.3
73,0.4,0.0,0.4,0.2
74,0.3,0.1,0.0,0.6
75,0.3,0.4,0.1,0.2
76,0.3,0.2,0.2,0.3
77,0.2,0.1,0.3,0.4
78,0.3,0.0,0.6,0.1
79,0.1,0.3,0.2,0.4
80,0.1,0.3,0.0,0.6
81,0.4,0.0,0.4,0.2
82,0.3,0.1,0.1,0.5
83,0.1,0.0,0.6,0.3
84,0.2,0.2,0.2,0.4
85,0.3,0.2,0.3,0.2
86,0.4,0.2,0.0,0.4
87,0.0,0.1,0.1,0.8
88,0.7,0.1,0.1,0.1
89,0.1,0.4,0.3,0.2
90,0.0,0.3,0.2,0.5
91,0.1,0.1,0.3,0.5
92,0.2,0.3,0.3,0.2
93,0.2,0.3,0.2,0.3
94,0.0,0.5,0.1,0.4
95,0.4,0.0,0.5,0.1
96,0.2,0.0,0.7,0.1
97,0.1,0.4,0.1,0.4
98,0.1,0.1,0.1,0.7
99,1.0,0.0,0.0,0.0
100,0.7,0.1,0.1,0.1
101,0.3,0.4,0.1,0.2
