,Low,Medium-Low,High,Medium-High
0,0.0,1.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,3.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,4.0,1.0,0.0,0.0
5,2.0,2.0,0.0,0.0
6,2.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,3.0,1.0,0.0,0.0
12,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,6.0,0.0,0.0,0.0
16,1.0,2.0,0.0,0.0
17,2.0,1.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,3.0,0.0,0.0,0.0
20,2.0,0.0,0.0,1.0
21,1.0,0.0,0.0,0.0
22,2.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,2.0,0.0,0.0
25,0.0,2.0,0.0,0.0
26,2.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0
28,4.0,1.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,2.0,0.0,1.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,4.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0
37,3.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,3.0,1.0,0.0,1.0
41,0.0,0.0,0.0,0.0
42,2.0,0.0,0.0,0.0
43,4.0,0.0,0.0,0.0
44,0.0,1.0,0.0,0.0
45,1.0,0.0,0.0,0.0
46,1.0,1.0,0.0,1.0
47,1.0,0.0,0.0,1.0
48,7.0,1.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,2.0,0.0,0.0,0.0
51,7.0,0.0,0.0,0.0
52,6.0,0.0,1.0,0.0
53,0.0,0.0,0.0,0.0
54,2.0,0.0,0.0,1.0
55,2.0,2.0,0.0,1.0
56,3.0,4.0,0.0,0.0
57,3.0,1.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,3.0,0.0,0.0,0.0
60,2.0,3.0,0.0,0.0
61,0.0,1.0,0.0,0.0
62,1.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,1.0,1.0,0.0,0.0
65,1.0,1.0,0.0,0.0
66,6.0,0.0,0.0,0.0
67,5.0,0.0,0.0,0.0
68,6.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,6.0,0.0,0.0,0.0
72,2.0,0.0,0.0,0.0
73,7.0,0.0,0.0,0.0
74,2.0,0.0,0.0,0.0
75,1.0,0.0,1.0,0.0
76,2.0,1.0,0.0,1.0
77,9.0,0.0,1.0,0.0
78,1.0,0.0,0.0,0.0
79,1.0,0.0,0.0,0.0
80,0.0,0.0,1.0,1.0
81,0.0,0.0,0.0,0.0
82,8.0,0.0,0.0,0.0
83,2.0,2.0,0.0,0.0
84,0.0,1.0,0.0,0.0
85,2.0,0.0,0.0,0.0
86,9.0,0.0,0.0,0.0
87,0.0,0.0,0.0,1.0
88,0.0,1.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,2.0,0.0,0.0,0.0
91,8.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,2.0,0.0,0.0,0.0
94,6.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,6.0,0.0,0.0,0.0
97,2.0,0.0,0.0,0.0
98,0.0,0.0,2.0,1.0
99,7.0,0.0,0.0,0.0
100,5.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,1.0
103,3.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,7.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,1.0,0.0,0.0,2.0
108,3.0,1.0,0.0,0.0
109,1.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,1.0
112,4.0,0.0,0.0,0.0
113,5.0,1.0,0.0,0.0
114,1.0,1.0,0.0,0.0
115,2.0,1.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,4.0,2.0,0.0,0.0
118,4.0,0.0,0.0,0.0
119,2.0,1.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,1.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,1.0,1.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,2.0,0.0,0.0,0.0
127,4.0,0.0,0.0,0.0
128,4.0,0.0,0.0,0.0
129,1.0,1.0,0.0,1.0
130,0.0,0.0,0.0,0.0
131,3.0,0.0,0.0,0.0
132,2.0,0.0,0.0,0.0
133,3.0,1.0,0.0,0.0
134,2.0,0.0,0.0,0.0
135,0.0,0.0,1.0,0.0
136,4.0,0.0,0.0,0.0
137,4.0,0.0,0.0,0.0
138,2.0,0.0,0.0,0.0
139,2.0,0.0,0.0,0.0
140,1.0,1.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,4.0,0.0,0.0,0.0
146,3.0,0.0,0.0,0.0
147,7.0,1.0,0.0,0.0
148,2.0,1.0,0.0,0.0
149,10.0,0.0,0.0,0.0
150,6.0,0.0,0.0,0.0
151,1.0,1.0,1.0,0.0
152,3.0,0.0,0.0,0.0
153,1.0,0.0,1.0,0.0
154,2.0,0.0,0.0,0.0
155,1.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0
158,3.0,0.0,0.0,0.0
