,Low,Medium-Low,High,Medium-High
0,0.7,0.3,0.0,0.0
1,0.8,0.2,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.9,0.1,0.0,0.0
5,0.7,0.3,0.0,0.0
6,0.9,0.0,0.0,0.1
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,0.9,0.1,0.0,0.0
10,0.9,0.1,0.0,0.0
11,0.8,0.2,0.0,0.0
12,0.7,0.3,0.0,0.0
13,0.6,0.3,0.0,0.1
14,0.1,0.4,0.0,0.5
15,1.0,0.0,0.0,0.0
16,0.3,0.6,0.1,0.0
17,0.8,0.2,0.0,0.0
18,0.3,0.4,0.0,0.3
19,0.4,0.4,0.0,0.2
20,0.5,0.4,0.0,0.1
21,0.4,0.1,0.2,0.3
22,0.8,0.2,0.0,0.0
23,1.0,0.0,0.0,0.0
24,0.8,0.2,0.0,0.0
25,0.6,0.4,0.0,0.0
26,0.6,0.4,0.0,0.0
27,0.5,0.4,0.0,0.1
28,0.9,0.1,0.0,0.0
29,0.6,0.4,0.0,0.0
30,0.3,0.3,0.2,0.2
31,0.5,0.2,0.0,0.3
32,0.3,0.4,0.0,0.3
33,0.6,0.3,0.0,0.1
34,0.5,0.1,0.0,0.4
35,0.3,0.4,0.2,0.1
36,0.9,0.1,0.0,0.0
37,0.7,0.2,0.0,0.1
38,0.8,0.1,0.0,0.1
39,0.2,0.4,0.3,0.1
40,0.4,0.4,0.0,0.2
41,0.1,0.3,0.1,0.5
42,0.4,0.3,0.0,0.3
43,0.4,0.5,0.1,0.0
44,0.5,0.3,0.0,0.2
45,1.0,0.0,0.0,0.0
46,0.4,0.4,0.1,0.1
47,0.6,0.3,0.0,0.1
48,0.9,0.1,0.0,0.0
49,0.6,0.4,0.0,0.0
50,0.3,0.6,0.0,0.1
51,0.9,0.1,0.0,0.0
52,0.9,0.0,0.1,0.0
53,0.3,0.5,0.0,0.2
54,0.6,0.0,0.0,0.4
55,0.3,0.4,0.0,0.3
56,0.4,0.6,0.0,0.0
57,0.8,0.2,0.0,0.0
58,1.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0
60,0.4,0.5,0.0,0.1
61,0.7,0.2,0.0,0.1
62,0.9,0.1,0.0,0.0
63,1.0,0.0,0.0,0.0
64,0.8,0.2,0.0,0.0
65,0.7,0.3,0.0,0.0
66,0.8,0.2,0.0,0.0
67,0.9,0.1,0.0,0.0
68,1.0,0.0,0.0,0.0
69,0.4,0.3,0.2,0.1
70,0.4,0.4,0.1,0.1
71,0.9,0.1,0.0,0.0
72,1.0,0.0,0.0,0.0
73,0.9,0.1,0.0,0.0
74,0.6,0.4,0.0,0.0
75,0.4,0.2,0.3,0.1
76,0.5,0.4,0.0,0.1
77,0.9,0.0,0.1,0.0
78,0.7,0.3,0.0,0.0
79,1.0,0.0,0.0,0.0
80,0.1,0.3,0.3,0.3
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,0.7,0.3,0.0,0.0
84,0.4,0.6,0.0,0.0
85,0.5,0.2,0.0,0.3
86,1.0,0.0,0.0,0.0
87,0.0,0.1,0.3,0.6
88,0.7,0.3,0.0,0.0
89,0.7,0.3,0.0,0.0
90,0.7,0.3,0.0,0.0
91,1.0,0.0,0.0,0.0
92,0.6,0.4,0.0,0.0
93,0.9,0.1,0.0,0.0
94,1.0,0.0,0.0,0.0
95,0.3,0.4,0.0,0.3
96,0.9,0.1,0.0,0.0
97,0.5,0.4,0.0,0.1
98,0.0,0.1,0.7,0.2
99,1.0,0.0,0.0,0.0
100,0.9,0.1,0.0,0.0
101,1.0,0.0,0.0,0.0
102,0.0,0.2,0.4,0.4
103,1.0,0.0,0.0,0.0
104,1.0,0.0,0.0,0.0
105,1.0,0.0,0.0,0.0
106,0.3,0.3,0.1,0.3
107,0.6,0.2,0.0,0.2
108,0.9,0.1,0.0,0.0
109,1.0,0.0,0.0,0.0
110,1.0,0.0,0.0,0.0
111,0.2,0.5,0.1,0.2
112,0.8,0.2,0.0,0.0
113,0.8,0.2,0.0,0.0
114,0.5,0.4,0.0,0.1
115,0.5,0.3,0.0,0.2
116,0.6,0.4,0.0,0.0
117,0.7,0.2,0.0,0.1
118,1.0,0.0,0.0,0.0
119,0.5,0.3,0.0,0.2
120,0.7,0.2,0.1,0.0
121,0.4,0.3,0.0,0.3
122,0.6,0.4,0.0,0.0
123,0.4,0.4,0.1,0.1
124,0.3,0.6,0.1,0.0
125,0.3,0.4,0.1,0.2
126,0.8,0.2,0.0,0.0
127,0.9,0.0,0.0,0.1
128,0.7,0.2,0.0,0.1
129,0.2,0.6,0.1,0.1
130,0.5,0.4,0.0,0.1
131,1.0,0.0,0.0,0.0
132,0.7,0.0,0.0,0.3
133,0.8,0.2,0.0,0.0
134,0.7,0.3,0.0,0.0
135,0.1,0.1,0.3,0.5
136,0.8,0.2,0.0,0.0
