docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
131359,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{131360, 43208709, 1132973, 131347, 38066772, 133430, 133436, 131352, 37024635, 131356}"
156825,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{39469990, 30067435, 40934926, 17615918, 1220464, 10511033, 41762261, 36715320, 19020089, 3547390}"
133471,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{133477, 766152, 7760555, 133836, 6661516, 60474989, 3640236, 133809, 12222841, 133501}"
4263502,l-r,2001-2006,Unknown,Medium-Low,Unknown,['South America'],"{42835799, 3967152, 3226675, 69590005, 8323606, 25569623, 33801750, 108634, 7273373, 33795738}"
118096,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"{10405314, 118083, 32804995, 118087, 118088, 10405128, 117871, 1380056, 117499, 117245}"
260950,l-r,2001-2006,Unknown,High,Unknown,['South-eastern Asia'],"{39854496, 47590848, 63348000, 68923848, 42190252, 43995757, 23192468, 36524823, 51194105, 66071711}"
1531468,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe'],"{30067435, 8501357, 17615918, 1220464, 10511033, 41762261, 36715320, 19020089, 39583099, 3547390}"
2706590,l-r,2001-2006,Unknown,Low,Unknown,['Eastern Africa'],"{30067435, 17615918, 1220464, 2022259, 10511033, 41762261, 36715320, 19020089, 39583099, 3547390}"
1668439,s-,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{10361674, 2342640, 39359537, 21906160, 48050259, 20974359, 10511033, 10298650, 33187517, 39272319}"
54159,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America'],"{55324284, 53711104, 1452847, 18545935, 5346386, 26514322, 1133172, 10267512, 31720476, 3228797}"
2051294,e-k,2001-2006,Unknown,Medium-High,Unknown,['South-eastern Asia'],"{30067435, 17615918, 1220464, 10511033, 48050259, 41762261, 36715320, 19020089, 39583099, 3547390}"
2158817,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Africa'],"{19020089, 10361674, 26581162, 30067435, 61276879, 1220464, 48050259, 10511033, 33187517, 169822}"
119073,a-d,2001-2006,Pre-1900s,Low,Unknown,['Northern America'],"{2797030, 15289677, 63792431, 23584530, 14937267, 11855061, 69372826, 655163, 42479932, 19493791}"
493552,a-d,2001-2006,Pre-1900s,High,Unknown,['Southern Africa'],"{38246662, 28179738, 1113998, 33331695, 38246736, 18551027, 38224218, 34059835, 1728286, 43728447}"
3593767,l-r,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{30067435, 17615918, 1220464, 10511033, 48050259, 41762261, 36715320, 19020089, 39583099, 3547390}"
52026056,e-k,2001-2006,Unknown,Low,Unknown,['Southern Europe'],"{68803552, 50573794, 68731364, 68803525, 51606982, 51617669, 51618350, 68803535, 51623540, 10042333}"
2173945,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Asia'],"{33362051, 19020089, 10361674, 56228267, 30067435, 20691091, 48050259, 10511033, 33187517, 65242846}"
544770,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe'],"{10361674, 13005069, 53504752, 13887635, 48050259, 39272319, 67062072, 22433372, 33187517, 24219359}"
122215,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{35329856, 1399658, 39486990, 37489809, 35363698, 39611505, 36726996, 60299765, 61655194, 28589311}"
3060759,a-d,2001-2006,Unknown,High,Unknown,['Northern America'],"{117089, 20860484, 118155, 117810, 538004, 24232503, 119160, 9936154, 15581470, 37444575}"
328636,e-k,2001-2006,20th century,Low,Unknown,['Eastern Asia'],"{11973443, 11973572, 11973510, 17325798, 11973290, 55639981, 860784, 860817, 11973333, 11973407}"
6515609,s-,2001-2006,20th century,Low,Unknown,['South America'],"{30067435, 17615918, 1220464, 10511033, 41762261, 36715320, 19020089, 39583099, 1041820, 3547390}"
127705,l-r,2001-2006,20th century,Low,Unknown,['Northern America'],"{663683, 22780611, 9652581, 11966759, 1199560, 42131467, 45376849, 53367795, 53319802, 42132830}"
5227885,l-r,2001-2006,20th century,Medium-Low,Unknown,['Eastern Europe'],"{10361674, 30067435, 17615918, 1220464, 10511033, 48050259, 41762261, 36715320, 19020089, 3547390}"
7897682,s-,2001-2006,20th century,Medium-Low,Unknown,['Southern Europe'],"{39501121, 65170598, 43238439, 2020172, 6716877, 61293649, 41216978, 59832148, 59655100, 30094303}"
329704,e-k,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia'],"{41729120, 65629186, 51134691, 57493063, 482088, 329709, 16008910, 52780816, 13986999, 1119484}"
115401,a-d,2001-2006,20th century,Low,Unknown,['Northern America'],"{39266594, 38129220, 39268074, 48870445, 38145389, 40176015, 36111639, 15070455, 4556442, 39629788}"
4998323,e-k,2001-2006,Pre-1900s,Low,Unknown,['Northern Europe'],"{5546179, 33187517, 10361674, 21906160, 48050259, 120693, 20974359, 10511033, 121117, 39272319}"
1342072,e-k,2001-2006,Unknown,High,Unknown,"['Antarctica', 'Northern Europe']","{43078635, 66467245, 707377, 6215793, 52720116, 707382, 42513560, 61041787, 48066364, 14736351}"
131926,l-r,2001-2006,Pre-1900s,Low,Unknown,['Northern America'],"{54572768, 131936, 131941, 131911, 131918, 1810798, 131952, 44103029, 54572826, 59235995}"
5465886,e-k,2001-2006,Pre-1900s,Medium-Low,Unknown,['Caribbean'],"{30067435, 17615918, 1220464, 10511033, 48050259, 41762261, 36715320, 19020089, 39583099, 3547390}"
2452038,a-d,2001-2006,20th century,Medium-High,Unknown,['Southern Asia'],"{30067435, 17615918, 1220464, 10511033, 41762261, 48734933, 36715320, 19020089, 39583099, 3547390}"
996747,a-d,2001-2006,20th century,Medium-Low,Unknown,['South America'],"{4150019, 25708579, 44897799, 44897864, 30067435, 996748, 47993841, 48050259, 10511033, 3909915}"
145195,s-,2001-2006,Unknown,High,Unknown,['Northern Europe'],"{3124163, 3441477, 34491847, 54568168, 52362059, 23519565, 1121679, 12343888, 430327, 827867}"
878772,s-,2001-2006,Pre-1900s,Low,Unknown,['Eastern Asia'],"{328320, 331489, 328321, 878786, 328323, 878702, 878710, 17024828, 328318, 328319}"
3031207,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Eastern Europe'],"{30067435, 17615918, 1220464, 10511033, 48050259, 41762261, 36715320, 19020089, 39583099, 3547390}"
1502610,l-r,2001-2006,21st century,Low,Unknown,['Eastern Asia'],"{328673, 328674, 860483, 860514, 26196968, 26197128, 26197097, 860530, 6564501, 57838778}"
3906653,l-r,2001-2006,20th century,Medium-High,Unknown,['Eastern Europe'],"{26581162, 30067435, 17615918, 1220464, 10511033, 41762261, 36715320, 19020089, 39583099, 3547390}"
5361201,s-,2001-2006,21st century,Low,Unknown,['Eastern Asia'],"{1956256, 872038, 1913095, 874342, 874446, 874352, 5361334, 871959, 874430, 874431}"
874320,e-k,2001-2006,21st century,Low,Unknown,['Eastern Asia'],"{1956256, 872038, 1913095, 874342, 874446, 874352, 5361334, 871959, 874430, 874431}"
1585609,s-,2001-2006,21st century,Medium-Low,Unknown,['Eastern Asia'],"{2499169, 30999514, 34505126, 482088, 1619721, 31589329, 29994162, 30437233, 330616, 64829626}"
121091,a-d,2001-2006,21st century,Low,Unknown,['Western Europe'],"{1026562, 10361674, 30067435, 121134, 4220559, 21906160, 2200081, 48050259, 20963612, 33187517}"
178184,s-,2001-2006,Pre-1900s,High,Unknown,['Southern Europe'],"{26581162, 21777675, 43000780, 2562572, 10361674, 41762261, 36715320, 39583099, 19159134, 3547390}"
1433480,l-r,2001-2006,Pre-1900s,Medium-High,Unknown,['Eastern Europe'],"{26175776, 15518571, 53831088, 21906160, 8631861, 23214966, 51398362, 3907292, 33187517, 39272319}"
6390902,e-k,2001-2006,21st century,Medium-Low,Unknown,['Eastern Asia'],"{624482, 624453, 45254470, 624520, 624488, 16835342, 624591, 624529, 68389077, 624543}"
155791,e-k,2001-2006,Pre-1900s,Medium-High,Unknown,['Northern America'],"{1980929, 39035720, 6416010, 51266731, 40689098, 41533869, 2068753, 5753332, 56979445, 13796923}"
3583093,l-r,2001-2006,21st century,Medium-Low,Unknown,['Western Europe'],"{675108, 29853286, 43669063, 43676045, 48245487, 15822547, 43675956, 59426074, 69582942, 43676287}"
482088,s-,2001-2006,20th century,High,Unknown,['Eastern Asia'],"{41729120, 65629186, 329700, 329704, 329709, 16008910, 52780816, 329716, 11065526, 330616}"
329207,e-k,2001-2006,20th century,Medium-High,Unknown,['Eastern Asia'],"{15920547, 23726084, 329187, 329190, 572740, 572742, 1748587, 19082126, 17164663, 386333}"
5852070,l-r,2001-2006,20th century,High,Unknown,['Eastern Europe'],"{61147491, 62342156, 8336940, 11540942, 40788624, 58489076, 61165910, 28597017, 58475519, 5852031}"
2126574,s-,2001-2006,20th century,Medium-High,Unknown,['South-eastern Asia'],"{34444289, 18376261, 49160267, 34066700, 60062703, 2528977, 69138837, 416058, 468734, 8223167}"
53144919,l-r,2017-2022,Unknown,Medium-High,Unknown,['None'],"{63657696, 42554275, 63694244, 63895849, 62777226, 64522889, 46950124, 18068943, 64461136, 88250}"
742159,e-k,2001-2006,Pre-1900s,High,Unknown,['Caribbean'],"{5557988, 44940742, 66901612, 21695564, 7782126, 24137998, 3301616, 134353, 22873392, 60089421}"
1020493,l-r,2001-2006,Pre-1900s,High,Unknown,['South America'],"{2521152, 54435206, 31374573, 8105390, 31439582, 42466258, 31439638, 3120605, 53283102, 1044575}"
3781695,a-d,2001-2006,21st century,Medium-Low,Unknown,"['Eastern Africa', 'Western Europe']","{30067435, 17615918, 1220464, 10511033, 48050259, 41762261, 36715320, 19020089, 39583099, 3547390}"
5182636,l-r,2001-2006,21st century,Medium-High,Unknown,['Southern Asia'],"{59799264, 59799299, 57655270, 8680198, 65042216, 38530120, 59799275, 4069878, 5811771, 5803871}"
8687192,a-d,2001-2006,20th century,High,Unknown,['Eastern Europe'],"{57801857, 4082665, 57856754, 8160466, 8424182, 16233654, 52647867, 1620956, 791166, 13399583}"
20988150,l-r,2007-2011,Unknown,Low,Unknown,['Eastern Europe'],"{26581162, 30067435, 17615918, 1220464, 10511033, 41762261, 36715320, 19020089, 39583099, 3547390}"
9057068,s-,2007-2011,Unknown,Low,Unknown,['Northern America'],"{55324284, 53711104, 24021285, 260009, 31720476, 47335535, 1133172, 44615478, 2656828, 3228797}"
25905749,l-r,2007-2011,Unknown,Medium-Low,Unknown,['Southern Europe'],"{31052161, 31052170, 125930, 2602701, 416622, 48051568, 52762064, 52762420, 108629, 126047}"
25700034,l-r,2007-2011,21st century,Low,Unknown,['Western Europe'],"{9452900, 118534, 7225865, 118538, 62946893, 37310899, 4025812, 118644, 616569, 118526}"
13845412,s-,2007-2011,Unknown,Medium-Low,Unknown,['Eastern Europe'],"{30067435, 17615918, 1220464, 10511033, 41762261, 36715320, 19020089, 39583099, 19003678, 3547390}"
24218251,l-r,2007-2011,Unknown,Medium-High,Unknown,['Southern Asia'],"{573856, 498401, 501159, 64331980, 7429807, 61237455, 48561873, 60806642, 17288411, 32015485}"
15875896,e-k,2007-2011,Unknown,Low,Unknown,['Northern America'],"{15875872, 15875911, 15875913, 15875915, 15875917, 15875889, 15875894, 15981334, 15875931, 15875870}"
16489766,a-d,2007-2011,Unknown,Medium-Low,Unknown,['None'],"{1496582, 46782441, 26368140, 48082284, 18565166, 24813174, 24394551, 56126872, 536762, 3794749}"
