docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1424845,l-r,2001-2006,20th century,Medium-High,Unknown,['None'],"{1025892, 12152551, 23738824, 24020777, 65878827, 68299217, 63595698, 66447318, 19712569, 7240703}"
1635511,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Europe'],"{55701735, 54312296, 501131, 49286899, 2252436, 56192438, 28871574, 47051992, 409950, 39775295}"
3125814,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Western Asia'],"{3199776, 46601187, 2575237, 33058375, 23502569, 25324149, 37750392, 25364698, 18344124, 2783390}"
4171369,a-d,2001-2006,Unknown,Medium-High,Unknown,['None'],"{10455331, 69144515, 13300708, 4437734, 50312388, 7485642, 1021550, 50386926, 6159991, 6988763}"
352765,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{352769, 352773, 352774, 2299271, 9483246, 14987379, 6876950, 16846076, 14980733, 352767}"
8634765,a-d,2001-2006,20th century,Medium-High,Unknown,['Eastern Africa'],"{21338051, 2036835, 2255175, 27973448, 8634292, 12944436, 5157492, 9822616, 42018587, 2302653}"
2082487,l-r,2001-2006,Pre-1900s,High,Man,['Eastern Asia'],"{8152868, 5963494, 5088521, 8040432, 6725175, 3900026, 1601691, 8571068, 224061, 730814}"
758589,l-r,2001-2006,Unknown,High,Unknown,['Northern America'],"{1529985, 1029636, 1032196, 1529968, 15476210, 22717844, 1042390, 977753, 812701, 1529886}"
3639943,a-d,2001-2006,Pre-1900s,Low,Unknown,['None'],"{17734176, 64166923, 3640157, 3639982, 3640048, 3664242, 3898708, 23133558, 16687417, 1648029}"
793926,a-d,2001-2006,20th century,Medium-Low,Unknown,['None'],"{42702052, 42605446, 751334, 30504014, 42696337, 22705845, 784506, 832508, 67450909, 15054237}"
1081355,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{19264481, 19264195, 47103176, 2470575, 20169200, 19264369, 19263988, 19265045, 25982164, 19821660}"
4725407,l-r,2001-2006,Unknown,Medium-High,Unknown,['Northern America'],"{4776224, 10740034, 4767299, 4763686, 4833803, 17237099, 4912753, 4743891, 4764371, 4792632}"
387038,e-k,2001-2006,Unknown,Medium-High,Unknown,['None'],"{765606, 13869321, 17615918, 1220464, 19124753, 10511033, 41762261, 36715320, 19020089, 164922}"
5783457,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None'],"{31864577, 58471145, 54065037, 32941201, 48723154, 4880979, 68823702, 16059670, 60697433, 69323613}"
7382288,e-k,2001-2006,Unknown,Low,Unknown,['None'],"{44445184, 1675778, 62402594, 22482532, 53521383, 27773576, 22971436, 11610226, 27382901, 28306266}"
1838300,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{12984513, 39451619, 57810564, 40495206, 11339655, 6816424, 27484109, 2312402, 9985875, 15682872}"
20145,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None'],"{39472427, 30067435, 17615918, 1220464, 10511033, 41762261, 36715320, 19020089, 58277085, 3547390}"
1184091,l-r,2001-2006,Unknown,Low,Unknown,['None'],"{9672897, 564569, 17591018, 1148655, 20691247, 21324213, 20665431, 49354809, 5314366, 870047}"
308441,s-,2001-2006,Unknown,Medium-High,Unknown,['None'],"{192321, 576995, 192004, 20872869, 554729, 3305037, 12727247, 20917238, 24613116, 1992286}"
2658232,s-,2001-2006,20th century,High,Man,['Northern Europe'],"{13201669, 42345578, 10137462, 55331447, 58294360, 58334166, 42762042, 35338525, 58294718, 69590431}"
5970152,s-,2001-2006,20th century,Medium-High,Unknown,['Southern Europe'],"{3779873, 24919779, 39306215, 24737932, 53237709, 5998160, 24748053, 37131963, 24734779, 25908221}"
2884586,s-,2001-2006,Unknown,High,Unknown,['None'],"{478272, 2038248, 49474187, 64037719, 63894639, 53450385, 59891255, 6048570, 43517948, 3975103}"
5024646,s-,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{41275104, 22290753, 5024240, 10397011, 2986932, 28449363, 1898196, 3520791, 3135385, 1845116}"
1211854,s-,2001-2006,20th century,Medium-Low,Man,['Western Asia'],"{15518078, 30743236, 5394089, 29789038, 8665713, 5289971, 22065492, 1554679, 29789374, 62871039}"
1736269,s-,2001-2006,Unknown,Low,Unknown,['None'],"{19350912, 14471645, 65532835, 48136136, 48136042, 25888080, 14850899, 6284986, 18847581, 12456190}"
5096164,a-d,2001-2006,Unknown,Low,Unknown,['None'],"{40085156, 40085223, 18047239, 4470092, 4470063, 51355000, 4469595, 37049180, 4470077, 4468920}"
1182809,s-,2001-2006,20th century,Low,Man,['Southern Africa'],"{13831201, 12467653, 22892934, 48050503, 69476517, 16483113, 25557517, 1951665, 6597852, 6597822}"
