docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
131359,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{54900610, 48775546, 48869564, 38066772, 133430, 54915388, 46978810, 133436, 7471390, 39642719}"
156825,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{36947493, 39469990, 136517, 5381772, 25991022, 2769179, 10049649, 11948763, 40759676, 55867101}"
133471,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{60954178, 14413317, 43807909, 7760555, 133836, 6661516, 52106542, 464314, 51886618, 45343390}"
4263502,l-r,2001-2006,Unknown,Medium-Low,Unknown,['South America'],"{67786242, 47329029, 7780488, 7766731, 3967152, 7351766, 8323606, 43752664, 2184790, 13066201}"
118096,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"{10405314, 6141282, 15986724, 32804995, 119308, 117871, 1380056, 56828793, 117499, 259676}"
260950,l-r,2001-2006,Unknown,High,Unknown,['South-eastern Asia'],"{573856, 44097158, 64331980, 43995757, 4077166, 2441164, 23192468, 9019510, 13853656, 23193022}"
1531468,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe'],"{38387680, 28967302, 35171847, 37490890, 36560779, 37515116, 37515122, 40601844, 33816028, 58303742}"
2706590,l-r,2001-2006,Unknown,Low,Unknown,['Eastern Africa'],"{44580199, 2179143, 52163399, 43765898, 6640748, 31092047, 3335987, 6203576, 42659547, 22721438}"
1668439,s-,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{5807649, 37791244, 2342640, 787288, 3727289, 10298650, 47761979, 30259612, 5807288, 5809375}"
54159,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America'],"{27259616, 27258083, 29750339, 23472746, 8320113, 5346386, 15289682, 62886778, 13551358, 44329471}"
2051294,e-k,2001-2006,Unknown,Medium-High,Unknown,['South-eastern Asia'],"{5724582, 40612524, 34547117, 41252846, 40612526, 23895632, 40700752, 40191697, 62897525, 18271098}"
2158817,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Africa'],"{69105152, 48288257, 37633509, 48357958, 35984843, 1439788, 41833873, 58346841, 20879802, 32732607}"
119073,a-d,2001-2006,Pre-1900s,Low,Unknown,['Northern America'],"{41575450, 69455046, 28350344, 15289677, 119565, 14937267, 14895221, 37485818, 124411, 69372826}"
493552,a-d,2001-2006,Pre-1900s,High,Unknown,['Southern Africa'],"{44828288, 44425858, 38246662, 1113998, 19092430, 18551027, 38943742, 47643096, 49311610, 1728286}"
3593767,l-r,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{9015402, 50245995, 56419468, 63933966, 58062993, 1609585, 4775187, 34304630, 9768187, 13001918}"
52026056,e-k,2001-2006,Unknown,Low,Unknown,['Southern Europe'],"{68803552, 51617669, 51618350, 5489008, 32528848, 65384848, 23095122, 49395381, 10042333, 58311294}"
2173945,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Asia'],"{56228267, 3677899, 53414381, 5814002, 3355955, 5808244, 53055736, 5808252, 65242846, 43528159}"
544770,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe'],"{67062072, 42366566, 37787432, 25784459, 32242443, 985648, 706385, 784594, 1265942, 934168}"
122215,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{38784193, 11821693, 33550154, 18635339, 41290927, 2539222, 11919417, 11578394, 15815579, 14343389}"
3060759,a-d,2001-2006,Unknown,High,Unknown,['Northern America'],"{535585, 47618147, 2879687, 533801, 538031, 538004, 2035094, 260950, 119160, 15581470}"
328636,e-k,2001-2006,20th century,Low,Unknown,['Eastern Asia'],"{11973443, 11973572, 11973510, 11973290, 860784, 860817, 1157105, 11973333, 1677756, 11973407}"
6515609,s-,2001-2006,20th century,Low,Unknown,['South America'],"{30055552, 3771744, 68186699, 35233613, 40628814, 10733903, 18775503, 46365077, 17888822, 4782492}"
127705,l-r,2001-2006,20th century,Low,Unknown,['Northern America'],"{3704417, 663683, 60131173, 509638, 1145843, 32093205, 914777, 22946587, 11310844, 1927710}"
5227885,l-r,2001-2006,20th century,Medium-Low,Unknown,['Eastern Europe'],"{8467968, 69486243, 63296291, 69445606, 53375851, 64104814, 8405045, 69486070, 63692472, 26563964}"
7897682,s-,2001-2006,20th century,Medium-Low,Unknown,['Southern Europe'],"{43351977, 60062284, 6716877, 39906126, 61293649, 59832148, 32366548, 10855063, 61290268, 41554494}"
329704,e-k,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia'],"{1251523, 7028040, 9728395, 69163852, 50674637, 34666157, 410222, 13396688, 1884597, 13986999}"
115401,a-d,2001-2006,20th century,Low,Unknown,['Northern America'],"{12945280, 10952640, 11579234, 766157, 56515438, 40176015, 22971571, 11543668, 46680216, 38932445}"
