docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
131359,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"{131360, 131345, 131347, 131412, 133430, 131420, 131355, 131356, 131390, 131391}"
156825,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"{24780416, 41129729, 39469990, 36614665, 61357865, 2111563, 25991022, 10322831, 40934926, 41932886}"
133471,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"{133477, 133479, 133821, 133836, 133809, 134229, 133465, 134202, 133628, 133501}"
4263502,l-r,2001-2006,Unknown,Medium-Low,Unknown,['South America'],"{43719429, 34605384, 7766731, 3967152, 53493558, 8323606, 18451710, 108634, 2251292, 25569623}"
118096,s-,2001-2006,Unknown,Low,Unknown,['Northern America'],"{118881, 10405314, 117064, 118313, 117871, 119152, 1380056, 117752, 117499, 117245}"
260950,l-r,2001-2006,Unknown,High,Unknown,['South-eastern Asia'],"{6898657, 52662532, 2051338, 2441164, 43995757, 58754546, 17731862, 2156539, 912957, 66071711}"
1531468,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe'],"{39832513, 1686338, 30864803, 61741350, 37491081, 37490890, 40330379, 38001774, 32717552, 40044831}"
2706590,l-r,2001-2006,Unknown,Low,Unknown,['Eastern Africa'],"{2265379, 29651719, 67552488, 1515015, 40498379, 28204556, 14817292, 40498389, 6484248, 18325819}"
1668439,s-,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia'],"{53065441, 64013797, 50429352, 10298650, 38599475, 18255956, 15552948, 18270262, 787288, 63636026}"
54159,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America'],"{28140000, 648553, 23472746, 10610827, 9798637, 120366, 9286640, 9294261, 53608280, 55783167}"
2051294,e-k,2001-2006,Unknown,Medium-High,Unknown,['South-eastern Asia'],"{40872006, 36050727, 36845734, 41252937, 40700752, 40191697, 39702389, 2245721, 783099, 41253343}"
2158817,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Africa'],"{35439777, 14804322, 41833873, 18772881, 5522577, 5522133, 818071, 41829241, 25664922, 18970715}"
119073,a-d,2001-2006,Pre-1900s,Low,Unknown,['Northern America'],"{10216480, 65601921, 131970, 131756, 15289677, 14937267, 13749587, 14895221, 13712309, 124411}"
