docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions
694,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None']
911,a-d,2001-2006,Unknown,High,Unknown,['None']
1074,l-r,2001-2006,20th century,Medium-High,Unknown,['Caribbean']
1585,a-d,2001-2006,Pre-1900s,Medium-High,Man,['None']
1588,a-d,2001-2006,Pre-1900s,Medium-Low,Man,['None']
2606,a-d,2001-2006,Unknown,Medium-High,Unknown,['None']
2677,a-d,2001-2006,Pre-1900s,Medium-High,Man,['None']
2680,a-d,2001-2006,Pre-1900s,Medium-Low,Man,['None']
2684,a-d,2001-2006,Unknown,Low,Unknown,['Southern Europe']
2700,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern Europe']
2908,a-d,2001-2006,Pre-1900s,Medium-High,Man,['None']
3649,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
3650,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
3658,e-k,2001-2006,Unknown,Medium-High,Unknown,['South-eastern Asia']
3695,e-k,2001-2006,Unknown,Medium-High,Unknown,['Eastern Africa']
3730,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None']
4987,a-d,2001-2006,20th century,Medium-High,Unknown,['None']
4995,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
5497,l-r,2001-2006,Pre-1900s,High,Unknown,['South America']
5559,l-r,2001-2006,Unknown,High,Unknown,['Central America']
6008,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Eastern Africa']
6091,a-d,2001-2006,Pre-1900s,Low,Man,['None']
6456,a-d,2001-2006,20th century,Medium-Low,Man,['Northern America']
7207,a-d,2001-2006,Pre-1900s,Low,Man,['Western Europe']
7477,a-d,2001-2006,Pre-1900s,Medium-High,Man,['Central America']
7803,a-d,2001-2006,Unknown,Medium-High,Unknown,['None']
8058,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
9001,a-d,2001-2006,Unknown,Low,Unknown,['None']
10278,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
