docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions
1752311,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
1594259,a-d,2001-2006,Unknown,High,Unknown,['Southern Europe']
2657708,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
56701,e-k,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe']
6135022,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
1947086,e-k,2001-2006,Unknown,High,Unknown,['Northern America']
724506,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
4846076,s-,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia']
588981,l-r,2001-2006,Unknown,High,Unknown,['Eastern Europe']
460902,s-,2001-2006,Unknown,High,Unknown,['Southern Europe']
4346338,e-k,2001-2006,20th century,Medium-High,Unknown,['Northern America']
86872,l-r,2001-2006,Pre-1900s,Medium-High,Unknown,['Western Europe']
4474226,e-k,2001-2006,Unknown,Low,Unknown,['None']
1139674,l-r,2001-2006,Unknown,Low,Unknown,['Western Europe']
6656477,a-d,2001-2006,Unknown,Medium-High,Unknown,['Eastern Europe']
690557,e-k,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern Europe']
506349,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
715914,e-k,2001-2006,20th century,Low,Unknown,['Eastern Asia']
4206474,a-d,2001-2006,20th century,Low,Unknown,['Northern America']
7701761,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
2307703,l-r,2001-2006,21st century,Medium-Low,Unknown,['Southern Europe']
950891,s-,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia']
2397932,s-,2001-2006,Unknown,Medium-Low,Unknown,['South-eastern Asia']
5019081,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['South-eastern Asia']
2298723,s-,2001-2006,20th century,Low,Man,['None']
1383391,a-d,2001-2006,Pre-1900s,Low,Unknown,['Western Europe']
569140,l-r,2001-2006,20th century,Medium-High,Unknown,['Eastern Asia']
461032,a-d,2001-2006,21st century,Medium-High,Unknown,['Southern Europe']
7761657,e-k,2001-2006,Pre-1900s,Low,Unknown,['Eastern Europe']
62636941,l-r,2017-2022,Unknown,Medium-High,Unknown,['None']
791181,e-k,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia']
589047,l-r,2001-2006,20th century,Medium-Low,Unknown,['Eastern Europe']
2119302,l-r,2001-2006,Pre-1900s,Medium-Low,Man,['None']
7898941,s-,2001-2006,Pre-1900s,Low,Unknown,['Eastern Europe']
791153,a-d,2001-2006,20th century,Medium-Low,Unknown,['Eastern Asia']
8318491,s-,2001-2006,20th century,Medium-High,Unknown,['Western Asia']
2419729,a-d,2001-2006,21st century,Low,Unknown,['Northern Europe']
8318223,a-d,2001-2006,20th century,Medium-High,Unknown,['Western Asia']
1323117,s-,2001-2006,Pre-1900s,Medium-Low,Man,['Western Europe']
