docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1752311,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America'],"[17917942, 3103527, 2991039, 20334718, 3061113, 2320424, 11274910, 17687220, 497465, 7954806]"
1594259,a-d,2001-2006,Unknown,High,Unknown,['Southern Europe'],"[489649, 30019328, 53030273, 10037870, 1561394, 1502522, 864371, 61400530, 1830834, 56733027]"
2657708,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe'],"[11269839, 50228681, 11270048, 10033937, 1803837, 10037389, 6051111, 2175936, 2749507, 11269965]"
56701,e-k,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe'],"[27433, 56697, 69671, 17812, 3658, 3695, 27453, 2155446, 67323, 10739]"
6135022,a-d,2001-2006,Unknown,Low,Unknown,['Northern America'],"[6244340, 6136079, 2438762, 25641378, 6135509, 6136159, 21587308, 5130494, 67501988, 14131541]"
1947086,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"[413562, 71095, 88325, 46310807, 2887041, 20316339, 3359271, 10200423, 22874681, 32241594]"
724506,l-r,2001-2006,Unknown,Medium-High,Unknown,['None'],"[37510086, 38644126, 10749613, 960259, 37510078, 37510102, 37510095, 13653399, 34795812, 37510089]"
4846076,s-,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia'],"[923364, 1305147, 54138895, 739493, 56293304, 28817415, 1919472, 33027914, 3461205, 25135694]"
588981,l-r,2001-2006,Unknown,High,Unknown,['Eastern Europe'],"[589013, 589148, 589009, 589087, 589077, 632673, 19074189, 589047, 2581744, 589044]"
460902,s-,2001-2006,Unknown,High,Unknown,['Southern Europe'],"[460904, 9857722, 460907, 11373339, 3844745, 52060739, 370152, 461032, 2326722, 460890]"
4346338,e-k,2001-2006,20th century,Medium-High,Unknown,['Northern America'],"[424249, 11578602, 1475167, 12572574, 2481436, 2206964, 446455, 11810256, 723599, 961447]"
