docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1424845,l-r,2001-2006,20th century,Medium-High,Unknown,['None'],"[5224471, 8430700, 1694754, 1424872, 8468081, 1432790, 44177910, 2164985, 24020777, 1425000]"
1635511,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Europe'],"[2252436, 1523664, 2252376, 5642575, 3875210, 378368, 49081370, 7775560, 779754, 11018891]"
3125814,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Western Asia'],"[3175338, 3175692, 49448690, 359165, 301022, 36959825, 1227691, 3172517, 20210994, 13051514]"
4171369,a-d,2001-2006,Unknown,Medium-High,Unknown,['None'],"[22473747, 3919303, 2557272, 1039722, 7485642, 34296571, 6054498, 1039546, 1112156, 64580362]"
352765,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None'],"[352774, 352767, 352769, 2299271, 16846076, 6876950, 352773, 9483246, 14987379, 50596120]"
8634765,a-d,2001-2006,20th century,Medium-High,Unknown,['Eastern Africa'],"[8634292, 9822616, 8644744, 50874127, 25671580, 7169668, 59352167, 59322280, 59273804, 59273850]"
2082487,l-r,2001-2006,Pre-1900s,High,Man,['Eastern Asia'],"[2612861, 6725175, 224061, 5946928, 5088521, 1609986, 5530163, 8416507, 2218452, 730814]"
758589,l-r,2001-2006,Unknown,High,Unknown,['Northern America'],"[1529985, 1529968, 1042390, 812783, 1029636, 1529886, 1376905, 972376, 947657, 1904915]"
3639943,a-d,2001-2006,Pre-1900s,Low,Unknown,['None'],"[3639912, 3639982, 3640177, 3678690, 3640236, 3640157, 3573425, 3608318, 3678956, 3640048]"
793926,a-d,2001-2006,20th century,Medium-Low,Unknown,['None'],"[784506, 832508, 966784, 2104176, 988070, 852314, 15054237, 954541, 850373, 3109132]"
1081355,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None'],"[19263988, 19264195, 2470575, 20102750, 20169200, 19264369, 19264481, 20100750, 20218431, 21329175]"
4725407,l-r,2001-2006,Unknown,Medium-High,Unknown,['Northern America'],"[4764371, 10740034, 4743891, 4763686, 4767299, 4792632, 4776224, 4912753, 4833803, 4563962]"
387038,e-k,2001-2006,Unknown,Medium-High,Unknown,['None'],"[48534772, 164922, 36365443, 19341704, 1674658, 22805429, 32745547, 658778, 16684416, 5517132]"
5783457,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None'],"[6129898, 8839901, 17927614, 53354675, 29179160, 53529010, 10042719, 3450931, 5784153, 5783402]"
7382288,e-k,2001-2006,Unknown,Low,Unknown,['None'],"[7369885, 7370107, 7370209, 7431021, 7367868, 7542283, 7456297, 7412432, 7412252, 7518716]"
1838300,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None'],"[2936102, 4767299, 17671170, 22975616, 4280305, 53647399, 4756309, 4725407, 55300777, 4743891]"
20145,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None'],"[39482660, 58277085, 291162, 371090, 352232, 39472427, 46773160, 58209733, 43073087, 58209523]"
1184091,l-r,2001-2006,Unknown,Low,Unknown,['None'],"[1148655, 17591018, 1194305, 5314366, 2158409, 2868980, 459248, 52659646, 1173831, 568688]"
308441,s-,2001-2006,Unknown,Medium-High,Unknown,['None'],"[439597, 205391, 951271, 286142, 771084, 411444, 429176, 231820, 1121675, 192004]"
2658232,s-,2001-2006,20th century,High,Man,['Northern Europe'],"[44857848, 44857794, 29269407, 5553393, 14314964, 35898661, 367955, 14336447, 14323396, 1869922]"
5970152,s-,2001-2006,20th century,Medium-High,Unknown,['Southern Europe'],"[31047270, 23085135, 25908221, 22981127, 24757430, 24734779, 23728294, 39306215, 22980972, 24737932]"
2884586,s-,2001-2006,Unknown,High,Unknown,['None'],"[1320069, 478272, 2037037, 53450385, 2021429, 49474187, 55774863, 1483499, 3975103, 55723449]"
5024646,s-,2001-2006,Unknown,Medium-Low,Unknown,['None'],"[10397011, 10396740, 41275104, 1845116, 5024024, 1898196, 2986932, 5024240, 3135385, 10396803]"
1211854,s-,2001-2006,20th century,Medium-Low,Man,['Western Asia'],"[41714654, 2308367, 41717732, 41714651, 41714229, 41714653, 5383923, 7333104, 1554679, 2299911]"
1736269,s-,2001-2006,Unknown,Low,Unknown,['None'],"[26128467, 1259300, 32328, 12478442, 1261320, 1735977, 752464, 1261286, 1259837, 1259944]"
5096164,a-d,2001-2006,Unknown,Low,Unknown,['None'],"[4469595, 4470063, 4468930, 4468912, 4470092, 4468920, 4470026, 4470077, 4468916, 4469546]"
1182809,s-,2001-2006,20th century,Low,Man,['Southern Africa'],"[1215046, 1222371, 1193741, 972674, 1218094, 1194708, 1220025, 1220064, 1189238, 1220497]"
3907724,s-,2001-2006,21st century,Low,Unknown,['Northern America'],"[3907749, 17620923, 20568589, 17625037, 33409162, 17618174, 48424460, 73417, 30650944, 20518667]"
7146993,e-k,2001-2006,Pre-1900s,Low,Man,['Northern America'],"[7134967, 41684988, 68404652, 3334980, 43474825, 3173973, 907522, 3050140, 4324340, 1687692]"
80052,s-,2001-2006,Pre-1900s,High,Man,['Western Europe'],"[3137222, 3082208, 3086971, 3096440, 50144243, 3131131, 52983212, 1913976, 6074553, 5798319]"
8409477,e-k,2001-2006,20th century,High,Unknown,['Eastern Europe'],"[48584469, 23833178, 22290753, 1898196, 28046793, 39470566, 31669950, 9874323, 15827166, 9732128]"
49669,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"[20140888, 1175274, 20285598, 58900286, 17111748, 878497, 20140607, 20493491, 699742, 27818602]"
468685,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['None'],"[10369275, 465851, 215271, 16194865, 54277053, 385543, 2785236, 4101218, 5182690, 385586]"
