docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions,rel_docno
1424845,l-r,2001-2006,20th century,Medium-High,Unknown,['None'],"{1694754, 8963431, 1424872, 24020777, 8468081, 5224471, 10917366, 64068311, 1286870, 1432762}"
1635511,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Southern Europe'],"{42422391, 3875210, 1375627, 1523664, 2252436, 2813622, 61660598, 2252376, 46835001, 49081370}"
3125814,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Western Asia'],"{3172517, 22754120, 3175338, 3175692, 18761915, 17969870, 637649, 49448690, 38800791, 32968603}"
4171369,a-d,2001-2006,Unknown,Medium-High,Unknown,['None'],"{3919303, 1180459, 51518381, 43987120, 20090171, 32659026, 12234103, 1039546, 58003579, 23199100}"
352765,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{352769, 352773, 352774, 1329798, 4404649, 17899465, 1192723, 2277398, 41895736, 352767}"
8634765,a-d,2001-2006,20th century,Medium-High,Unknown,['Eastern Africa'],"{59352167, 8644744, 7769512, 43094378, 2255175, 59273804, 6976492, 64417939, 8634292, 64609851}"
2082487,l-r,2001-2006,Pre-1900s,High,Man,['Eastern Asia'],"{6218432, 35899076, 30549147, 8040432, 8371440, 1893205, 12368437, 6725175, 8391163, 2612861}"
758589,l-r,2001-2006,Unknown,High,Unknown,['Northern America'],"{1529985, 53620901, 31177864, 947657, 20099211, 55412492, 812783, 1529968, 54605724, 1529886}"
3639943,a-d,2001-2006,Pre-1900s,Low,Unknown,['None'],"{3678690, 3704324, 3639912, 3640236, 3640268, 3639982, 3597839, 3640177, 3608375, 3573278}"
793926,a-d,2001-2006,20th century,Medium-Low,Unknown,['None'],"{966784, 16745730, 850373, 988070, 954541, 858927, 890837, 888533, 784506, 832508}"
1081355,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{19264195, 15038090, 22560414, 20100750, 2470575, 20169200, 19264369, 19263988, 21329175, 20102750}"
4725407,l-r,2001-2006,Unknown,Medium-High,Unknown,['Northern America'],"{5034912, 4776224, 10740034, 4600643, 1009892, 4763686, 4764371, 4563962, 4743803, 4741822}"
387038,e-k,2001-2006,Unknown,Medium-High,Unknown,['None'],"{16684416, 64689185, 8818339, 36365443, 33228838, 19341704, 36397075, 48534772, 23462713, 164922}"
5783457,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None'],"{31864577, 290146, 13217573, 5783402, 483051, 6129898, 30857617, 652375, 66994488, 10042719}"
7382288,e-k,2001-2006,Unknown,Low,Unknown,['None'],"{7542339, 7385800, 7542283, 7430862, 7430926, 7436753, 7414997, 7412053, 7351098, 7369885}"
1838300,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{22975616, 1767622, 2936102, 53647399, 8225489, 41202961, 4280305, 2806709, 20045399, 480571}"
20145,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None'],"{39482660, 58200231, 58219212, 43073087, 7123322, 17658773, 7476503, 65015898, 58277085, 13013855}"
1184091,l-r,2001-2006,Unknown,Low,Unknown,['None'],"{2572098, 14318021, 554570, 1148655, 11869136, 15532049, 619097, 10924185, 5314366, 49354809}"
308441,s-,2001-2006,Unknown,Medium-High,Unknown,['None'],"{1076709, 951273, 439597, 205391, 952656, 410420, 948213, 21216920, 21216985, 757149}"
2658232,s-,2001-2006,20th century,High,Man,['Northern Europe'],"{44857794, 67299778, 28768486, 49446986, 11919530, 18042736, 367955, 66446996, 44857848, 41764893}"
5970152,s-,2001-2006,20th century,Medium-High,Unknown,['Southern Europe'],"{23728294, 31047270, 22981127, 13869321, 23085135, 1225328, 43338385, 8603797, 42128790, 13877721}"
2884586,s-,2001-2006,Unknown,High,Unknown,['None'],"{478272, 1320069, 1489477, 2038248, 53180329, 2037037, 54094128, 2021429, 55680949, 68359353}"
5024646,s-,2001-2006,Unknown,Medium-Low,Unknown,['None'],"{41275104, 53427773, 20676235, 50775539, 1898196, 32620179, 10397011, 5024024, 1845116, 1845181}"
1211854,s-,2001-2006,20th century,Medium-Low,Man,['Western Asia'],"{2299911, 19856719, 47319346, 1554679, 5230007, 41714648, 7137402, 5235035, 5231773, 41714654}"
1736269,s-,2001-2006,Unknown,Low,Unknown,['None'],"{32329, 1735977, 12478442, 7033966, 204527, 435087, 3380654, 26128467, 980918, 17868025}"
5096164,a-d,2001-2006,Unknown,Low,Unknown,['None'],"{4469595, 4468903, 4470026, 4469546, 4470092, 4468912, 4468916, 4468920, 4469851, 50921724}"
1182809,s-,2001-2006,20th century,Low,Man,['Southern Africa'],"{9690626, 1220611, 1179813, 1219180, 1219212, 1220497, 1228211, 1218038, 1180535, 1186555}"
3907724,s-,2001-2006,21st century,Low,Unknown,['Northern America'],"{30650944, 31671361, 6550500, 3907749, 9083044, 7979336, 25840426, 33409162, 7831853, 9429901}"
7146993,e-k,2001-2006,Pre-1900s,Low,Man,['Northern America'],"{907522, 3334980, 7134967, 12084556, 48763471, 31845296, 3810162, 3173973, 28522295, 2450296}"
80052,s-,2001-2006,Pre-1900s,High,Man,['Western Europe'],"{3082208, 4964354, 3137222, 51170919, 19133063, 28184332, 3690291, 875059, 3086971, 16970717}"
8409477,e-k,2001-2006,20th century,High,Unknown,['Eastern Europe'],"{17871484, 30143361, 24586378, 11972811, 3280716, 48584469, 23833178, 23199100, 32792989, 15884350}"
49669,e-k,2001-2006,Unknown,High,Unknown,['Northern America'],"{20493720, 58944773, 1175274, 47266795, 698090, 20496858, 16130133, 20140888, 64342873, 5157690}"
468685,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['None'],"{383200, 4101218, 465851, 18952903, 215271, 21116245, 36187190, 35632629, 65250298, 10369275}"
364546,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Northern Europe'],"{61137792, 27025826, 4839138, 35463812, 22269413, 29728617, 4903691, 11033675, 57571928, 30662809}"
356194,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Asia'],"{4411137, 3729192, 4460747, 3719406, 366799, 7046160, 3301425, 3719443, 2277398, 8121278}"
4562115,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America'],"{9684609, 4562179, 25646532, 30739528, 46940585, 26735086, 63779410, 47476085, 8981175, 325595}"
148789,e-k,2001-2006,Pre-1900s,High,Man,['None'],"{16396290, 13180795, 147751, 7396679, 547115, 17969870, 19795126, 382203, 168093, 3124606}"
